,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,CSKA Moscow (4 stagioni),Udinese (2 stagioni),Hannover 96 (1 stagione),,Premier League (4 stagioni),Serie A (2 stagioni),2. Bundesliga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2018-2019,19,CSKA Moscow,ru RUS,1. Premier League,4°,11.9,,,,,,,,,,,,,,,,,Partite
2019-2020,20,CSKA Moscow,ru RUS,1. Premier League,4°,7.1,,4,,,,,,,,,,,12,,,,Partite
2020-2021,21,Hannover 96,de GER,2. 2. Bundesliga,13°,26.0,51,29,19,27,5,22,58,"37,9",36,42,7,35,74,125,57,1,Partite
2020-2021,21,CSKA Moscow,ru RUS,1. Premier League,6°,0.7,,1,,,,,,,,,,,1,,,,Partite
2021-2022,22,CSKA Moscow,ru RUS,1. Premier League,5°,26.6,,14,,,,,,,,,,,33,,,,Partite
2022-2023,23,Udinese,it ITA,1. Serie A,12°,30.3,39,23,32,7,0,16,27,"59,3",11,41,25,16,29,68,165,0,Partite
2023-2024,24,Udinese,it ITA,1. Serie A,14°,13.0,26,16,22,4,0,13,23,"56,5",10,17,11,6,14,40,68,1,Partite
6 stagioni,3 club,,3 campionati,,115.7,116,87,73,38,5,51,108,"47,2",57,100,43,57,163,233,290,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
CSKA Moscow (4 stagioni),,1 campionato,,46.4,,19,,,,,,,,,,,46,0,,,
Udinese (2 stagioni),,1 campionato,,43.3,65,39,54,11,0,29,50,"58,0",21,58,36,22,43,108,233,1,
Hannover 96 (1 stagione),,1 campionato,,26.0,51,29,19,27,5,22,58,"37,9",36,42,7,35,74,125,57,1,
,,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,46.4,,19,,,,,,,,,,,46,0,,,
Serie A (2 stagioni),,,,43.3,65,39,54,11,0,29,50,"58,0",21,58,36,22,43,108,233,1,
2. Bundesliga (1 stagione),,,,26.0,51,29,19,27,5,22,58,"37,9",36,42,7,35,74,125,57,1,
