,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2023-2024,2 stagioni
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2023-2024,19,Fiorentina,it ITA,1. Serie A,7°,16.0,39,23,18,12,9,24,34,"70,6",10,21,11,10,14,53,33,2,Partite
2 stagioni,1 club,,1 campionato,,16.0,39,23,18,12,9,24,34,"70,6",10,21,11,10,14,53,33,2,
