Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco
H. Hateboer,2022-2023,Atalanta,it ITA,1. Serie A,21,13,11,8,2,11,27,"40,7",16,23,4,19,12,33,25,0.0,Partite,22,"1,42",19,1,1,0,0,1,"0,06",1,0,0,0,0,0.0,560,702,"79,8",8088,2850,339,376,"90,2",173,223,"77,6",31,60,"51,7",1,1.5,1.4,-0.5,13,28,16,7,55.0,571,129,3,2,1,23,126,0,0,0,0,2
H. Hateboer,2023-2024,Atalanta,it ITA,1. Serie A,6,3,4,1,1,2,5,"40,0",3,11,2,9,2,8,11,0.0,Partite,19,"3,00",16,0,1,0,1,2,"0,32",2,0,0,0,0,0.0,253,311,"81,4",4156,1334,135,148,"91,2",90,112,"80,4",21,30,"70,0",1,1.2,0.7,-0.2,14,13,11,9,24.0,259,51,3,0,1,20,48,0,0,0,0,1
