,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,16 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Manchester Utd (9 stagioni),Roma (5 stagioni),Fulham (2 stagioni),,Premier League (11 stagioni),Serie A (5 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2008-2009,18,Fulham,eng ENG,1. Premier League,7°,0.2,,,,,,,,,,,,,,,,,Partite
2009-2010,19,Fulham,eng ENG,1. Premier League,12°,9.7,,,,,,,,,,,,,,,,,Partite
2010-2011,20,Manchester Utd,eng ENG,1. Premier League,1°,12.1,,,,,,,,,,,,,,,,,Partite
2011-2012,21,Manchester Utd,eng ENG,1. Premier League,2°,14.4,,,,,,,,,,,,,,,,,Partite
2012-2013,22,Manchester Utd,eng ENG,1. Premier League,1°,11.3,,,,,,,,,,,,,,,,,Partite
2013-2014,23,Manchester Utd,eng ENG,1. Premier League,7°,21.5,,,,,,,,,,,,,,,,,Partite
2014-2015,24,Manchester Utd,eng ENG,1. Premier League,4°,20.9,,,,,,,,,,,,,,,,,Partite
2015-2016,25,Manchester Utd,eng ENG,1. Premier League,5°,35.0,,,,,,,,,,,,,,,,,Partite
2016-2017,26,Manchester Utd,eng ENG,1. Premier League,6°,13.5,,10,,,,,,,,,,,13,,,,Partite
2017-2018,27,Manchester Utd,eng ENG,1. Premier League,2°,28.2,40,25,28,12,0,16,28,"57,1",12,32,28,4,63,103,162,1,Partite
2018-2019,28,Manchester Utd,eng ENG,1. Premier League,6°,23.6,30,17,21,9,0,11,17,"64,7",6,37,25,12,26,56,109,1,Partite
2019-2020,29,Roma,it ITA,1. Serie A,5°,28.5,25,16,15,9,1,10,13,"76,9",3,44,35,9,56,81,126,2,Partite
2020-2021,30,Roma,it ITA,1. Serie A,7°,12.3,14,8,5,7,2,6,10,"60,0",4,17,11,6,28,42,46,1,Partite
2021-2022,31,Roma,it ITA,1. Serie A,6°,23.2,36,23,28,8,0,18,25,"72,0",7,32,24,8,26,62,92,1,Partite
2022-2023,32,Roma,it ITA,1. Serie A,6°,31.2,26,15,16,10,0,13,21,"61,9",8,51,36,15,43,69,123,0,Partite
2023-2024,33,Roma,it ITA,1. Serie A,5°,4.0,1,1,1,0,0,1,4,"25,0",3,6,5,1,5,6,6,0,Partite
16 stagioni,3 club,,2 campionati,,289.7,172,115,114,55,3,75,118,"63,6",43,219,164,55,260,419,664,6,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Manchester Utd (9 stagioni),,1 campionato,,180.6,70,52,49,21,0,27,45,"60,0",18,69,53,16,102,159,271,2,
Roma (5 stagioni),,1 campionato,,99.3,102,63,65,34,3,48,73,"65,8",25,150,111,39,158,260,393,4,
Fulham (2 stagioni),,1 campionato,,9.8,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Premier League (11 stagioni),,,,190.4,70,52,49,21,0,27,45,"60,0",18,69,53,16,102,159,271,2,
Serie A (5 stagioni),,,,99.3,102,63,65,34,3,48,73,"65,8",25,150,111,39,158,260,393,4,
