,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2021-2022,2022-2023,2023-2024,3 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Lecce (2 stagioni),Ascoli (1 stagione),,Serie A (2 stagioni),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2021-2022,24,Ascoli,it ITA,2. Serie B,6°,20.6,998,780,214,15,1,6,59,199,0,0,0,0,674,4,16,Partite
2022-2023,25,Lecce,it ITA,1. Serie A,16°,37.0,1432,1312,113,66,1,22,14,41,0,0,0,0,1049,7,14,Partite
2023-2024,26,Lecce,it ITA,1. Serie A,15°,24.6,1219,1119,96,41,0,3,1,5,0,0,0,0,1029,4,6,Partite
3 stagioni,2 club,,2 campionati,,82.2,3649,3211,423,122,2,31,74,245,0,0,0,0,2752,15,36,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Lecce (2 stagioni),,1 campionato,,61.6,2651,2431,209,107,1,25,15,46,0,0,0,0,2078,11,20,
Ascoli (1 stagione),,1 campionato,,20.6,998,780,214,15,1,6,59,199,0,0,0,0,674,4,16,
,,,,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,61.6,2651,2431,209,107,1,25,15,46,0,0,0,0,2078,11,20,
Serie B (1 stagione),,,,20.6,998,780,214,15,1,6,59,199,0,0,0,0,674,4,16,
