Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco,Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Sh,Pass,Clr,Err,Matches,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,KP,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off
S. Posch,2023-2024,Bologna,it ITA,1. Serie A,57.0,33.0,25.0,28.0,4.0,35.0,56.0,"62,5",21.0,18.0,7.0,11.0,13.0,70.0,47.0,0.0,Partite,32.0,"1,80",27.0,4.0,0.0,0.0,0.0,3.0,"0,17",2.0,0.0,0.0,1.0,0.0,0.0,1190.0,1439.0,"82,7",19538.0,7139.0,589.0,631.0,"93,3",505.0,556.0,"90,8",72.0,175.0,"41,1",2.0,1.2,1.1,0.8,15.0,94.0,15.0,7.0,83.0,1226.0,209.0,31.0,0.0,4.0,31.0,178.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Radu,2022-2023,Lazio,it ITA,1. Serie A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partite,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,"85,7",78.0,21.0,4.0,4.0,"100,0",2.0,3.0,"66,7",0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Romagnoli,2022-2023,Parma,it ITA,2. Serie B,9.0,4.0,5.0,4.0,0.0,5.0,5.0,"100,0",0.0,8.0,4.0,4.0,6.0,15.0,16.0,1.0,Partite,2.0,"0,36",1.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,242.0,307.0,"78,8",4866.0,1866.0,64.0,79.0,"81,0",152.0,170.0,"89,4",24.0,51.0,"47,1",0.0,0.1,0.0,-0.1,1.0,11.0,1.0,0.0,16.0,290.0,15.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Romagnoli,2023-2024,Frosinone,it ITA,1. Serie A,22.0,9.0,14.0,7.0,1.0,8.0,11.0,"72,7",3.0,28.0,18.0,10.0,22.0,44.0,97.0,0.0,Partite,5.0,"0,26",5.0,0.0,0.0,0.0,0.0,1.0,"0,05",1.0,0.0,0.0,0.0,0.0,0.0,885.0,1006.0,"88,0",15767.0,5672.0,351.0,384.0,"91,4",455.0,487.0,"93,4",64.0,105.0,"61,0",1.0,0.4,0.1,0.6,2.0,15.0,0.0,0.0,36.0,886.0,120.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Sabelli,2022-2023,Genoa,it ITA,2. Serie B,47.0,25.0,25.0,15.0,7.0,21.0,48.0,"43,8",27.0,32.0,4.0,28.0,29.0,76.0,42.0,0.0,Partite,81.0,"2,90",62.0,7.0,2.0,8.0,0.0,5.0,"0,18",4.0,1.0,0.0,0.0,0.0,0.0,1042.0,1517.0,"68,7",17315.0,7195.0,530.0,636.0,"83,3",409.0,583.0,"70,2",84.0,206.0,"40,8",4.0,3.4,3.1,0.6,33.0,89.0,38.0,15.0,130.0,1213.0,300.0,21.0,4.0,7.0,109.0,279.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Sabelli,2023-2024,Genoa,it ITA,1. Serie A,37.0,17.0,19.0,15.0,3.0,11.0,35.0,"31,4",24.0,24.0,4.0,20.0,19.0,56.0,26.0,0.0,Partite,45.0,"2,17",33.0,5.0,1.0,4.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,460.0,748.0,"61,5",8018.0,3603.0,232.0,284.0,"81,7",169.0,262.0,"64,5",48.0,135.0,"35,6",0.0,1.6,1.5,-1.6,16.0,49.0,24.0,10.0,66.0,606.0,140.0,6.0,1.0,6.0,80.0,134.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Umtiti,2022-2023,Lecce,it ITA,1. Serie A,52.0,34.0,25.0,25.0,2.0,18.0,26.0,"69,2",8.0,26.0,14.0,12.0,26.0,78.0,79.0,0.0,Partite,9.0,"0,38",7.0,1.0,0.0,0.0,1.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,724.0,868.0,"83,4",14243.0,4927.0,243.0,281.0,"86,5",371.0,396.0,"93,7",97.0,159.0,"61,0",0.0,0.1,0.2,-0.1,3.0,47.0,5.0,1.0,56.0,807.0,57.0,53.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Umtiti,2023-2024,Lille,fr FRA,1. Ligue 1,1.0,1.0,0.0,1.0,0.0,1.0,4.0,"25,0",3.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,Partite,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,156.0,165.0,"94,5",2948.0,750.0,49.0,52.0,"94,2",89.0,92.0,"96,7",14.0,17.0,"82,4",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,157.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Djalo,2022-2023,Lille,fr FRA,1. Ligue 1,31.0,21.0,23.0,7.0,1.0,13.0,20.0,"65,0",7.0,17.0,11.0,6.0,23.0,54.0,60.0,1.0,Partite,10.0,"0,45",8.0,0.0,0.0,1.0,0.0,3.0,"0,13",2.0,0.0,0.0,0.0,1.0,0.0,1481.0,1599.0,"92,6",25798.0,8970.0,629.0,666.0,"94,4",696.0,724.0,"96,1",119.0,152.0,"78,3",0.0,0.1,0.3,-0.1,2.0,72.0,0.0,0.0,70.0,1511.0,84.0,36.0,0.0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Augello,2022-2023,Sampdoria,it ITA,1. Serie A,17.0,14.0,13.0,2.0,2.0,9.0,20.0,"45,0",11.0,23.0,7.0,16.0,17.0,34.0,61.0,1.0,Partite,77.0,"2,26",54.0,16.0,2.0,3.0,1.0,7.0,"0,21",6.0,1.0,0.0,0.0,0.0,0.0,1283.0,1774.0,"72,3",21887.0,9530.0,613.0,701.0,"87,4",531.0,716.0,"74,2",114.0,236.0,"48,3",5.0,3.9,3.8,1.1,43.0,84.0,45.0,28.0,119.0,1408.0,365.0,49.0,0.0,5.0,170.0,295.0,21.0,6.0,15.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Augello,2023-2024,Cagliari,it ITA,1. Serie A,20.0,15.0,14.0,4.0,2.0,13.0,19.0,"68,4",6.0,12.0,5.0,7.0,5.0,25.0,51.0,0.0,Partite,39.0,"2,33",23.0,12.0,0.0,2.0,1.0,1.0,"0,06",1.0,0.0,0.0,0.0,0.0,0.0,624.0,896.0,"69,6",10878.0,4713.0,289.0,332.0,"87,0",272.0,375.0,"72,5",59.0,144.0,"41,0",1.0,1.5,1.6,-0.5,19.0,43.0,18.0,12.0,59.0,702.0,193.0,25.0,0.0,2.0,101.0,145.0,23.0,7.0,14.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Buchanan,2022-2023,Club Brugge,be BEL,1. Pro League A,23.0,14.0,14.0,8.0,1.0,9.0,17.0,"52,9",8.0,18.0,3.0,15.0,10.0,33.0,12.0,0.0,Partite,33.0,"1,83",25.0,0.0,3.0,5.0,0.0,4.0,"0,22",2.0,0.0,0.0,0.0,2.0,0.0,500.0,644.0,"77,6",7670.0,1947.0,257.0,304.0,"84,5",199.0,245.0,"81,2",24.0,56.0,"42,9",2.0,1.8,1.6,0.2,11.0,34.0,12.0,5.0,48.0,567.0,76.0,7.0,0.0,4.0,53.0,69.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Buchanan,2023-2024,Club Brugge,be BEL,1. Pro League A,10.0,6.0,6.0,1.0,3.0,5.0,16.0,"31,3",11.0,13.0,0.0,13.0,6.0,16.0,8.0,1.0,Partite,22.0,"2,39",13.0,2.0,5.0,1.0,0.0,5.0,"0,54",3.0,1.0,1.0,0.0,0.0,0.0,394.0,517.0,"76,2",5959.0,2043.0,218.0,249.0,"87,6",141.0,194.0,"72,7",19.0,47.0,"40,4",2.0,1.9,0.9,0.1,9.0,31.0,8.0,3.0,39.0,411.0,104.0,9.0,0.0,2.0,31.0,95.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Ebuehi,2022-2023,Empoli,it ITA,1. Serie A,22.0,14.0,11.0,7.0,4.0,9.0,13.0,"69,2",4.0,23.0,12.0,11.0,12.0,34.0,79.0,1.0,Partite,29.0,"1,36",22.0,5.0,0.0,1.0,0.0,4.0,"0,19",3.0,0.0,0.0,1.0,0.0,0.0,688.0,881.0,"78,1",11680.0,4092.0,301.0,347.0,"86,7",316.0,380.0,"83,2",54.0,102.0,"52,9",4.0,1.9,1.1,2.1,12.0,26.0,11.0,7.0,41.0,684.0,192.0,7.0,0.0,0.0,28.0,185.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Ebuehi,2023-2024,Empoli,it ITA,1. Serie A,14.0,9.0,9.0,5.0,0.0,7.0,11.0,"63,6",4.0,9.0,4.0,5.0,6.0,20.0,27.0,0.0,Partite,17.0,"1,42",14.0,2.0,0.0,1.0,0.0,1.0,"0,08",1.0,0.0,0.0,0.0,0.0,0.0,425.0,564.0,"75,4",6777.0,2577.0,232.0,257.0,"90,3",152.0,205.0,"74,1",29.0,64.0,"45,3",1.0,0.9,0.6,0.1,11.0,22.0,9.0,4.0,37.0,437.0,127.0,9.0,0.0,3.0,22.0,118.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Chiriches,2022-2023,Cremonese,it ITA,1. Serie A,35.0,20.0,27.0,7.0,1.0,16.0,24.0,"66,7",8.0,36.0,23.0,13.0,22.0,57.0,44.0,0.0,Partite,5.0,"0,46",5.0,0.0,0.0,0.0,0.0,1.0,"0,09",1.0,0.0,0.0,0.0,0.0,0.0,344.0,410.0,"83,9",6776.0,3146.0,119.0,128.0,"93,0",178.0,203.0,"87,7",41.0,68.0,"60,3",0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,18.0,386.0,24.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Chiriches,2023-2024,FCSB,ro ROU,1. Liga I,,4.0,,,,,,,,,,,3.0,,,,Partite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Gendrey,2022-2023,Lecce,it ITA,1. Serie A,88.0,57.0,54.0,25.0,9.0,40.0,71.0,"56,3",31.0,45.0,4.0,41.0,37.0,125.0,89.0,0.0,Partite,49.0,"1,42",37.0,5.0,1.0,4.0,2.0,4.0,"0,12",2.0,0.0,0.0,0.0,2.0,0.0,1031.0,1448.0,"71,2",16693.0,8217.0,539.0,637.0,"84,6",399.0,551.0,"72,4",70.0,188.0,"37,2",2.0,2.9,1.8,-0.9,27.0,72.0,21.0,13.0,112.0,1076.0,367.0,15.0,1.0,8.0,74.0,352.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Gendrey,2023-2024,Lecce,it ITA,1. Serie A,38.0,21.0,24.0,11.0,3.0,22.0,32.0,"68,8",10.0,22.0,4.0,18.0,29.0,67.0,65.0,0.0,Partite,45.0,"1,91",36.0,5.0,3.0,0.0,0.0,3.0,"0,13",2.0,0.0,1.0,0.0,0.0,0.0,776.0,1013.0,"76,6",13149.0,6242.0,400.0,449.0,"89,1",308.0,389.0,"79,2",63.0,140.0,"45,0",3.0,1.2,1.2,1.8,19.0,80.0,13.0,5.0,89.0,752.0,258.0,26.0,3.0,2.0,43.0,232.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Kristiansen,2022-2023,FC Copenhagen,dk DEN,1. Superliga,38.0,25.0,18.0,16.0,4.0,22.0,30.0,"73,3",8.0,16.0,4.0,12.0,13.0,41.0,26.0,1.0,Partite,14.0,"1,41",9.0,4.0,0.0,0.0,0.0,3.0,"0,30",3.0,0.0,0.0,0.0,0.0,0.0,327.0,496.0,"65,9",5252.0,2353.0,176.0,209.0,"84,2",124.0,191.0,"64,9",24.0,67.0,"35,8",1.0,0.8,0.6,0.2,7.0,29.0,4.0,3.0,31.0,376.0,117.0,6.0,1.0,0.0,60.0,100.0,11.0,6.0,4.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Kristiansen,2023-2024,Bologna,it ITA,1. Serie A,30.0,19.0,14.0,13.0,3.0,10.0,21.0,"47,6",11.0,21.0,3.0,18.0,8.0,38.0,31.0,0.0,Partite,31.0,"1,86",25.0,1.0,2.0,1.0,0.0,6.0,"0,36",4.0,0.0,0.0,1.0,1.0,0.0,903.0,1074.0,"84,1",14015.0,5213.0,494.0,535.0,"92,3",350.0,411.0,"85,2",40.0,85.0,"47,1",3.0,1.9,0.9,1.1,19.0,72.0,17.0,6.0,75.0,916.0,156.0,12.0,0.0,0.0,22.0,144.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Singo,2022-2023,Torino,it ITA,1. Serie A,27.0,17.0,14.0,10.0,3.0,12.0,19.0,"63,2",7.0,15.0,2.0,13.0,12.0,39.0,33.0,1.0,Partite,45.0,"1,98",29.0,0.0,7.0,2.0,0.0,4.0,"0,18",2.0,0.0,1.0,1.0,0.0,0.0,853.0,1138.0,"75,0",14659.0,4321.0,393.0,458.0,"85,8",376.0,492.0,"76,4",67.0,131.0,"51,1",1.0,1.9,1.7,-0.9,23.0,46.0,24.0,10.0,67.0,923.0,207.0,20.0,3.0,7.0,56.0,187.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Singo,2023-2024,Monaco,fr FRA,1. Ligue 1,22.0,17.0,12.0,10.0,0.0,10.0,18.0,"55,6",8.0,19.0,9.0,10.0,38.0,60.0,57.0,1.0,Partite,27.0,"1,59",23.0,1.0,0.0,1.0,1.0,2.0,"0,12",2.0,0.0,0.0,0.0,0.0,0.0,875.0,1018.0,"86,0",16444.0,5807.0,324.0,362.0,"89,5",432.0,481.0,"89,8",100.0,146.0,"68,5",1.0,0.6,0.7,0.4,10.0,102.0,7.0,1.0,109.0,971.0,44.0,27.0,2.0,1.0,9.0,17.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Troost-Ekong,2022-2023,Watford,eng ENG,2. Championship,11.0,7.0,6.0,5.0,0.0,6.0,9.0,"66,7",3.0,10.0,8.0,2.0,15.0,26.0,40.0,0.0,Partite,4.0,"0,33",2.0,0.0,0.0,0.0,0.0,1.0,"0,08",0.0,0.0,0.0,1.0,0.0,0.0,537.0,665.0,"80,8",12040.0,4695.0,112.0,135.0,"83,0",337.0,370.0,"91,1",84.0,144.0,"58,3",0.0,0.1,0.2,-0.1,1.0,20.0,3.0,1.0,36.0,650.0,14.0,11.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Troost-Ekong,2023-2024,PAOK,gr GRE,1. Super League,,,,,,,,,,,,,,,,,Partite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Bisseck,2022-2023,AGF,dk DEN,1. Superliga,,26.0,,,,,,,,,,,32.0,,,,Partite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Bisseck,2023-2024,Inter,it ITA,1. Serie A,7.0,3.0,4.0,2.0,1.0,4.0,6.0,"66,7",2.0,2.0,1.0,1.0,0.0,7.0,11.0,0.0,Partite,8.0,"1,50",4.0,0.0,0.0,3.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,358.0,386.0,"92,7",6166.0,1913.0,147.0,154.0,"95,5",179.0,191.0,"93,7",27.0,30.0,"90,0",0.0,0.5,0.4,-0.5,1.0,19.0,3.0,0.0,24.0,370.0,16.0,11.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Mina,2022-2023,Everton,eng ENG,1. Premier League,15.0,8.0,9.0,6.0,0.0,9.0,11.0,"81,8",2.0,7.0,4.0,3.0,6.0,21.0,28.0,0.0,Partite,8.0,"1,21",5.0,0.0,0.0,2.0,0.0,1.0,"0,15",0.0,0.0,0.0,0.0,1.0,0.0,286.0,325.0,"88,0",4935.0,1808.0,117.0,125.0,"93,6",146.0,161.0,"90,7",17.0,27.0,"63,0",0.0,0.1,0.2,-0.1,1.0,15.0,1.0,0.0,13.0,309.0,15.0,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Mina,2023-2024,Fiorentina,it ITA,1. Serie A,1.0,1.0,1.0,0.0,0.0,1.0,2.0,"50,0",1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Partite,1.0,"2,05",0.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,"88,2",301.0,117.0,7.0,7.0,"100,0",6.0,8.0,"75,0",2.0,2.0,"100,0",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z. Celik,2022-2023,Roma,it ITA,1. Serie A,42.0,21.0,19.0,21.0,2.0,24.0,41.0,"58,5",17.0,33.0,6.0,27.0,14.0,56.0,36.0,2.0,Partite,40.0,"2,40",33.0,3.0,0.0,1.0,2.0,5.0,"0,30",4.0,0.0,0.0,0.0,0.0,1.0,697.0,927.0,"75,2",11222.0,4779.0,365.0,408.0,"89,5",250.0,323.0,"77,4",59.0,124.0,"47,6",1.0,1.6,1.4,-0.6,16.0,55.0,24.0,7.0,67.0,733.0,192.0,12.0,0.0,4.0,42.0,180.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z. Celik,2023-2024,Roma,it ITA,1. Serie A,14.0,10.0,5.0,7.0,2.0,8.0,13.0,"61,5",5.0,5.0,2.0,3.0,3.0,17.0,12.0,0.0,Partite,9.0,"2,51",9.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,126.0,152.0,"82,9",1918.0,666.0,72.0,81.0,"88,9",41.0,49.0,"83,7",7.0,14.0,"50,0",0.0,0.3,0.2,-0.3,5.0,4.0,5.0,3.0,13.0,132.0,20.0,3.0,1.0,2.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
