Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco,Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Sh,Pass,Clr,Err,Matches,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,KP,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off
R. Toloi,2022-2023,Atalanta,it ITA,1. Serie A,69.0,44.0,37.0,32.0,0.0,35.0,64.0,"54,7",29.0,42.0,18.0,24.0,57.0,126.0,88.0,1.0,Partite,47.0,"1,52",39.0,0.0,3.0,0.0,1.0,8.0,"0,26",7.0,0.0,0.0,1.0,0.0,0.0,1351.0,1682.0,"80,3",24720.0,9204.0,570.0,627.0,"90,9",619.0,707.0,"87,6",145.0,290.0,"50,0",1.0,1.2,1.2,-0.2,17.0,126.0,15.0,2.0,148.0,1628.0,48.0,24.0,2.0,10.0,22.0,23.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Toloi,2023-2024,Atalanta,it ITA,1. Serie A,6.0,2.0,3.0,1.0,2.0,3.0,6.0,"50,0",3.0,2.0,1.0,1.0,7.0,13.0,17.0,0.0,Partite,3.0,"0,60",3.0,0.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,225.0,275.0,"81,8",3900.0,1307.0,101.0,110.0,"91,8",106.0,123.0,"86,2",15.0,33.0,"45,5",0.0,0.0,0.1,0.0,1.0,18.0,1.0,0.0,19.0,259.0,15.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador Ferrer,,,,,,,,,,,3.0,,,,,,1.0,5.0,,,,2.0,1.33,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,3.0,0.0,,1.0,,,,,,,,,,,,,2022-2023,24.0,Spezia,it ITA,1. Serie A,17th,1.5,4.0,2.0,2.0,2.0,0.0,1.0,33.3,2.0,3.0,1.0,2.0,4.0,0.0,Matches,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.8,1365.0,482.0,29.0,33.0,87.9,32.0,41.0,78.0,10.0,16.0,62.5,0.0,1.0,0.0,81.0,14.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0
S. Beukema,2022-2023,AZ Alkmaar,nl NED,1. Eredivisie,27.0,16.0,16.0,9.0,2.0,16.0,24.0,"66,7",8.0,31.0,27.0,4.0,33.0,60.0,108.0,0.0,Partite,18.0,"0,74",17.0,0.0,0.0,0.0,1.0,0.0,"0,00",0.0,0.0,0.0,0.0,0.0,0.0,1472.0,1677.0,"87,8",28916.0,9948.0,462.0,510.0,"90,6",828.0,882.0,"93,9",157.0,245.0,"64,1",0.0,0.1,1.0,-0.1,4.0,146.0,8.0,0.0,135.0,1641.0,34.0,20.0,3.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Beukema,2023-2024,Bologna,it ITA,1. Serie A,24.0,10.0,13.0,10.0,1.0,15.0,21.0,"71,4",6.0,25.0,15.0,10.0,14.0,38.0,75.0,0.0,Partite,13.0,"0,60",13.0,0.0,0.0,0.0,0.0,1.0,"0,05",1.0,0.0,0.0,0.0,0.0,0.0,1361.0,1518.0,"89,7",25316.0,8625.0,498.0,530.0,"94,0",733.0,776.0,"94,5",106.0,173.0,"61,3",1.0,0.8,0.4,0.2,6.0,61.0,3.0,0.0,53.0,1468.0,49.0,34.0,1.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Birindelli,2022-2023,Monza,it ITA,1. Serie A,35.0,19.0,21.0,10.0,4.0,18.0,29.0,"62,1",11.0,28.0,8.0,20.0,16.0,51.0,30.0,0.0,Partite,35.0,"2,25",30.0,0.0,2.0,1.0,0.0,4.0,"0,26",4.0,0.0,0.0,0.0,0.0,0.0,572.0,777.0,"73,6",9832.0,2913.0,265.0,309.0,"85,8",249.0,326.0,"76,4",47.0,107.0,"43,9",1.0,2.2,1.9,-1.2,18.0,27.0,19.0,13.0,43.0,659.0,118.0,4.0,0.0,5.0,70.0,114.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Birindelli,2023-2024,Monza,it ITA,1. Serie A,18.0,12.0,10.0,5.0,3.0,9.0,15.0,"60,0",6.0,22.0,7.0,15.0,13.0,31.0,25.0,0.0,Partite,29.0,"2,26",21.0,0.0,1.0,3.0,0.0,2.0,"0,16",2.0,0.0,0.0,0.0,0.0,0.0,492.0,599.0,"82,1",8514.0,2096.0,240.0,263.0,"91,3",198.0,233.0,"85,0",50.0,75.0,"66,7",1.0,2.2,1.8,-1.2,16.0,23.0,15.0,9.0,32.0,512.0,84.0,7.0,1.0,8.0,28.0,77.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Dest,2022-2023,Milan,it ITA,1. Serie A,12.0,6.0,3.0,5.0,4.0,3.0,4.0,"75,0",1.0,1.0,0.0,1.0,4.0,16.0,2.0,0.0,Partite,11.0,"3,00",8.0,2.0,1.0,0.0,0.0,1.0,"0,27",1.0,0.0,0.0,0.0,0.0,0.0,169.0,198.0,"85,4",2535.0,793.0,95.0,102.0,"93,1",65.0,73.0,"89,0",5.0,12.0,"41,7",0.0,0.3,0.2,-0.3,4.0,15.0,3.0,1.0,14.0,154.0,44.0,1.0,0.0,1.0,4.0,43.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Dest,2023-2024,PSV Eindhoven,nl NED,1. Eredivisie,19.0,14.0,12.0,7.0,0.0,11.0,20.0,"55,0",9.0,19.0,3.0,16.0,9.0,28.0,17.0,1.0,Partite,55.0,"3,33",36.0,1.0,13.0,3.0,0.0,7.0,"0,42",6.0,0.0,0.0,0.0,1.0,0.0,852.0,984.0,"86,6",12442.0,3272.0,504.0,533.0,"94,6",298.0,358.0,"83,2",32.0,52.0,"61,5",5.0,2.6,3.0,2.4,25.0,69.0,30.0,15.0,78.0,849.0,133.0,13.0,3.0,0.0,58.0,120.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. de_Vrij,2022-2023,Inter,it ITA,1. Serie A,28.0,18.0,19.0,9.0,0.0,8.0,14.0,"57,1",6.0,18.0,10.0,8.0,40.0,68.0,80.0,0.0,Partite,13.0,"0,60",10.0,0.0,0.0,0.0,1.0,1.0,"0,05",1.0,0.0,0.0,0.0,0.0,0.0,1078.0,1206.0,"89,4",19552.0,5861.0,365.0,390.0,"93,6",634.0,674.0,"94,1",67.0,111.0,"60,4",0.0,0.2,0.7,-0.2,1.0,42.0,0.0,0.0,55.0,1183.0,21.0,17.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
