Giocatore,Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off
Ruan Tressoldi,2022-2023,23,Sassuolo,it ITA,1. Serie A,13th,19.0,38,26,25,12,1,19,29,65.5,10,29,17,12,24,62,80,3.0,Matches,6,0.32,6,0,0,0,0,0,0.00,0,0,0,0,0,0.0,835,88.9,16214,4320,248,275,90.2,499,535,93.3,74,97,76.3,0,0.0,0.8,0.0,1,22,1,0,22.0,875,62,35,1,3,0,2,0,0,0,0,2
Ruan Tressoldi,2023-2024,24,Sassuolo,it ITA,1. Serie A,18th,13.5,20,11,9,8,3,8,12,66.7,4,14,12,2,19,39,52,2.0,Matches,8,0.59,6,0,0,1,1,1,0.07,0,0,0,0,1,0.0,476,87.2,9197,2717,151,171,88.3,265,289,91.7,51,69,73.9,0,0.6,0.4,-0.6,4,17,2,0,28.0,510,36,25,0,1,0,1,0,0,0,0,0
