,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Spezia (4 stagioni),Sassuolo (4 stagioni),Parma (1 stagione),,Serie A (7 stagioni),Serie B (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2019-2020,21,Spezia,it ITA,2. Serie B,3°,19.7,1222,1180,42,40,0,20,1,2,0,0,0,0,1052,0,5,Partite
2020-2021,22,Spezia,it ITA,1. Serie A,15°,20.0,1075,1011,62,57,0,13,2,5,0,0,0,0,911,2,4,Partite
2021-2022,23,Spezia,it ITA,1. Serie A,16°,28.6,1101,1036,60,56,2,12,2,1,0,0,0,0,882,5,8,Partite
2022-2023,24,Sassuolo,it ITA,1. Serie A,13°,25.9,1295,1236,57,53,2,20,2,4,0,0,0,0,1111,2,8,Partite
2023-2024,25,Sassuolo,it ITA,1. Serie A,18°,20.2,889,837,51,41,0,11,3,3,0,0,0,0,726,1,3,Partite
9 stagioni,3 club,,2 campionati,,114.3,5582,5300,272,247,4,76,10,15,0,0,0,0,4682,10,28,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Spezia (4 stagioni),,2 campionati,,68.3,3398,3227,164,153,2,45,5,8,0,0,0,0,2845,7,17,
Sassuolo (4 stagioni),,1 campionato,,46.1,2184,2073,108,94,2,31,5,7,0,0,0,0,1837,3,11,
Parma (1 stagione),,1 campionato,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,94.7,4360,4120,230,207,4,56,9,13,0,0,0,0,3630,10,23,
Serie B (2 stagioni),,,,19.7,1222,1180,42,40,0,20,1,2,0,0,0,0,1052,0,5,
