,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2014-2015,17,Milan,it ITA,1. Serie A,10°,0.1,,,,,,,,,,,,,,,,,Partite
2015-2016,18,Milan,it ITA,1. Serie A,7°,4.1,,,,,,,,,,,,,,,,,Partite
2016-2017,19,Milan,it ITA,1. Serie A,6°,11.0,,27,,,,,,,,,,,21,,,,Partite
2017-2018,20,Milan,it ITA,1. Serie A,6°,17.4,64,50,33,24,7,21,41,"51,2",20,19,4,15,33,97,82,1,Partite
2018-2019,21,Milan,it ITA,1. Serie A,5°,21.7,79,51,58,16,5,37,67,"55,2",30,33,1,32,32,111,78,1,Partite
2019-2020,22,Milan,it ITA,1. Serie A,6°,18.0,52,33,28,22,2,17,41,"41,5",24,23,5,18,21,73,47,1,Partite
2020-2021,23,Milan,it ITA,1. Serie A,2°,29.4,101,64,61,32,8,54,90,"60,0",36,42,9,33,37,138,82,1,Partite
2021-2022,24,Milan,it ITA,1. Serie A,1°,23.5,62,37,31,23,8,37,72,"51,4",35,25,5,20,23,85,40,1,Partite
2022-2023,25,Milan,it ITA,1. Serie A,4°,18.8,71,44,31,32,8,38,61,"62,3",23,22,7,15,25,96,34,0,Partite
2023-2024,26,Milan,it ITA,1. Serie A,3°,18.3,47,23,27,16,4,31,53,"58,5",22,20,4,16,21,68,40,0,Partite
10 stagioni,1 club,,1 campionato,,162.3,476,329,269,165,42,235,425,"55,3",190,184,35,149,213,668,403,5,
