Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco
M. Wieteska,2022-2023,Legia Warsaw,pl POL,1. Ekstraklasa,41,23,28,13,0,19,33,"57,6",14,44,28,16,56,97,97,4.0,Partite,20,"0,58",15,0,1,1,0,3,"0,09",0,0,0,2,1,0.0,1344,1631,"82,4",25000,10745,518,587,"88,2",670,756,"88,6",128,239,"53,6",0,0.3,0.6,+0.7,3,80,5,0,99.0,1550,75,49,2,6,1,22,0,0,0,0,6
M. Wieteska,2023-2024,Clermont Foot,fr FRA,1. Ligue 1,4,1,3,1,0,3,5,"60,0",2,4,2,2,5,9,8,0.0,Partite,1,"0,51",1,0,0,0,0,0,"0,00",0,0,0,0,0,0.0,89,114,"78,1",1763,785,23,30,"76,7",56,60,"93,3",8,21,"38,1",0,0.0,0.0,0.0,0,11,0,0,6.0,107,7,6,0,0,0,0,0,0,0,0,0
