,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2021,2021,2022,2022-2023,2023-2024,2023-2024,3 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Hellas Verona (2 stagioni),Djurgården (2 stagioni),Vasalund (1 stagione),Atalanta (1 stagione),,Serie A (2 stagioni),Allsvenskan (2 stagioni),Superettan (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2021,22,Vasalund,se SWE,2. Superettan,15°,12.0,,,,,,,,,,,,,,,,,Partite
2021,22,Djurgården,se SWE,1. Allsvenskan,3°,0.4,,1,,,,,,,,,,,0,,,,Partite
2022,23,Djurgården,se SWE,1. Allsvenskan,2°,14.2,,18,,,,,,,,,,,22,,,,Partite
2022-2023,23,Hellas Verona,it ITA,1. Serie A,18°,29.0,73,36,54,19,0,38,61,"62,3",23,40,17,23,31,104,92,1,Partite
2023-2024,24,Hellas Verona,it ITA,1. Serie A,17°,9.6,17,10,10,7,0,10,19,"52,6",9,12,5,7,7,24,33,1,Partite
2023-2024,24,Atalanta,it ITA,1. Serie A,6°,1.1,5,5,2,3,0,1,1,"100,0",0,1,0,1,2,7,2,0,Partite
3 stagioni,4 club,,3 campionati,,66.2,95,70,66,29,0,49,81,"60,5",32,53,22,31,62,135,127,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Hellas Verona (2 stagioni),,1 campionato,,38.6,90,46,64,26,0,48,80,"60,0",32,52,22,30,38,128,125,2,
Djurgården (2 stagioni),,1 campionato,,14.5,,19,,,,,,,,,,,22,0,,,
Vasalund (1 stagione),,1 campionato,,12.0,,,,,,,,,,,,,,0,,,
Atalanta (1 stagione),,1 campionato,,1.1,5,5,2,3,0,1,1,"100,0",0,1,0,1,2,7,2,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,39.6,95,51,66,29,0,49,81,"60,5",32,53,22,31,40,135,127,2,
Allsvenskan (2 stagioni),,,,14.5,,19,,,,,,,,,,,22,0,,,
Superettan (1 stagione),,,,12.0,,,,,,,,,,,,,,0,,,
