Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco
L. Bonucci,2022-2023,Juventus,it ITA,1. Serie A,5,4,1,4,0,2,4,"50,0",2,12,8,4,13,18,29,0.0,Partite,9,"0,92",7,0,0,0,1,1,"0,10",0,0,0,1,0,0.0,508,580,"87,6",10749,4060,139,149,"93,3",295,316,"93,4",71,106,"67,0",0,0.2,0.3,-0.2,4,35,4,0,28.0,539,40,13,1,6,0,1,0,0,0,0,1
L. Bonucci,2023-2024,Union Berlin,de GER,1. Bundesliga,6,5,2,4,0,4,4,"100,0",0,5,3,2,7,13,16,0.0,Partite,4,"0,78",4,0,0,0,0,0,"0,00",0,0,0,0,0,0.0,190,248,"76,6",4063,1911,51,58,"87,9",105,118,"89,0",31,67,"46,3",0,0.3,0.1,-0.3,2,17,2,1,21.0,236,11,7,0,1,6,4,0,0,0,0,1
