,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Bordeaux (2 stagioni),Milan (2 stagioni),Cagliari (1 stagione),Pescara (1 stagione),Torino (1 stagione),Inter (1 stagione),Atalanta (1 stagione),,Serie A (6 stagioni),Ligue 1 (2 stagioni),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12°,0.7,1,1,1,0,0,0,1,"0,0",1,0,0,0,0,1,0,0,Partite
2019-2020,19,Atalanta,it ITA,1. Serie A,3°,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partite
2020-2021,20,Pescara,it ITA,2. Serie B,19°,26.0,26,22,12,10,4,15,24,"62,5",9,21,11,10,34,60,47,1,Partite
2021-2022,21,Cagliari,it ITA,1. Serie A,18°,27.7,29,15,14,12,3,6,27,"22,2",21,39,8,31,21,50,51,0,Partite
2022-2023,22,Inter,it ITA,1. Serie A,3°,5.5,14,6,11,2,1,9,14,"64,3",5,6,1,5,4,18,14,0,Partite
2023-2024,23,Torino,it ITA,1. Serie A,10°,23.8,23,16,9,12,2,11,18,"61,1",7,16,2,14,13,36,25,1,Partite
7 stagioni,7 club,,3 campionati,,83.9,93,60,47,36,10,41,84,"48,8",43,82,22,60,72,165,137,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Bordeaux (2 stagioni),,1 campionato,,0.7,1,1,1,0,0,0,1,"0,0",1,0,0,0,0,1,0,0,
Milan (2 stagioni),,1 campionato,,,,,,,,,,,,,,,,0,,,
Cagliari (1 stagione),,1 campionato,,27.7,29,15,14,12,3,6,27,"22,2",21,39,8,31,21,50,51,0,
Pescara (1 stagione),,1 campionato,,26.0,26,22,12,10,4,15,24,"62,5",9,21,11,10,34,60,47,1,
Torino (1 stagione),,1 campionato,,23.8,23,16,9,12,2,11,18,"61,1",7,16,2,14,13,36,25,1,
Inter (1 stagione),,1 campionato,,5.5,14,6,11,2,1,9,14,"64,3",5,6,1,5,4,18,14,0,
Atalanta (1 stagione),,1 campionato,,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,57.2,66,37,34,26,6,26,59,"44,1",33,61,11,50,38,104,90,1,
Ligue 1 (2 stagioni),,,,0.7,1,1,1,0,0,0,1,"0,0",1,0,0,0,0,1,0,0,
Serie B (1 stagione),,,,26.0,26,22,12,10,4,15,24,"62,5",9,21,11,10,34,60,47,1,
