Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco
P. Dawidowicz,2022-2023,Hellas Verona,it ITA,1. Serie A,48,31,28,17,3,22,31,"71,0",9,14,9,5,23,71,71,0.0,Partite,16,"0,88",13,1,0,0,1,1,"0,06",0,0,0,1,0,0.0,613,827,"74,1",11131,4374,258,296,"87,2",277,354,"78,2",69,146,"47,3",1,0.8,0.3,+0.2,5,47,2,0,60.0,756,70,31,1,1,13,39,0,0,0,0,1
P. Dawidowicz,2023-2024,Hellas Verona,it ITA,1. Serie A,39,24,24,14,1,13,23,"56,5",10,12,7,5,16,55,83,0.0,Partite,8,"0,47",5,1,0,0,0,1,"0,06",0,0,0,1,0,0.0,757,889,"85,2",15815,5390,189,220,"85,9",466,507,"91,9",96,143,"67,1",0,0.0,0.1,0.0,2,45,2,0,61.0,831,57,43,0,9,2,7,0,0,0,0,1
