,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Roma (3 stagioni),Hellas Verona (3 stagioni),Sassuolo (1 stagione),,Serie A (6 stagioni),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2018-2019,18,Hellas Verona,it ITA,2. Serie B,5°,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Partite
2019-2020,19,Hellas Verona,it ITA,1. Serie A,9°,21.7,40,24,21,17,2,19,36,"52,8",17,33,24,9,50,90,86,3,Partite
2020-2021,20,Roma,it ITA,1. Serie A,7°,15.1,16,11,8,7,1,5,17,"29,4",12,12,5,7,24,40,38,1,Partite
2021-2022,21,Roma,it ITA,1. Serie A,6°,11.4,21,13,13,7,1,8,15,"53,3",7,17,8,9,16,37,26,0,Partite
2022-2023,22,Roma,it ITA,1. Serie A,6°,2.9,4,4,2,2,0,2,3,"66,7",1,2,1,1,4,8,6,0,Partite
2023-2024,23,Sassuolo,it ITA,1. Serie A,18°,0.2,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0,Partite
7 stagioni,3 club,,2 campionati,,51.4,81,52,44,33,4,34,71,"47,9",37,67,41,26,95,176,156,4,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Roma (3 stagioni),,1 campionato,,29.4,41,28,23,16,2,15,35,"42,9",20,31,14,17,44,85,70,1,
Hellas Verona (3 stagioni),,2 campionati,,21.9,40,24,21,17,2,19,36,"52,8",17,33,24,9,51,91,86,3,
Sassuolo (1 stagione),,1 campionato,,0.2,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,51.2,81,52,44,33,4,34,71,"47,9",37,67,41,26,94,175,156,4,
Serie B (1 stagione),,,,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,
