,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Spezia (3 stagioni),Wisła Płock (2 stagioni),Crotone (1 stagione),SPAL (1 stagione),Atalanta (1 stagione),,Serie A (5 stagioni),Ekstraklasa (2 stagioni),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,21,Wisła Płock,pl POL,1. Ekstraklasa,12°,20.0,,0,,,,,,,,,,,0,,,,Partite
2017-2018,22,Wisła Płock,pl POL,1. Ekstraklasa,5°,28.9,,0,,,,,,,,,,,0,,,,Partite
2018-2019,23,Atalanta,it ITA,1. Serie A,3°,0.5,2,0,1,0,1,0,1,"0,0",1,0,0,0,3,5,0,0,Partite
2019-2020,24,SPAL,it ITA,1. Serie A,20°,21.4,38,23,22,10,6,13,39,"33,3",26,15,2,13,32,70,48,1,Partite
2020-2021,25,Crotone,it ITA,1. Serie A,19°,25.7,34,16,15,11,8,10,45,"22,2",35,30,3,27,50,84,64,0,Partite
2021-2022,26,Spezia,it ITA,1. Serie A,16°,19.7,31,19,21,3,7,20,30,"66,7",10,20,7,13,32,63,47,2,Partite
2022-2023,27,Spezia,it ITA,1. Serie A,17°,24.1,44,28,22,12,10,19,32,"59,4",13,21,5,16,24,68,54,0,Partite
2023-2024,28,Spezia,it ITA,2. Serie B,18°,10.0,16,7,13,3,0,7,14,"50,0",7,6,1,5,13,29,22,0,Partite
8 stagioni,5 club,,3 campionati,,150.4,165,93,94,39,32,69,161,"42,9",92,92,18,74,154,319,235,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Spezia (3 stagioni),,2 campionati,,53.9,91,54,56,18,17,46,76,"60,5",30,47,13,34,69,160,123,2,
Wisła Płock (2 stagioni),,1 campionato,,48.9,,0,,,,,,,,,,,0,0,,,
Crotone (1 stagione),,1 campionato,,25.7,34,16,15,11,8,10,45,"22,2",35,30,3,27,50,84,64,0,
SPAL (1 stagione),,1 campionato,,21.4,38,23,22,10,6,13,39,"33,3",26,15,2,13,32,70,48,1,
Atalanta (1 stagione),,1 campionato,,0.5,2,0,1,0,1,0,1,"0,0",1,0,0,0,3,5,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,91.5,149,86,81,36,32,62,147,"42,2",85,86,17,69,141,290,213,3,
Ekstraklasa (2 stagioni),,,,48.9,,0,,,,,,,,,,,0,0,,,
Serie B (1 stagione),,,,10.0,16,7,13,3,0,7,14,"50,0",7,6,1,5,13,29,22,0,
