,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017-2018,,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Lazio (2 stagioni),Hellas Verona (2 stagioni),Empoli (1 stagione),Venezia (1 stagione),Perugia (1 stagione),,Serie A (4 stagioni),Serie B (3 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017-2018,19,Perugia,it ITA,2. Serie B,8°,0.1,,,,,,,,,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,21,Venezia,it ITA,2. Serie B,11°,16.2,24,16,23,1,0,16,17,"94,1",1,17,10,7,16,40,46,0,Partite
2020-2021,22,Empoli,it ITA,2. Serie B,1°,20.6,35,23,21,11,3,14,20,"70,0",6,23,8,15,30,65,69,1,Partite
2021-2022,23,Hellas Verona,it ITA,1. Serie A,9°,28.7,46,30,25,19,2,21,37,"56,8",16,31,12,19,49,95,95,0,Partite
2022-2023,24,Lazio,it ITA,1. Serie A,2°,27.1,42,20,28,14,0,22,34,"64,7",12,25,17,8,17,59,73,1,Partite
2023-2024,25,Lazio,it ITA,1. Serie A,8°,10.5,8,3,8,0,0,6,13,"46,2",7,12,10,2,5,13,41,0,Partite
6 stagioni,5 club,,2 campionati,,103.2,155,92,105,45,5,79,121,"65,3",42,108,57,51,117,272,324,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Lazio (2 stagioni),,1 campionato,,37.6,50,23,36,14,0,28,47,"59,6",19,37,27,10,22,72,114,1,
Hellas Verona (2 stagioni),,1 campionato,,28.7,46,30,25,19,2,21,37,"56,8",16,31,12,19,49,95,95,0,
Empoli (1 stagione),,1 campionato,,20.6,35,23,21,11,3,14,20,"70,0",6,23,8,15,30,65,69,1,
Venezia (1 stagione),,1 campionato,,16.2,24,16,23,1,0,16,17,"94,1",1,17,10,7,16,40,46,0,
Perugia (1 stagione),,1 campionato,,0.1,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,66.3,96,53,61,33,2,49,84,"58,3",35,68,39,29,71,167,209,1,
Serie B (3 stagioni),,,,36.9,59,39,44,12,3,30,37,"81,1",7,40,18,22,46,105,115,1,
