,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2009-2010,2009-2010,2010-2011,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Bristol City (7 stagioni),Cheltenham (3 stagioni),Cardiff City (3 stagioni),Portsmouth (3 stagioni),Dag & Red (1 stagione),Wycombe (1 stagione),,Championship (8 stagioni),League One (5 stagioni),League Two (4 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2009-2010,18,Dag & Red,eng ENG,4. League Two,7°,16.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2009-2010,18,Wycombe,eng ENG,3. League One,22°,6.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,19,Portsmouth,eng ENG,2. Championship,16°,0.1,,,,,,,,,,,,,,,0,,,,,,,,,
2010-2011,19,Cheltenham,eng ENG,4. League Two,17°,33.1,,,,,,,,,,,,,,,2,,,,,,,,,
2011-2012,20,Cheltenham,eng ENG,4. League Two,6°,42.2,,,,,,,,,,,,,,,6,,,,,,,,,
2012-2013,21,Cheltenham,eng ENG,4. League Two,5°,39.8,,,,,,,,,,,,,,,2,,,,,,,,,
2013-2014,22,Bristol City,eng ENG,3. League One,12°,34.5,,,,,,,,,,,,,,,2,,,,,,,,,
2014-2015,23,Bristol City,eng ENG,3. League One,1°,23.8,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2015-2016,24,Bristol City,eng ENG,2. Championship,18°,44.1,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2016-2017,25,Bristol City,eng ENG,2. Championship,17°,26.5,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,26,Bristol City,eng ENG,2. Championship,11°,35.1,,,,,,,,,,,,,,,6,,,,,,,,,Partite
