,Total,Short,Medium,Long,,Expected,,,Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,2023-2024,1 Season
,Total,Short,Medium,Long,,Expected,,
Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2023-2024,19,Frosinone,it ITA,1. Serie A,16th,2.4,134,154,87.0,2107,820,71,74,95.9,58,65,89.2,4,12,33.3,0,0.0,0.0,0.0,0,11,0,0,12,Matches
1 Season,1 Club,,1 League,,2.4,134,154,87.0,2107,820,71,74,95.9,58,65,89.2,4,12,33.3,0,0.0,0.0,0.0,0,11,0,0,12,
