,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2015,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,RB Leipzig (3 stagioni),Manchester City (3 stagioni),Manchester City (2 stagioni),NAC Breda (1 stagione),PSV Eindhoven (1 stagione),Hoffenheim (1 stagione),Mallorca (1 stagione),NYCFC (1 stagione),Galatasaray (1 stagione),Roma (1 stagione),,Bundesliga (4 stagioni),Premier League (3 stagioni),Eredivisie (2 stagioni),PL2 — Div. 1 (2 stagioni),Segunda División (1 stagione),MLS (1 stagione),Süper Lig (1 stagione),Serie A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2015,18,NYCFC,us USA,1. MLS,17°,11.0,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2016-2017,19,Mallorca,es ESP,2. Segunda División,20°,13.7,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2016-2017,19,Manchester City,eng ENG,Jr. PL2 — Div. 1,2°,6.0,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,20,NAC Breda,nl NED,1. Eredivisie,14°,34.0,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2018-2019,21,PSV Eindhoven,nl NED,1. Eredivisie,2°,33.9,1803,2442,"73,8",29085,10813,937,1055,"88,8",661,909,"72,7",149,329,"45,3",9,10.8,10.1,-1.8,68,146,88,44,194,Partite
2019-2020,22,Manchester City,eng ENG,1. Premier League,2°,4.7,333,429,"77,6",5053,1272,178,201,"88,6",131,169,"77,5",16,36,"44,4",0,1.5,1.1,-1.5,9,30,16,9,41,Partite
2019-2020,22,Manchester City,eng ENG,Jr. PL2 — Div. 1,9°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,22,RB Leipzig,de GER,1. Bundesliga,3°,12.2,574,767,"74,8",9428,3269,282,324,"87,0",208,262,"79,4",56,117,"47,9",2,2.0,2.8,0.0,19,42,22,7,56,Partite
2020-2021,23,RB Leipzig,de GER,1. Bundesliga,2°,24.0,1057,1500,"70,5",17210,6049,561,634,"88,5",373,516,"72,3",92,248,"37,1",4,5.5,7.2,-1.5,52,70,55,28,93,Partite
2021-2022,24,RB Leipzig,de GER,1. Bundesliga,4°,25.5,1082,1516,"71,4",17957,6443,546,608,"89,8",381,519,"73,4",109,291,"37,5",5,5.2,8.4,-0.2,52,68,54,36,73,Partite
2022-2023,25,Hoffenheim,de GER,1. Bundesliga,12°,29.1,1012,1544,"65,5",19297,7991,424,501,"84,6",433,616,"70,3",143,339,"42,2",8,7.2,7.7,+0.8,50,82,52,29,108,Partite
2023-2024,26,Roma,it ITA,1. Serie A,5°,3.5,147,186,"79,0",2484,986,73,75,"97,3",56,72,"77,8",16,33,"48,5",0,0.5,0.3,-0.5,5,12,5,3,8,Partite
2023-2024,26,Galatasaray,tr TUR,1. Süper Lig,2°,6.7,,,,,,,,,,,,,,,1,,,,,,,,,Partite
10 stagioni,9 club,,7 campionati,,198.4,6008,8384,"71,7",100514,36823,3001,3398,"88,3",2243,3063,"73,2",581,1393,"41,7",41,32.7,37.7,+8.3,255,450,292,156,573,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
RB Leipzig (3 stagioni),,1 campionato,,61.7,2713,3783,"71,7",44595,15761,1389,1566,"88,7",962,1297,"74,2",257,656,"39,2",11,12.7,18.4,-1.7,123,180,131,71,222,
Manchester City (3 stagioni),,1 campionato,,4.7,333,429,"77,6",5053,1272,178,201,"88,6",131,169,"77,5",16,36,"44,4",0,1.5,1.1,-1.5,9,30,16,9,41,
Manchester City (2 stagioni),,1 campionato,,7.0,,,,,,,,,,,,,,,1,,,,,,,,,
NAC Breda (1 stagione),,1 campionato,,34.0,,,,,,,,,,,,,,,6,,,,,,,,,
PSV Eindhoven (1 stagione),,1 campionato,,33.9,1803,2442,"73,8",29085,10813,937,1055,"88,8",661,909,"72,7",149,329,"45,3",9,10.8,10.1,-1.8,68,146,88,44,194,
Hoffenheim (1 stagione),,1 campionato,,29.1,1012,1544,"65,5",19297,7991,424,501,"84,6",433,616,"70,3",143,339,"42,2",8,7.2,7.7,+0.8,50,82,52,29,108,
Mallorca (1 stagione),,1 campionato,,13.7,,,,,,,,,,,,,,,3,,,,,,,,,
NYCFC (1 stagione),,1 campionato,,11.0,,,,,,,,,,,,,,,3,,,,,,,,,
Galatasaray (1 stagione),,1 campionato,,6.7,,,,,,,,,,,,,,,1,,,,,,,,,
Roma (1 stagione),,1 campionato,,3.5,147,186,"79,0",2484,986,73,75,"97,3",56,72,"77,8",16,33,"48,5",0,0.5,0.3,-0.5,5,12,5,3,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 stagioni),,,,90.8,3725,5327,"69,9",63892,23752,1813,2067,"87,7",1395,1913,"72,9",400,995,"40,2",19,19.9,26.2,-0.9,173,262,183,100,330,
Premier League (3 stagioni),,,,4.7,333,429,"77,6",5053,1272,178,201,"88,6",131,169,"77,5",16,36,"44,4",0,1.5,1.1,-1.5,9,30,16,9,41,
Eredivisie (2 stagioni),,,,67.9,1803,2442,"73,8",29085,10813,937,1055,"88,8",661,909,"72,7",149,329,"45,3",15,10.8,10.1,+4.2,68,146,88,44,194,
PL2 — Div. 1 (2 stagioni),,,,7.0,,,,,,,,,,,,,,,1,,,,,,,,,
Segunda División (1 stagione),,,,13.7,,,,,,,,,,,,,,,3,,,,,,,,,
MLS (1 stagione),,,,11.0,,,,,,,,,,,,,,,3,,,,,,,,,
Süper Lig (1 stagione),,,,6.7,,,,,,,,,,,,,,,1,,,,,,,,,
Serie A (1 stagione),,,,3.5,147,186,"79,0",2484,986,73,75,"97,3",56,72,"77,8",16,33,"48,5",0,0.5,0.3,-0.5,5,12,5,3,8,
