,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017-2018,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Go Ahead Eag (4 stagioni),AZ Alkmaar (2 stagioni),Bologna (1 stagione),,Eerste Divisie (4 stagioni),Eredivisie (2 stagioni),Serie A (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017-2018,18,Go Ahead Eag,nl NED,2. Eerste Divisie,17°,4.9,,,,,,,0,,,,,,,,,Partite
2019-2020,20,Go Ahead Eag,nl NED,2. Eerste Divisie,6°,21.9,,,,,,,4,,,,,,,,,Partite
2020-2021,21,Go Ahead Eag,nl NED,2. Eerste Divisie,2°,36.5,,,,,,,5,,,,,,,,,Partite
2021-2022,22,AZ Alkmaar,nl NED,1. Eredivisie,5°,11.0,646,631,15,11,0,3,2,3,0,0,0,0,540,0,5,Partite
2022-2023,23,AZ Alkmaar,nl NED,1. Eredivisie,4°,24.4,1677,1641,34,20,3,10,4,2,0,0,0,0,1472,2,6,Partite
2023-2024,24,Bologna,it ITA,1. Serie A,4°,21.6,1518,1468,49,34,1,10,2,3,0,0,0,0,1361,1,7,Partite
7 stagioni,3 club,,3 campionati,,120.4,3841,3740,98,65,4,23,17,8,0,0,0,0,3373,3,18,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Go Ahead Eag (4 stagioni),,1 campionato,,63.3,,,,,,,9,,,,,,,,,
AZ Alkmaar (2 stagioni),,1 campionato,,35.5,2323,2272,49,31,3,13,6,5,0,0,0,0,2012,2,11,
Bologna (1 stagione),,1 campionato,,21.6,1518,1468,49,34,1,10,2,3,0,0,0,0,1361,1,7,
,,,,,,,,,,,,,,,,,,,,
Eerste Divisie (4 stagioni),,,,63.3,,,,,,,9,,,,,,,,,
Eredivisie (2 stagioni),,,,35.5,2323,2272,49,31,3,13,6,5,0,0,0,0,2012,2,11,
Serie A (1 stagione),,,,21.6,1518,1468,49,34,1,10,2,3,0,0,0,0,1361,1,7,
