,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017-2018,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Go Ahead Eag (4 stagioni),AZ Alkmaar (2 stagioni),Bologna (1 stagione),,Eerste Divisie (4 stagioni),Eredivisie (2 stagioni),Serie A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017-2018,18,Go Ahead Eag,nl NED,2. Eerste Divisie,17°,4.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,20,Go Ahead Eag,nl NED,2. Eerste Divisie,6°,21.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2020-2021,21,Go Ahead Eag,nl NED,2. Eerste Divisie,2°,36.5,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2021-2022,22,AZ Alkmaar,nl NED,1. Eredivisie,5°,11.0,540,646,"83,6",10056,3959,189,214,"88,3",300,330,"90,9",43,84,"51,2",1,0.4,0.4,+0.6,3,38,3,1,41,Partite
2022-2023,23,AZ Alkmaar,nl NED,1. Eredivisie,4°,24.4,1472,1677,"87,8",28916,9948,462,510,"90,6",828,882,"93,9",157,245,"64,1",0,0.1,1.0,-0.1,4,146,8,0,135,Partite
2023-2024,24,Bologna,it ITA,1. Serie A,4°,21.6,1361,1518,"89,7",25316,8625,498,530,"94,0",733,776,"94,5",106,173,"61,3",1,0.8,0.4,+0.2,6,61,3,0,53,Partite
7 stagioni,3 club,,3 campionati,,120.4,3373,3841,"87,8",64288,22532,1149,1254,"91,6",1861,1988,"93,6",306,502,"61,0",4,1.4,1.8,+2.6,13,245,14,1,229,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Go Ahead Eag (4 stagioni),,1 campionato,,63.3,,,,,,,,,,,,,,,2,,,,,,,,,
AZ Alkmaar (2 stagioni),,1 campionato,,35.5,2012,2323,"86,6",38972,13907,651,724,"89,9",1128,1212,"93,1",200,329,"60,8",1,0.6,1.4,+0.4,7,184,11,1,176,
Bologna (1 stagione),,1 campionato,,21.6,1361,1518,"89,7",25316,8625,498,530,"94,0",733,776,"94,5",106,173,"61,3",1,0.8,0.4,+0.2,6,61,3,0,53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eerste Divisie (4 stagioni),,,,63.3,,,,,,,,,,,,,,,2,,,,,,,,,
Eredivisie (2 stagioni),,,,35.5,2012,2323,"86,6",38972,13907,651,724,"89,9",1128,1212,"93,1",200,329,"60,8",1,0.6,1.4,+0.4,7,184,11,1,176,
Serie A (1 stagione),,,,21.6,1361,1518,"89,7",25316,8625,498,530,"94,0",733,776,"94,5",106,173,"61,3",1,0.8,0.4,+0.2,6,61,3,0,53,
