,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Milan (7 stagioni),Roma (3 stagioni),Lazio (2 stagioni),Sampdoria (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2012-2013,17,Roma,it ITA,1. Serie A,6°,1.1,,,,,,,,,,,,,,,,,Partite
2013-2014,18,Roma,it ITA,1. Serie A,2°,7.8,,,,,,,,,,,,,,,,,Partite
2014-2015,19,Sampdoria,it ITA,1. Serie A,7°,28.2,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Milan,it ITA,1. Serie A,7°,32.7,,,,,,,,,,,,,,,,,Partite
2016-2017,21,Milan,it ITA,1. Serie A,6°,26.3,,,,,,,,,,,,,,,,,Partite
2017-2018,22,Milan,it ITA,1. Serie A,6°,26.1,26,"0,99",22,0,1,3,0,0,3,"0,11",1,0,0,2,0,0,Partite
2018-2019,23,Milan,it ITA,1. Serie A,5°,31.6,20,"0,63",17,0,0,2,0,1,3,"0,09",2,0,0,1,0,0,Partite
2019-2020,24,Milan,it ITA,1. Serie A,6°,34.3,36,"1,05",27,2,1,3,3,0,4,"0,12",4,0,0,0,0,0,Partite
2020-2021,25,Milan,it ITA,1. Serie A,2°,21.2,14,"0,66",11,0,0,3,0,0,2,"0,09",2,0,0,0,0,0,Partite
2021-2022,26,Milan,it ITA,1. Serie A,1°,15.7,12,"0,77",11,0,0,1,0,0,2,"0,13",2,0,0,0,0,0,Partite
2022-2023,27,Lazio,it ITA,1. Serie A,2°,32.5,14,"0,43",11,3,0,0,0,0,3,"0,09",3,0,0,0,0,0,Partite
2023-2024,28,Lazio,it ITA,1. Serie A,8°,18.8,9,"0,48",9,0,0,0,0,0,1,"0,05",1,0,0,0,0,0,Partite
12 stagioni,4 club,,1 campionato,,276.4,131,"0,73",108,5,2,12,3,1,18,"0,10",15,0,0,3,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Milan (7 stagioni),,1 campionato,,188.0,108,"0,84",88,2,2,12,3,1,14,"0,11",11,0,0,3,0,0,
Roma (3 stagioni),,1 campionato,,8.9,,,,,,,,,,,,,,,,,
Lazio (2 stagioni),,1 campionato,,51.3,23,"0,45",20,3,0,0,0,0,4,"0,08",4,0,0,0,0,0,
Sampdoria (1 stagione),,1 campionato,,28.2,,,,,,,,,,,,,,,,,
