#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Parate,Clean Sheet,Goal Subiti,Rig Parati,Rig Subiti
195,L. Cacace,Dif,EMP,210.10,8.70,0.20,21,17,1587,0,5,22,0,2
197,A. Ismajli,Dif,EMP,208.10,8.70,0.20,21,18,1644,0,4,25,0,3
198,L. Ranieri,Dif,FIO,207.20,8.20,1.10,18,15,1347,0,5,17,0,2
199,F. Ebosele,Dif,UDI,206.80,7.90,-0.30,26,20,1595,0,4,27,0,5
201,J. Jesus,Dif,NAP,205.90,10.50,0.50,15,14,1307,0,3,16,0,1
205,M. Thiaw,Dif,MIL,202.40,13.80,-1.40,14,13,1116,0,4,16,0,4
206,S. Birindelli,Dif,MON,202.30,7.30,0.30,24,11,1151,0,4,18,0,3
207,L. Spinazzola,Dif,ROM,202.00,10.80,-1.30,18,13,1100,0,4,15,0,1
208,Joao Ferreira,Dif,UDI,201.40,6.10,1.30,24,14,1386,0,2,22,0,3
209,D. Rugani,Dif,JUV,200.70,9.10,1.10,13,9,842,0,5,6,0,0
210,G. Kyriakopoulos,Dif,MON,200.40,9.30,-0.90,20,15,1343,0,4,19,0,3
211,K. De Winter,Dif,GEN,200.40,8.00,1.00,19,16,1478,0,3,16,0,1
213,S. Sabelli,Dif,GEN,198.00,8.60,-0.40,23,22,1878,0,6,16,0,1
214,Mario Gila,Dif,LAZ,196.10,7.20,1.30,14,14,1201,0,5,13,0,2
216,A. Gallo,Dif,LEC,195.50,7.50,-0.50,24,19,1583,0,2,31,0,3
217,S. Walukiewicz,Dif,EMP,193.80,8.40,0.60,18,16,1414,0,5,24,0,3
222,E. Holm,Dif,ATA,191.30,11.80,-1.70,17,8,696,0,3,6,0,2
226,Patric,Dif,LAZ,188.50,7.80,1.20,13,13,1025,0,5,8,0,1
233,F. Terracciano,Dif,MIL,182.60,7.60,-0.50,19,14,1296,0,2,18,0,1
236,M. Olivera,Dif,NAP,182.20,11.30,-0.70,14,10,876,0,3,7,0,1
237,R. Karsdorp,Dif,ROM,181.90,9.80,-0.30,14,12,987,0,4,10,0,0
244,T. Kristensen,Dif,UDI,176.40,8.80,-0.30,17,15,1332,0,4,25,0,4
246,P. Mazzocchi,Dif,NAP,175.30,9.50,-2.50,24,19,1555,0,1,33,0,4
247,T. Augello,Dif,CAG,174.50,8.20,-1.60,22,18,1588,0,2,31,0,1
250,P. Dorgu,Dif,LEC,173.10,5.80,0.70,21,8,850,0,0,13,0,1
251,A. Oyono,Dif,FRO,172.90,9.10,-1.00,16,14,1197,0,2,23,0,1
257,J. Zemura,Dif,UDI,169.90,7.00,-0.10,20,10,937,0,3,15,0,2
258,G. Ferrari,Dif,SAS,169.50,8.30,-0.70,20,14,1278,0,1,27,0,1
260,J. Bijol,Dif,UDI,166.80,10.10,-1.00,13,13,1170,0,4,18,0,2
264,J. Toljan,Dif,SAS,164.40,8.50,-1.10,18,18,1615,0,1,32,0,5
268,N. Gyomber,Dif,SAL,160.70,7.10,-0.50,19,17,1530,0,1,34,0,7
269,Mario Rui,Dif,NAP,160.60,13.00,-3.00,16,11,921,0,2,13,0,0
270,F. Parisi,Dif,FIO,160.20,11.90,-2.70,15,11,999,0,1,15,0,4
274,M. Pedersen,Dif,SAS,157.10,8.50,-2.00,24,14,1394,0,1,37,0,2
276,M. Vojvoda,Dif,TOR,156.10,7.80,-1.30,18,8,784,0,6,9,0,3
277,L. De Silvestri,Dif,BOL,155.20,8.20,0.10,12,6,569,0,2,5,0,1
278,Y. Bisseck,Dif,INT,155.00,11.40,-0.60,10,5,476,0,4,1,0,0
279,C. Lykogiannis,Dif,BOL,154.40,6.40,-0.20,18,8,704,0,1,9,0,2
280,L. Pirola,Dif,SAL,154.10,8.90,-1.20,17,15,1208,0,0,29,0,4
281,M. Lovato,Dif,TOR,154.00,7.50,-0.60,18,15,1238,0,1,24,0,4
283,M. Gabbia,Dif,MIL,150.50,8.80,2.10,9,8,717,0,2,12,0,5
284,A. Izzo,Dif,MON,150.30,10.20,-0.90,12,9,729,0,4,9,0,2
296,D. Coppola,Dif,VER,141.20,5.60,0.50,14,9,825,0,2,13,0,1
297,Natan,Dif,NAP,140.20,13.00,-3.00,13,10,910,0,2,14,0,0
298,P. Schuurs,Dif,TOR,139.90,13.60,-1.50,9,9,771,0,4,9,0,2
301,J. Doig,Dif,SAS,138.70,8.80,-1.90,19,18,1433,0,1,30,0,2
304,L. Pellegrini,Dif,LAZ,133.70,7.60,-1.00,15,5,589,0,2,6,0,0
307,B. Bereszynski,Dif,EMP,131.70,7.20,-0.40,13,12,872,0,2,19,0,2
311,I. Hien,Dif,ATA,130.30,9.00,-1.60,16,9,956,0,2,12,0,0
312,R. Marchizza,Dif,FRO,129.80,6.50,-0.60,13,13,1149,0,1,21,0,1
314,Ruan Tressoldi,Dif,SAS,128.30,8.00,-2.10,21,13,1214,0,0,35,0,6
319,K. Djidji,Dif,TOR,126.50,8.90,-0.90,12,7,683,0,4,7,0,1
320,Paulo Azzi,Dif,CAG,126.00,5.70,-0.80,18,9,844,0,2,16,0,1
321,T. Ebuehi,Dif,EMP,124.30,8.30,-1.80,14,11,1073,0,4,15,0,0
328,A. Sandro,Dif,JUV,120.30,8.80,-1.20,12,6,532,0,1,4,0,0
329,Pedro Pereira,Dif,MON,119.50,5.10,0.00,17,8,661,0,1,13,0,2
331,C. Kabasele,Dif,UDI,117.80,6.90,-0.70,11,10,859,0,2,17,0,5
332,D. Faraoni,Dif,FIO,116.50,8.70,-2.40,15,10,892,0,1,17,0,2
334,N. Casale,Dif,LAZ,113.90,12.00,-3.10,12,9,944,0,1,17,0,0
337,F. Fazio,Dif,SAL,111.60,5.40,-0.20,11,9,832,0,1,15,0,2
338,E. Hysaj,Dif,LAZ,110.90,7.20,-1.60,14,7,709,0,0,15,0,1
339,D. Huijsen,Dif,ROM,110.40,5.70,-0.20,10,3,356,0,0,8,0,0
343,P. Lirola,Dif,FRO,105.70,7.60,-2.00,14,9,676,0,0,19,0,2
352,N. Zortea,Dif,FRO,97.90,5.60,-0.80,8,3,415,0,0,6,0,0
353,J. Cabal,Dif,VER,97.30,4.90,-0.60,12,7,674,0,2,10,0,1
355,A. Vogliacco,Dif,GEN,95.80,7.50,-1.00,12,6,565,0,0,8,0,0
356,Aaron Martin,Dif,GEN,95.40,9.10,-2.90,14,9,758,0,3,12,0,0
357,L. Gianetti,Dif,UDI,93.80,7.40,1.10,5,5,450,0,2,4,0,0
360,M. Wieteska,Dif,CAG,92.40,7.40,-1.60,11,8,709,0,1,15,0,0
362,A. Masina,Dif,TOR,90.30,7.40,-1.50,10,5,525,0,2,7,0,2
369,H. Hateboer,Dif,ATA,87.30,8.30,-2.30,13,5,566,0,1,11,0,1
377,R. Toloi,Dif,ATA,80.60,10.90,-3.20,10,4,444,0,3,4,0,1
378,K. Ehizibue,Dif,UDI,80.60,6.80,-1.80,13,3,398,0,1,11,0,3
379,P. Hatzidiakos,Dif,CAG,80.00,7.70,-1.90,10,10,643,0,1,13,0,0
381,Y. Mina,Dif,CAG,77.90,8.10,-1.70,9,5,451,0,1,9,0,1
382,M. Viti,Dif,SAS,76.60,7.50,-1.60,9,7,628,0,0,14,0,1
383,M. Bakker,Dif,ATA,74.50,11.70,-3.40,10,2,269,0,0,7,0,1
384,Z. Celik,Dif,ROM,73.30,8.00,-2.40,11,2,315,0,0,7,0,2
385,A. Obert,Dif,CAG,72.50,4.80,-1.30,11,6,575,0,1,19,0,2
390,R. Haps,Dif,GEN,67.40,5.90,-1.60,11,6,573,0,1,7,0,0
393,G. Pezzella,Dif,EMP,65.10,6.20,-1.80,9,4,353,0,0,10,0,1
398,A. Zanoli,Dif,SAL,62.30,6.70,-2.30,11,5,469,0,1,7,0,0
401,J. Cuadrado,Dif,INT,58.80,11.60,-2.90,7,0,149,0,0,0,0,0
404,C. Smalling,Dif,ROM,57.80,14.80,-3.50,6,4,362,0,0,8,0,1
405,S. Sazonov,Dif,TOR,57.40,6.60,-2.00,10,2,327,0,1,8,0,2
407,J. Simic,Dif,MIL,56.10,5.90,-0.20,4,0,143,0,1,1,0,0
408,J. Sambia,Dif,SAL,53.20,6.90,-2.10,9,4,452,0,0,10,0,3
416,A. Touba,Dif,LEC,46.80,6.60,-2.00,6,3,275,0,1,7,0,0
418,D. Spence,Dif,GEN,45.30,9.80,-0.20,4,3,237,0,1,2,0,0
420,Dodo,Dif,FIO,44.00,12.10,-3.00,5,4,268,0,0,8,0,1
423,T. Corazza,Dif,BOL,41.70,4.30,-1.80,6,1,144,0,1,1,0,0
424,Angelino,Dif,ROM,41.60,11.90,-0.60,5,5,324,0,1,4,0,0
428,N. Pierozzi,Dif,SAL,36.70,5.60,-2.00,5,4,324,0,1,6,0,2
430,M. Pellegrino,Dif,SAL,34.60,5.90,-2.00,6,4,457,0,0,12,0,1
432,E. Valeri,Dif,FRO,33.10,9.90,-0.50,5,4,373,0,0,13,0,1
434,A. Di Pardo,Dif,CAG,30.40,4.00,-0.60,11,0,226,0,0,5,0,0
436,J. Boateng,Dif,SAL,29.60,10.10,-0.50,4,3,173,0,1,5,0,0
438,D. Bartesaghi,Dif,MIL,28.30,4.00,-1.10,5,0,65,0,0,0,0,0
439,L. Venuti,Dif,LEC,26.60,4.60,-2.50,7,2,201,0,0,6,0,0
440,J. Palomino,Dif,ATA,26.10,7.20,-2.40,4,0,23,0,0,0,0,0
441,P. Kalulu,Dif,MIL,25.90,10.90,-3.20,4,1,108,0,0,2,0,0
442,T. Pasalidis,Dif,SAL,25.90,8.30,-0.40,4,3,271,0,1,6,0,0
448,K. Bonifazi,Dif,FRO,24.30,5.80,-2.30,3,2,181,0,0,6,0,1
449,A. Matturro,Dif,GEN,22.90,4.00,0.00,5,1,90,0,0,3,0,0
455,P. Comuzzo,Dif,FIO,19.70,4.40,-1.20,3,0,20,0,0,0,0,0
457,K. Manolas,Dif,SAL,18.90,9.30,-0.20,2,2,133,0,0,1,0,0
458,Ruben Vinagre,Dif,VER,17.80,9.70,-0.90,5,0,73,0,0,1,0,0
459,Alex Jimenez,Dif,MIL,17.80,5.00,-0.60,3,0,65,0,0,0,0,0
460,Mateus Lusuardi,Dif,FRO,17.70,5.30,-0.80,3,3,219,0,0,8,0,1
464,F. Missori,Dif,SAS,17.00,4.00,-1.60,4,0,99,0,0,4,0,0
469,T. Buchanan,Dif,INT,13.10,9.60,-0.70,2,0,27,0,0,0,0,0
472,D. Bronn,Dif,SAL,12.20,5.40,-2.70,4,0,49,0,0,4,0,0
473,F. Centonze,Dif,VER,12.10,7.70,-0.40,2,1,91,0,0,1,0,0
475,G. Donati,Dif,MON,11.30,4.00,-1.20,3,0,13,0,0,1,0,0
485,G. Cittadini,Dif,GEN,7.60,5.90,-2.60,2,0,15,0,0,0,0,0
489,E. Ebosse,Dif,UDI,6.40,4.50,-2.60,1,0,7,0,0,0,0,0
492,D. Bettella,Dif,MON,5.20,4.00,-0.60,1,0,3,0,0,0,0,0
494,M. Kumbulla,Dif,SAS,4.00,4.00,-2.60,1,0,13,0,0,0,0,0
498,A. Tikvic,Dif,UDI,3.50,4.00,-2.10,1,0,1,0,0,0,0,0
506,G. Bonfanti,Dif,ATA,1.60,5.50,-1.10,1,0,14,0,0,1,0,0
507,M. Caldara,Dif,MIL,0,4.00,-1.60,0,0,0,0,0,0,0,0
516,M. De Sciglio,Dif,JUV,0,4.00,-2.00,0,0,0,0,0,0,0,0
518,K. Dermaku,Dif,LEC,0.00,4.00,-1.10,0,0,0,0,0,0,0,0
523,A. Soumaoro,Dif,BOL,0,5.50,-2.60,0,0,0,0,0,0,0,0
526,W. Amey,Dif,BOL,0,4.00,-0.10,0,0,0,0,0,0,0,0
527,D. Kamenovic,Dif,LAZ,0.00,4.00,-0.10,0,0,0,0,0,0,0,0
530,J. Abankwah,Dif,UDI,0.00,4.40,-0.80,0,0,0,0,0,0,0,0
536,S. Kalaj,Dif,FRO,0,4.00,-2.10,0,0,0,0,0,0,0,0
543,M. Ilic,Dif,BOL,0.00,8.00,-0.60,0,0,0,0,0,0,0,0
544,S. Goglichidze,Dif,EMP,0.00,5.30,-0.70,0,0,0,0,0,0,0,0
545,Tiago Djalo,Dif,JUV,0.00,12.50,-0.50,0,0,0,0,0,0,0,0
