#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Pali,Goal Testa,Goal Rig,Goal Punizione,Chance Fallite,Goal/Min,SCR,Dribb Tentati,Dribb Riusciti
285,G. Magnani,Dif,VER,229.60,7.30,-1.30,24,19,1530,0,7,2,0,0,0,0,0,0,0,5,3
286,F. Ceccherini,Dif,VER,229.00,7.00,-1.10,22,18,1428,2,7,2,0,1,0,0,1,714,28.57,3,2
288,A. Terzic,Dif,FIO,225.70,5.60,0.60,22,8,926,1,9,2,0,0,0,0,0,926,11.11,24,16
291,S. Birindelli,Dif,MON,223.40,6.40,-2.90,31,14,1392,0,14,4,0,0,0,0,2,0,0,19,11
294,L. Bonucci,Dif,JUV,215.60,12.30,-5.10,16,9,875,1,5,2,1,0,0,0,1,875,20,1,1
295,C. Lykogiannis,Dif,BOL,212.60,7.00,-2.20,21,11,1104,2,19,6,1,1,0,0,0,552,10.53,11,4
302,S. Kjaer,Dif,MIL,205.90,9.00,-2.30,17,12,1010,0,0,0,0,0,0,0,0,0,0,0,0
303,O. Aina,Dif,TOR,203.90,6.50,-1.80,19,9,871,1,8,3,0,0,0,0,1,871,12.5,41,21
305,E. Holm,Dif,SPE,201.30,6.40,-1.50,20,17,1398,1,15,5,0,0,0,0,0,1398,6.67,37,16
313,N. Zortea,Dif,SAS,196.60,8.00,-2.80,19,8,868,1,9,5,0,0,0,0,0,868,11.11,35,16
315,M. De Sciglio,Dif,JUV,192.40,6.30,-1.60,17,11,1046,0,4,0,0,0,0,0,0,0,0,5,2
316,C. Okoli,Dif,ATA,191.20,6.00,-1.50,17,9,951,0,7,2,0,0,0,0,2,0,0,1,0
317,B. Bereszynski,Dif,NAP,191.00,7.10,-2.40,18,17,1367,0,3,0,0,0,0,0,0,0,0,18,5
326,J. Palomino,Dif,ATA,178.20,8.10,-2.10,15,8,754,1,6,3,0,1,0,0,1,754,16.67,3,2
327,F. Fazio,Dif,SAL,177.10,6.40,-2.00,14,12,1074,1,11,2,0,0,0,0,1,1074,9.09,8,4
328,D. D'Ambrosio,Dif,INT,175.70,8.10,-1.70,15,8,730,0,3,2,0,0,0,0,1,0,0,4,1
334,V. Chiriches,Dif,CRE,171.60,6.80,-2.10,16,14,986,0,0,0,0,0,0,0,0,0,0,3,3
340,J. Sambia,Dif,SAL,162.60,7.10,-3.40,22,7,688,0,13,5,0,0,0,0,0,0,0,27,10
341,E. Ebosse,Dif,UDI,162.60,5.80,-3.10,20,9,917,0,3,0,0,0,0,0,0,0,0,5,4
343,A. Masina,Dif,UDI,160.60,6.20,-1.10,14,8,786,2,2,2,0,2,0,0,0,393,100,3,3
345,M. Caldara,Dif,SPE,159.70,5.50,-2.60,20,13,1251,0,11,4,0,0,0,0,1,0,0,4,2
347,D. Coppola,Dif,VER,159.20,6.50,-2.50,19,11,1171,0,3,0,0,0,0,0,0,0,0,4,2
353,P. Wisniewski,Dif,SPE,155.30,9.60,-0.70,14,11,1000,1,6,3,0,0,0,0,1,1000,16.67,5,2
354,K. Bonifazi,Dif,BOL,155.20,6.70,-1.50,13,9,901,0,2,0,0,0,0,0,0,0,0,7,5
355,M. Ruggeri,Dif,ATA,155.00,4.70,-1.00,15,8,823,0,10,1,0,0,0,0,0,0,0,9,4
359,L. Venuti,Dif,FIO,148.50,6.40,-2.50,17,9,922,0,7,4,0,0,0,0,1,0,0,5,3
360,J. Murillo,Dif,SAM,147.50,5.70,-2.40,20,12,1056,0,3,1,0,0,0,0,0,0,0,2,1
361,K. De Winter,Dif,EMP,145.90,7.10,-2.50,14,12,1023,0,0,0,0,0,0,0,0,0,0,2,1
363,R. Bellanova,Dif,INT,143.90,6.70,-2.70,18,3,487,0,4,1,0,0,0,0,1,0,0,9,7
371,B. Soppy,Dif,ATA,133.10,5.60,-2.80,16,9,738,0,9,3,0,0,0,0,0,0,0,24,7
373,D. Rugani,Dif,JUV,130.30,6.50,-1.70,9,6,563,0,4,1,0,0,0,0,1,0,0,1,1
374,F. Ballo-Toure,Dif,MIL,129.30,5.60,-1.40,10,5,518,1,5,3,0,0,0,0,1,518,20,14,5
377,F. Ebosele,Dif,UDI,127.00,6.40,-2.60,17,4,399,0,4,1,0,0,0,0,0,0,0,32,19
378,R. Karsdorp,Dif,ROM,125.30,10.90,-5.50,13,8,712,0,2,0,1,0,0,0,0,0,0,5,0
380,M. Lovato,Dif,SAL,125.10,6.50,-2.80,17,8,808,0,1,0,0,0,0,0,0,0,0,0,0
