#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
1,Danilo,Dif,JUV,787.90,15.80,0.70,37,35,3182,3,32,5,0,7,3,1764,19,33,17,5,0,109,92,20,0
2,G. Di Lorenzo,Dif,NAP,780.20,16.70,-0.40,37,36,3257,3,31,13,0,11,4,1966,47,31,36,2,0,59,60,18,0
3,Kim Min-Jae,Dif,NAP,775.00,16.40,-0.20,35,35,3054,2,8,4,0,4,2,2548,10,30,7,5,0,71,55,15,0
12,Carlos Augusto,Dif,MON,661.80,13.70,1.90,35,35,3087,6,42,16,0,32,5,1169,26,41,19,4,0,62,73,9,0
14,A. Romagnoli,Dif,LAZ,622.90,12.80,0.60,34,33,2925,2,13,5,0,1,0,1671,2,35,19,6,0,53,33,16,0
19,R. Ibanez,Dif,ROM,598.20,12.30,0.20,33,32,2796,3,29,11,0,12,0,1447,6,44,48,9,1,99,67,10,0
20,F. Tomori,Dif,MIL,594.60,14.90,-3.40,33,32,2765,1,9,4,0,3,1,1685,9,28,25,5,0,63,70,11,0
22,Bremer,Dif,JUV,586.50,15.80,-2.60,30,30,2639,4,32,7,0,3,1,1501,9,29,11,6,0,62,29,13,0
23,Amir Rrahmani,Dif,NAP,581.50,14.20,-0.10,29,27,2450,2,21,3,0,3,1,1974,12,22,12,2,0,32,33,11,0
25,C. Smalling,Dif,ROM,571.90,13.90,-1.90,32,31,2807,3,17,5,0,2,1,1172,6,18,14,7,0,57,26,13,0
26,S. Posch,Dif,BOL,570.40,12.90,2.20,30,30,2542,6,28,10,0,11,2,1132,23,47,28,6,0,78,81,7,0
27,D. Udogie,Dif,UDI,568.80,12.80,-1.00,33,31,2716,3,27,10,0,50,4,800,34,37,58,5,0,81,71,9,0
28,H. Theo,Dif,MIL,566.00,15.20,-4.00,32,32,2775,4,52,12,1,19,3,1121,37,22,57,7,0,45,43,11,0
29,A. Marusic,Dif,LAZ,560.50,11.60,1.10,33,31,2764,0,16,7,0,10,2,1387,9,22,14,8,1,68,41,17,0
32,R. Toloi,Dif,ATA,548.90,12.00,0.40,32,32,2791,2,29,9,0,5,1,1326,17,38,20,8,0,101,69,9,0
35,F. Parisi,Dif,EMP,545.50,11.50,2.10,33,33,2836,2,21,2,0,61,0,1009,21,34,73,10,1,76,66,9,0
36,A. Izzo,Dif,MON,539.60,11.30,3.00,30,29,2475,1,16,4,0,11,0,1367,15,44,45,10,0,100,73,10,0
38,G. Mancini,Dif,ROM,532.90,12.80,-4.50,35,33,2865,1,22,5,0,5,2,1295,16,39,25,7,0,65,37,12,0
39,A. Buongiorno,Dif,TOR,532.20,11.80,1.60,34,30,2723,1,20,1,0,6,2,1323,8,64,38,8,0,85,38,10,0
43,S. Luperto,Dif,EMP,517.80,10.20,1.70,36,36,3137,2,18,4,0,2,0,1473,3,21,22,2,2,61,35,8,0
45,F. Dimarco,Dif,INT,512.30,12.00,-1.30,33,26,2088,4,49,15,0,5,3,751,59,12,30,0,0,43,32,8,0
47,N. Casale,Dif,LAZ,511.70,11.90,1.20,29,27,2436,1,8,2,0,1,1,1482,4,22,7,6,0,37,42,14,0
49,N. Perez,Dif,UDI,511.10,11.60,-1.20,34,33,2828,2,16,8,0,5,0,1440,10,29,11,7,1,75,77,7,0
53,F. Acerbi,Dif,INT,497.70,12.80,-1.00,31,25,2418,0,18,2,0,7,2,1433,16,17,13,4,0,59,33,9,0
54,L. Martinez Quarta,Dif,FIO,495.80,11.10,2.00,27,25,2170,1,27,11,0,11,1,1236,8,21,25,6,0,96,80,5,0
57,C. Biraghi,Dif,FIO,494.70,12.60,-2.20,33,30,2555,2,25,6,0,7,4,1096,83,29,38,1,0,52,65,8,0
59,J. Bijol,Dif,UDI,494.40,11.90,-0.80,32,32,2732,3,20,7,0,2,2,1168,9,29,7,10,0,52,40,8,0
63,J. Lucumi,Dif,BOL,488.00,11.10,0.30,33,33,2901,0,11,3,0,4,1,1728,9,29,18,8,0,72,53,7,0
65,P. Kalulu,Dif,MIL,486.60,12.20,-3.20,34,26,2542,1,11,2,0,9,0,1510,10,24,23,4,0,80,57,6,0
66,R. Rodriguez,Dif,TOR,484.90,10.20,1.10,35,30,2670,0,11,4,0,7,0,1336,29,25,8,3,0,71,55,10,0
71,F. Baschirotto,Dif,LEC,480.80,9.10,2.00,37,37,3330,3,21,6,0,3,0,1016,8,37,11,6,0,66,40,6,0
76,Dodo,Dif,FIO,469.80,12.60,-2.60,33,28,2338,1,11,4,0,32,3,1037,28,28,40,3,1,47,40,8,0
