#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Pali,Goal Testa,Goal Rig,Goal Punizione,Chance Fallite,Goal/Min,SCR,Dribb Tentati,Dribb Riusciti
9,Bremer,Dif,JUV,453.10,17.40,0.40,25,25,2244,2,11,3,0,2,0,0,2,1122,18.18,5,4
13,H. Theo,Dif,MIL,431.10,18.00,-0.90,24,24,2150,4,38,10,2,0,1,0,3,537.5,10.53,39,19
16,F. Dimarco,Dif,INT,422.90,17.90,-0.60,21,20,1452,4,33,13,0,0,0,0,1,363,12.12,14,4
21,G. Mancini,Dif,ROM,417.50,16.20,-0.40,26,26,2183,3,16,6,0,3,0,0,1,727.67,18.75,3,2
29,F. Acerbi,Dif,INT,396.40,17.30,0.80,20,18,1641,2,13,5,0,2,0,0,1,820.5,15.38,2,2
30,A. Bastoni,Dif,INT,395.40,18.40,0.40,20,20,1648,1,12,4,1,0,0,0,1,1648,8.33,11,6
32,B. Djimsiti,Dif,ATA,392.50,12.80,2.30,26,26,2254,0,9,0,0,0,0,0,0,0,0,1,1
33,R. Bellanova,Dif,TOR,390.80,13.20,2.30,26,25,2147,1,24,2,0,0,0,0,0,2147,4.17,56,32
34,G. Di Lorenzo,Dif,NAP,390.20,16.60,-1.90,25,25,2250,1,22,5,0,0,0,0,1,2250,4.55,35,13
37,L. Martinez Quarta,Dif,FIO,385.70,13.60,2.50,21,19,1659,4,16,6,2,3,0,0,1,414.75,25,23,11
41,G. Scalvini,Dif,ATA,379.00,15.40,-0.40,25,24,2001,0,15,5,1,0,0,0,1,0,0,16,13
42,A. Buongiorno,Dif,TOR,378.90,15.90,2.00,19,19,1647,3,11,5,0,1,0,0,1,549,27.27,2,0
46,S. Beukema,Dif,BOL,373.40,13.70,1.60,23,23,2038,1,8,2,0,0,0,0,3,2038,12.5,6,4
53,A. Dossena,Dif,CAG,365.40,10.10,3.40,27,25,2273,2,18,5,1,1,0,0,2,1136.5,11.11,5,3
58,Amir Rrahmani,Dif,NAP,359.90,16.60,-0.90,21,21,1817,2,18,6,1,0,0,0,3,908.5,11.11,8,5
60,R. Calafiori,Dif,BOL,353.20,12.30,2.40,23,19,1733,0,11,3,0,0,0,0,1,0,0,13,8
63,F. Gatti,Dif,JUV,346.70,13.60,0.10,23,21,1875,3,21,5,0,1,0,0,2,625,14.29,10,5
65,F. Tomori,Dif,MIL,343.10,17.70,0.20,17,16,1395,3,9,5,0,1,0,0,0,465,33.33,4,2
67,M. Darmian,Dif,INT,337.90,14.10,-0.90,23,19,1722,1,6,4,0,0,0,0,2,1722,16.67,9,2
68,N. Perez,Dif,UDI,333.90,11.30,0.90,27,27,2430,0,16,2,0,0,0,0,2,0,0,9,6
70,S. Kolasinac,Dif,ATA,331.50,13.50,-0.60,25,22,1875,1,11,4,0,1,0,0,1,1875,9.09,4,4
73,D. Dumfries,Dif,INT,328.30,14.70,-0.80,21,15,1298,3,17,4,1,0,0,0,5,432.67,17.65,23,11
75,Danilo,Dif,JUV,327.90,17.00,-0.50,18,17,1550,1,12,1,0,0,0,0,0,1550,8.33,6,6
76,S. Luperto,Dif,EMP,326.70,11.00,1.90,27,27,2430,1,16,3,0,1,0,0,0,2430,6.25,6,4
77,R. Rodriguez,Dif,TOR,325.40,11.00,1.00,25,24,1979,0,5,0,0,0,0,0,0,0,0,7,6
83,L. Caldirola,Dif,MON,314.30,10.70,1.60,23,22,1945,1,9,2,0,1,0,0,0,1945,11.11,1,1
87,S. de Vrij,Dif,INT,311.20,13.50,0.50,20,13,1216,1,9,3,0,1,0,0,0,1216,11.11,2,2
88,A. Cambiaso,Dif,JUV,311.20,11.00,1.50,23,17,1533,1,19,6,0,0,0,0,2,1533,5.26,38,18
89,A. Marusic,Dif,LAZ,311.10,12.00,-1.00,27,27,2249,0,3,2,0,0,0,0,0,0,0,23,11
90,N. Milenkovic,Dif,FIO,310.40,13.30,-1.00,25,20,1891,0,8,3,0,0,0,0,1,0,0,2,2
91,M. Ruggeri,Dif,ATA,308.90,8.90,2.90,24,23,1932,0,9,4,0,0,0,0,0,0,0,26,14
96,S. Posch,Dif,BOL,306.50,13.80,-0.40,22,20,1647,0,8,3,0,0,0,0,0,0,0,14,6
98,D. Calabria,Dif,MIL,302.70,13.40,-1.20,23,20,1652,0,15,5,0,0,0,0,0,0,0,17,6
101,J. Vasquez,Dif,GEN,296.60,9.10,2.60,26,21,1878,0,22,7,4,0,0,0,0,0,0,11,7
103,V. Kristiansen,Dif,BOL,295.80,11.00,1.10,23,18,1594,0,4,1,0,0,0,0,0,0,0,15,10
105,C. Biraghi,Dif,FIO,295.10,13.20,-0.70,22,21,1821,1,12,4,0,0,0,0,0,1821,8.33,12,4
107,Pablo Mari,Dif,MON,292.50,12.20,-0.30,23,19,1643,0,6,1,1,0,0,0,0,0,0,3,2
109,M. Kayode,Dif,FIO,289.00,9.00,3.10,18,15,1438,1,5,2,0,0,0,0,0,1438,20,28,14
111,Diego Llorente,Dif,ROM,288.50,10.90,1.30,22,20,1633,0,2,1,0,0,0,0,0,0,0,2,1
112,Carlos Augusto,Dif,INT,288.10,13.50,-2.50,26,7,1045,0,15,4,1,0,0,0,1,0,0,15,10
119,A. Romagnoli,Dif,LAZ,281.90,14.70,-1.60,20,18,1689,0,5,3,1,0,0,0,1,0,0,0,0
121,M. Pongracic,Dif,LEC,280.90,9.80,0.80,25,25,2230,0,10,2,0,0,0,0,2,0,0,13,11
126,V. Gendrey,Dif,LEC,275.20,9.70,0.20,26,25,2208,1,11,3,0,1,0,0,0,2208,9.09,16,8
129,D. Zappacosta,Dif,ATA,272.70,12.30,-1.20,23,16,1334,2,33,9,1,0,0,0,4,667,6.06,28,10
136,M. Bani,Dif,GEN,263.80,9.90,1.40,21,21,1775,2,8,4,0,2,0,0,1,887.5,25,2,1
140,A. Florenzi,Dif,MIL,260.00,8.40,1.60,24,13,1197,0,19,7,0,0,0,0,0,0,0,7,1
142,B. Pavard,Dif,INT,258.30,16.40,-1.10,15,13,1019,0,8,5,1,0,0,0,1,0,0,3,1
143,D. D'Ambrosio,Dif,MON,257.10,11.20,0.60,19,15,1361,0,12,3,0,0,0,0,0,0,0,10,5
144,J. Lucumi,Dif,BOL,256.30,10.80,0.80,18,12,1224,0,4,1,0,0,0,0,1,0,0,5,3
146,S. Romagnoli,Dif,FRO,256.10,8.30,0.90,23,20,1833,1,6,1,0,1,0,0,1,1833,16.67,0,0
149,E. Ndicka,Dif,ROM,253.30,14.40,-1.00,17,17,1513,0,4,1,0,0,0,0,1,0,0,1,1
152,P. Dawidowicz,Dif,VER,248.00,9.30,0.50,21,19,1631,0,8,1,0,0,0,0,0,0,0,4,4
154,I. Monterisi,Dif,FRO,247.20,8.00,1.40,21,16,1446,2,5,3,0,0,0,0,1,723,40,9,5
159,Lazaro,Dif,TOR,241.20,9.30,0.70,24,19,1713,0,15,4,0,0,0,0,2,0,0,28,17
163,D. Bradaric,Dif,SAL,239.20,9.50,0.00,26,22,2046,0,15,3,0,0,0,0,0,0,0,27,14
165,R. Kristensen,Dif,ROM,238.50,9.70,-0.90,25,16,1480,1,6,2,1,0,0,0,1,1480,16.67,16,7
167,S. Kjaer,Dif,MIL,236.80,11.20,0.50,16,13,1079,0,4,0,0,0,0,0,1,0,0,0,0
174,G. Magnani,Dif,VER,229.90,8.60,0.60,23,20,1764,0,10,1,0,0,0,0,0,0,0,8,6
178,M. Erlic,Dif,SAS,226.20,9.20,-0.30,23,22,1908,1,7,2,0,0,0,0,1,1908,14.29,3,3
180,L. Ostigard,Dif,NAP,224.80,8.80,0.80,17,12,1054,1,4,1,0,1,0,0,0,1054,25,2,1
183,C. Okoli,Dif,FRO,223.00,8.50,0.50,23,21,1945,0,6,1,0,0,0,0,0,0,0,0,0
185,F. Baschirotto,Dif,LEC,221.50,10.60,-2.50,26,26,2305,0,10,3,0,0,0,0,3,0,0,0,0
186,H. Kamara,Dif,UDI,221.30,7.90,-0.40,24,16,1347,1,18,7,0,0,0,0,3,1347,5.56,36,21
187,A. Carboni,Dif,MON,220.90,8.60,1.10,17,12,1186,1,15,3,0,0,0,0,3,1186,6.67,3,1
188,M. Lazzari,Dif,LAZ,219.70,11.30,-0.80,18,15,1305,0,5,1,0,0,0,0,0,0,0,15,8
191,G. Zappa,Dif,CAG,215.30,7.50,0.10,27,18,1895,1,16,4,0,0,0,0,2,1895,6.25,19,6
195,L. Cacace,Dif,EMP,210.10,8.70,0.20,21,17,1587,0,10,1,0,0,0,0,0,0,0,40,20
197,A. Ismajli,Dif,EMP,208.10,8.70,0.20,21,18,1644,0,3,0,0,0,0,0,0,0,0,2,0
198,L. Ranieri,Dif,FIO,207.20,8.20,1.10,18,15,1347,1,7,2,0,1,0,0,0,1347,14.29,5,2
199,F. Ebosele,Dif,UDI,206.80,7.90,-0.30,26,20,1595,0,14,5,0,0,0,0,1,0,0,75,42
201,J. Jesus,Dif,NAP,205.90,10.50,0.50,15,14,1307,0,3,0,0,0,0,0,0,0,0,0,0
205,M. Thiaw,Dif,MIL,202.40,13.80,-1.40,14,13,1116,0,3,0,0,0,0,0,0,0,0,9,8
206,S. Birindelli,Dif,MON,202.30,7.30,0.30,24,11,1151,0,16,8,0,0,0,0,0,0,0,17,6
207,L. Spinazzola,Dif,ROM,202.00,10.80,-1.30,18,13,1100,1,8,3,0,0,0,0,0,1100,12.5,29,14
208,Joao Ferreira,Dif,UDI,201.40,6.10,1.30,24,14,1386,0,3,0,0,0,0,0,0,0,0,22,14
209,D. Rugani,Dif,JUV,200.70,9.10,1.10,13,9,842,2,6,2,1,0,0,0,1,421,33.33,0,0
