#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Falli,Falli subiti,Gialli,2 Gialli,Rossi,Errori Dec,Autogol,Intercetti,Rubati,Duelli Vinti,Duelli Persi,DA Vinti,DA Persi,Tackle
1,Danilo,Dif,JUV,787.90,15.80,0.70,37,35,3182,33,17,5,0,0,0,0,47,109,169,105,53,38,92
2,G. Di Lorenzo,Dif,NAP,780.20,16.70,-0.40,37,36,3257,31,36,2,0,0,0,0,30,59,148,119,41,34,60
3,Kim Min-Jae,Dif,NAP,775.00,16.40,-0.20,35,35,3054,30,7,5,0,0,1,0,41,71,157,98,92,54,55
12,Carlos Augusto,Dif,MON,661.80,13.70,1.90,35,35,3087,41,19,4,0,0,0,0,24,62,181,146,57,33,73
14,A. Romagnoli,Dif,LAZ,622.90,12.80,0.60,34,33,2925,35,19,6,0,0,0,0,38,53,131,94,79,45,33
19,R. Ibanez,Dif,ROM,598.20,12.30,0.20,33,32,2796,44,48,9,1,1,2,1,66,99,186,111,61,28,67
20,F. Tomori,Dif,MIL,594.60,14.90,-3.40,33,32,2765,28,25,5,0,0,0,0,29,63,160,71,63,30,70
22,Bremer,Dif,JUV,586.50,15.80,-2.60,30,30,2639,29,11,6,0,0,0,0,42,62,122,94,79,50,29
23,Amir Rrahmani,Dif,NAP,581.50,14.20,-0.10,29,27,2450,22,12,2,0,0,0,0,14,32,115,77,67,41,33
25,C. Smalling,Dif,ROM,571.90,13.90,-1.90,32,31,2807,18,14,7,0,0,0,0,42,57,113,51,72,24,26
26,S. Posch,Dif,BOL,570.40,12.90,2.20,30,30,2542,47,28,6,0,0,0,0,35,78,147,132,27,28,81
27,D. Udogie,Dif,UDI,568.80,12.80,-1.00,33,31,2716,37,58,5,0,0,0,0,36,81,196,163,17,15,71
28,H. Theo,Dif,MIL,566.00,15.20,-4.00,32,32,2775,22,57,7,0,0,1,1,21,45,156,108,38,15,43
29,A. Marusic,Dif,LAZ,560.50,11.60,1.10,33,31,2764,22,14,8,0,1,0,0,38,68,94,75,29,25,41
32,R. Toloi,Dif,ATA,548.90,12.00,0.40,32,32,2791,38,20,8,0,0,0,0,57,101,137,111,43,33,69
35,F. Parisi,Dif,EMP,545.50,11.50,2.10,33,33,2836,34,73,10,0,1,0,0,41,76,230,165,30,13,66
36,A. Izzo,Dif,MON,539.60,11.30,3.00,30,29,2475,44,45,10,0,0,0,0,50,100,169,111,40,37,73
38,G. Mancini,Dif,ROM,532.90,12.80,-4.50,35,33,2865,39,25,7,0,0,0,0,46,65,124,90,57,27,37
39,A. Buongiorno,Dif,TOR,532.20,11.80,1.60,34,30,2723,64,38,8,0,0,1,0,60,85,181,142,99,52,38
43,S. Luperto,Dif,EMP,517.80,10.20,1.70,36,36,3137,21,22,2,1,2,0,0,43,61,131,98,73,67,35
