#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Ass,Passaggi,Pass Riusciti,% Pass Riusciti,Pass Chiave,Chance Create,Cross,Cross Riusciti,Cross no Corner
1,Danilo,Dif,JUV,787.90,15.80,0.70,37,35,3182,3,2072,1764,85.14,19,3,18,3,18
2,G. Di Lorenzo,Dif,NAP,780.20,16.70,-0.40,37,36,3257,4,2285,1966,86.04,47,6,88,9,88
3,Kim Min-Jae,Dif,NAP,775.00,16.40,-0.20,35,35,3054,2,2800,2548,91,10,2,6,2,6
12,Carlos Augusto,Dif,MON,661.80,13.70,1.90,35,35,3087,5,1380,1169,84.71,26,5,54,9,54
14,A. Romagnoli,Dif,LAZ,622.90,12.80,0.60,34,33,2925,0,1847,1671,90.47,2,1,0,0,0
19,R. Ibanez,Dif,ROM,598.20,12.30,0.20,33,32,2796,0,1645,1447,87.96,6,1,1,0,1
20,F. Tomori,Dif,MIL,594.60,14.90,-3.40,33,32,2765,1,1896,1685,88.87,9,1,6,0,6
22,Bremer,Dif,JUV,586.50,15.80,-2.60,30,30,2639,1,1664,1501,90.2,9,3,0,0,0
23,Amir Rrahmani,Dif,NAP,581.50,14.20,-0.10,29,27,2450,1,2160,1974,91.39,12,2,1,0,1
25,C. Smalling,Dif,ROM,571.90,13.90,-1.90,32,31,2807,1,1340,1172,87.46,6,1,1,0,1
26,S. Posch,Dif,BOL,570.40,12.90,2.20,30,30,2542,2,1475,1132,76.75,23,3,49,10,49
27,D. Udogie,Dif,UDI,568.80,12.80,-1.00,33,31,2716,4,964,800,82.99,34,2,29,6,29
28,H. Theo,Dif,MIL,566.00,15.20,-4.00,32,32,2775,3,1383,1121,81.06,37,3,92,31,72
29,A. Marusic,Dif,LAZ,560.50,11.60,1.10,33,31,2764,2,1584,1387,87.56,9,2,17,5,17
32,R. Toloi,Dif,ATA,548.90,12.00,0.40,32,32,2791,1,1631,1326,81.3,17,0,22,3,22
35,F. Parisi,Dif,EMP,545.50,11.50,2.10,33,33,2836,0,1278,1009,78.95,21,2,59,13,58
36,A. Izzo,Dif,MON,539.60,11.30,3.00,30,29,2475,0,1559,1367,87.68,15,1,7,3,7
38,G. Mancini,Dif,ROM,532.90,12.80,-4.50,35,33,2865,2,1578,1295,82.07,16,2,28,6,28
39,A. Buongiorno,Dif,TOR,532.20,11.80,1.60,34,30,2723,2,1554,1323,85.14,8,3,8,3,8
43,S. Luperto,Dif,EMP,517.80,10.20,1.70,36,36,3137,0,1698,1473,86.75,3,1,2,1,2
45,F. Dimarco,Dif,INT,512.30,12.00,-1.30,33,26,2088,3,932,751,80.58,59,12,207,64,155
47,N. Casale,Dif,LAZ,511.70,11.90,1.20,29,27,2436,1,1611,1482,91.99,4,0,0,0,0
49,N. Perez,Dif,UDI,511.10,11.60,-1.20,34,33,2828,0,1667,1440,86.38,10,0,18,5,18
53,F. Acerbi,Dif,INT,497.70,12.80,-1.00,31,25,2418,2,1597,1433,89.73,16,0,22,4,22
54,L. Martinez Quarta,Dif,FIO,495.80,11.10,2.00,27,25,2170,1,1510,1236,81.85,8,1,4,3,4
57,C. Biraghi,Dif,FIO,494.70,12.60,-2.20,33,30,2555,4,1396,1096,78.51,83,6,300,88,166
59,J. Bijol,Dif,UDI,494.40,11.90,-0.80,32,32,2732,2,1374,1168,85.01,9,4,1,1,1
63,J. Lucumi,Dif,BOL,488.00,11.10,0.30,33,33,2901,1,1945,1728,88.84,9,0,1,1,1
65,P. Kalulu,Dif,MIL,486.60,12.20,-3.20,34,26,2542,0,1703,1510,88.67,10,2,28,7,28
66,R. Rodriguez,Dif,TOR,484.90,10.20,1.10,35,30,2670,0,1589,1336,84.08,29,1,71,26,58
71,F. Baschirotto,Dif,LEC,480.80,9.10,2.00,37,37,3330,0,1370,1016,74.16,8,1,14,3,14
76,Dodo,Dif,FIO,469.80,12.60,-2.60,33,28,2338,3,1232,1037,84.17,28,2,61,10,61
77,E. Hysaj,Dif,LAZ,467.60,11.00,0.20,34,22,1992,1,1215,1038,85.43,13,2,16,6,16
82,Rogerio,Dif,SAS,461.60,9.60,0.60,36,34,2999,3,1587,1317,82.99,30,3,113,30,113
83,R. Becao,Dif,UDI,457.20,10.80,-0.20,28,28,2486,1,1230,988,80.33,10,1,19,3,19
85,G. Scalvini,Dif,ATA,456.80,10.90,-0.20,32,29,2345,2,1464,1193,81.49,9,1,8,2,8
86,Mario Rui,Dif,NAP,456.20,14.50,-1.30,22,21,1761,6,1429,1203,84.18,46,5,110,35,76
88,L. Caldirola,Dif,MON,455.70,10.10,1.60,31,27,2360,0,1422,1255,88.26,4,1,5,1,5
91,M. Olivera,Dif,NAP,452.60,12.30,-0.90,30,17,1634,2,1185,1034,87.26,24,2,19,6,18
92,M. Darmian,Dif,INT,446.60,10.60,-0.40,31,24,2032,2,1236,1075,86.97,19,4,28,11,28
93,A. Bastoni,Dif,INT,446.40,13.50,-4.60,29,26,2168,2,1536,1311,85.35,16,7,49,12,49
99,D. Dumfries,Dif,INT,433.80,12.10,-5.60,34,25,2223,4,757,599,79.23,32,11,82,19,82
100,K. Djidji,Dif,TOR,431.90,8.80,1.40,34,26,2422,0,1411,1233,87.45,2,0,13,4,13
101,V. Gendrey,Dif,LEC,431.30,9.20,0.90,37,35,3103,2,1017,749,73.72,27,4,74,15,74
102,S. de Vrij,Dif,INT,431.10,13.40,-4.20,27,22,1943,0,1202,1076,89.52,1,0,0,0,0
103,Pablo Mari,Dif,MON,430.80,11.90,-2.10,30,28,2489,0,1606,1426,88.79,3,0,1,0,1
105,J. Maehle,Dif,ATA,426.40,11.30,-4.40,34,25,2213,3,1181,964,81.63,37,2,38,10,37
106,N. Milenkovic,Dif,FIO,425.90,13.30,-3.50,27,23,2136,1,1283,1102,85.89,6,2,0,0,0
109,A. Cambiaso,Dif,BOL,423.60,9.60,0.60,32,25,2169,3,1252,1073,85.7,28,5,56,11,54
111,D. Nikolaou,Dif,SPE,419.30,8.60,0.30,36,34,2962,0,1569,1293,82.46,10,1,18,4,18
112,P. Schuurs,Dif,TOR,414.30,11.40,-2.00,30,28,2333,2,1194,1053,88.19,7,1,2,0,2
116,W. Singo,Dif,TOR,411.50,11.60,-2.80,31,24,2056,1,887,681,76.78,23,2,56,12,56
122,M. Lazzari,Dif,LAZ,399.60,10.50,-1.50,28,22,1887,0,968,866,89.46,10,0,36,8,36
124,A. Sandro,Dif,JUV,395.60,11.80,-2.00,25,21,1786,1,1116,977,87.54,12,2,19,4,19
128,E. Ampadu,Dif,SPE,392.90,10.00,-0.20,31,31,2649,1,1485,1210,81.48,13,2,11,5,11
131,T. Augello,Dif,SAM,390.60,8.80,-0.90,37,35,3066,5,1309,1014,77.46,43,5,170,45,149
139,D. Calabria,Dif,MIL,385.00,11.70,-1.60,25,21,1694,4,1058,873,82.83,19,3,41,16,36
151,I. Hien,Dif,VER,364.60,9.10,-0.60,32,28,2607,0,1004,756,75.3,2,0,1,1,1
153,E. Valeri,Dif,CRE,363.10,7.10,0.00,37,31,2790,3,830,548,66.02,54,4,147,40,135
155,M. Erlic,Dif,SAS,362.20,9.70,-1.60,28,26,2330,0,1287,1108,86.09,2,1,2,0,2
