#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Parate,Clean Sheet,Goal Subiti,Rig Parati,Rig Subiti
1,Danilo,Dif,JUV,787.90,15.80,0.70,37,35,3182,0,20,25,0,2
2,G. Di Lorenzo,Dif,NAP,780.20,16.70,-0.40,37,36,3257,0,18,24,0,1
3,Kim Min-Jae,Dif,NAP,775.00,16.40,-0.20,35,35,3054,0,15,24,0,1
12,Carlos Augusto,Dif,MON,661.80,13.70,1.90,35,35,3087,0,9,46,0,3
14,A. Romagnoli,Dif,LAZ,622.90,12.80,0.60,34,33,2925,0,16,28,0,1
19,R. Ibanez,Dif,ROM,598.20,12.30,0.20,33,32,2796,0,10,35,0,2
20,F. Tomori,Dif,MIL,594.60,14.90,-3.40,33,32,2765,0,11,29,0,2
22,Bremer,Dif,JUV,586.50,15.80,-2.60,30,30,2639,0,13,31,0,3
23,Amir Rrahmani,Dif,NAP,581.50,14.20,-0.10,29,27,2450,0,11,22,0,0
25,C. Smalling,Dif,ROM,571.90,13.90,-1.90,32,31,2807,0,13,27,0,1
26,S. Posch,Dif,BOL,570.40,12.90,2.20,30,30,2542,0,7,34,0,6
27,D. Udogie,Dif,UDI,568.80,12.80,-1.00,33,31,2716,0,9,33,0,5
28,H. Theo,Dif,MIL,566.00,15.20,-4.00,32,32,2775,0,11,31,0,3
29,A. Marusic,Dif,LAZ,560.50,11.60,1.10,33,31,2764,0,17,25,0,1
32,R. Toloi,Dif,ATA,548.90,12.00,0.40,32,32,2791,0,9,36,0,3
35,F. Parisi,Dif,EMP,545.50,11.50,2.10,33,33,2836,0,9,37,0,2
36,A. Izzo,Dif,MON,539.60,11.30,3.00,30,29,2475,0,10,25,0,2
38,G. Mancini,Dif,ROM,532.90,12.80,-4.50,35,33,2865,0,12,28,0,1
39,A. Buongiorno,Dif,TOR,532.20,11.80,1.60,34,30,2723,0,10,30,0,4
43,S. Luperto,Dif,EMP,517.80,10.20,1.70,36,36,3137,0,8,44,0,4
45,F. Dimarco,Dif,INT,512.30,12.00,-1.30,33,26,2088,0,8,24,0,3
47,N. Casale,Dif,LAZ,511.70,11.90,1.20,29,27,2436,0,14,24,0,0
49,N. Perez,Dif,UDI,511.10,11.60,-1.20,34,33,2828,0,7,39,0,5
53,F. Acerbi,Dif,INT,497.70,12.80,-1.00,31,25,2418,0,9,30,0,2
54,L. Martinez Quarta,Dif,FIO,495.80,11.10,2.00,27,25,2170,0,5,31,0,4
57,C. Biraghi,Dif,FIO,494.70,12.60,-2.20,33,30,2555,0,8,35,0,5
59,J. Bijol,Dif,UDI,494.40,11.90,-0.80,32,32,2732,0,8,38,0,5
63,J. Lucumi,Dif,BOL,488.00,11.10,0.30,33,33,2901,0,7,39,0,6
65,P. Kalulu,Dif,MIL,486.60,12.20,-3.20,34,26,2542,0,6,41,0,4
66,R. Rodriguez,Dif,TOR,484.90,10.20,1.10,35,30,2670,0,10,31,0,4
71,F. Baschirotto,Dif,LEC,480.80,9.10,2.00,37,37,3330,0,6,44,0,5
76,Dodo,Dif,FIO,469.80,12.60,-2.60,33,28,2338,0,8,28,0,6
77,E. Hysaj,Dif,LAZ,467.60,11.00,0.20,34,22,1992,0,12,17,0,0
82,Rogerio,Dif,SAS,461.60,9.60,0.60,36,34,2999,0,8,55,0,4
83,R. Becao,Dif,UDI,457.20,10.80,-0.20,28,28,2486,0,9,31,0,4
85,G. Scalvini,Dif,ATA,456.80,10.90,-0.20,32,29,2345,0,2,35,0,3
86,Mario Rui,Dif,NAP,456.20,14.50,-1.30,22,21,1761,0,11,16,0,0
88,L. Caldirola,Dif,MON,455.70,10.10,1.60,31,27,2360,0,8,32,0,2
91,M. Olivera,Dif,NAP,452.60,12.30,-0.90,30,17,1634,0,7,11,0,1
92,M. Darmian,Dif,INT,446.60,10.60,-0.40,31,24,2032,0,8,22,0,1
93,A. Bastoni,Dif,INT,446.40,13.50,-4.60,29,26,2168,0,8,25,0,2
99,D. Dumfries,Dif,INT,433.80,12.10,-5.60,34,25,2223,0,8,26,0,2
100,K. Djidji,Dif,TOR,431.90,8.80,1.40,34,26,2422,0,7,30,0,3
101,V. Gendrey,Dif,LEC,431.30,9.20,0.90,37,35,3103,0,5,42,0,5
102,S. de Vrij,Dif,INT,431.10,13.40,-4.20,27,22,1943,0,8,25,0,2
103,Pablo Mari,Dif,MON,430.80,11.90,-2.10,30,28,2489,0,7,37,0,3
105,J. Maehle,Dif,ATA,426.40,11.30,-4.40,34,25,2213,0,5,33,0,2
106,N. Milenkovic,Dif,FIO,425.90,13.30,-3.50,27,23,2136,0,7,27,0,5
109,A. Cambiaso,Dif,BOL,423.60,9.60,0.60,32,25,2169,0,5,28,0,3
111,D. Nikolaou,Dif,SPE,419.30,8.60,0.30,36,34,2962,0,6,53,0,5
112,P. Schuurs,Dif,TOR,414.30,11.40,-2.00,30,28,2333,0,7,29,0,3
116,W. Singo,Dif,TOR,411.50,11.60,-2.80,31,24,2056,0,9,27,0,3
122,M. Lazzari,Dif,LAZ,399.60,10.50,-1.50,28,22,1887,0,12,16,0,1
124,A. Sandro,Dif,JUV,395.60,11.80,-2.00,25,21,1786,0,10,20,0,2
128,E. Ampadu,Dif,SPE,392.90,10.00,-0.20,31,31,2649,0,5,42,0,5
131,T. Augello,Dif,SAM,390.60,8.80,-0.90,37,35,3066,0,3,64,0,8
139,D. Calabria,Dif,MIL,385.00,11.70,-1.60,25,21,1694,0,4,25,0,2
151,I. Hien,Dif,VER,364.60,9.10,-0.60,32,28,2607,0,6,42,0,1
153,E. Valeri,Dif,CRE,363.10,7.10,0.00,37,31,2790,0,6,53,0,5
155,M. Erlic,Dif,SAS,362.20,9.70,-1.60,28,26,2330,0,8,36,0,2
159,P. Mazzocchi,Dif,SAL,359.80,9.20,-0.30,27,23,1967,0,3,34,0,3
162,T. Ebuehi,Dif,EMP,354.20,8.80,1.00,26,22,1926,0,6,24,0,3
165,G. Ferrari,Dif,SAS,348.90,8.90,-3.40,33,24,2220,0,6,40,0,3
167,A. Ismajli,Dif,EMP,348.00,7.90,0.90,25,22,2090,0,6,27,0,2
172,Igor,Dif,FIO,342.50,10.10,-1.80,27,23,2058,0,4,24,0,3
173,L. Sernicola,Dif,CRE,342.30,7.80,-0.40,32,27,2317,0,3,50,0,4
175,R. Gosens,Dif,INT,339.70,11.80,-6.70,32,11,1167,0,3,15,0,0
176,J. Toljan,Dif,SAS,338.20,7.90,-1.20,31,29,2672,0,7,48,0,4
177,M. Skriniar,Dif,INT,337.50,14.00,-4.90,21,20,1771,0,8,23,0,2
183,D. Zappacosta,Dif,ATA,334.20,13.20,-1.90,21,18,1476,0,1,22,0,2
185,B. Djimsiti,Dif,ATA,332.80,11.20,-2.30,24,20,1799,0,4,23,0,1
186,M. Demiral,Dif,ATA,332.50,10.60,-5.30,28,14,1523,0,5,23,0,1
187,L. Pirola,Dif,SAL,332.20,9.20,0.00,26,23,1948,0,3,38,0,4
189,N. Gyomber,Dif,SAL,329.20,7.50,1.10,27,23,1752,0,6,19,0,2
190,L. Spinazzola,Dif,ROM,327.70,10.20,-3.00,26,18,1651,0,6,21,0,2
194,M. Vojvoda,Dif,TOR,324.00,9.30,-1.80,29,18,1716,0,7,21,0,3
195,A. Gallo,Dif,LEC,323.40,7.10,0.20,32,28,2484,0,6,28,0,2
196,F. Daniliuc,Dif,SAL,321.90,9.10,-0.90,27,23,2195,0,4,39,0,4
197,S. Umtiti,Dif,LEC,321.70,10.00,-1.00,25,24,2114,0,6,28,0,2
198,Patric,Dif,LAZ,321.20,8.90,1.10,18,16,1414,0,10,7,0,1
199,M. Thiaw,Dif,MIL,319.90,10.40,0.20,20,15,1364,0,6,12,0,1
205,G. Kyriakopoulos,Dif,BOL,314.00,9.20,-1.50,24,17,1475,0,5,20,0,4
207,A. Reca,Dif,SPE,313.10,7.40,-0.60,30,24,2170,0,6,38,0,2
209,F. Depaoli,Dif,VER,310.60,6.40,0.30,34,25,2306,0,5,44,0,1
216,A. Soumaoro,Dif,BOL,306.10,9.00,-0.80,23,22,1870,0,5,25,0,6
221,J. Vasquez,Dif,CRE,302.50,8.50,0.00,25,19,1809,0,4,36,0,0
222,G. Medel,Dif,BOL,301.80,6.00,0.50,29,17,1476,0,2,25,0,3
223,F. Gatti,Dif,JUV,300.10,8.70,0.50,18,16,1446,0,8,13,0,2
225,B. Amione,Dif,SAM,299.10,6.90,0.40,27,26,2150,0,3,44,0,4
229,D. Bradaric,Dif,SAL,292.20,8.50,-1.60,31,24,2253,0,4,44,0,5
233,Marlon,Dif,MON,289.40,9.80,-4.10,28,18,1587,0,4,26,0,1
235,B. Nuytinck,Dif,SAM,287.50,8.80,-1.80,25,22,1884,0,3,37,0,4
236,A. Ferrari,Dif,CRE,287.30,7.80,-1.50,28,23,1879,0,2,39,0,4
239,K. Amian,Dif,SPE,283.00,7.40,-1.00,30,26,2373,0,4,42,0,4
240,K. Ehizibue,Dif,UDI,282.00,8.20,-0.90,27,16,1534,0,3,24,0,3
244,L. Lochoshvili,Dif,CRE,275.50,8.00,-1.00,25,22,1848,0,3,33,0,3
247,P. Dawidowicz,Dif,VER,272.50,8.40,-0.80,23,20,1634,0,3,27,0,0
252,A. Zanoli,Dif,SAM,264.20,7.50,0.50,23,16,1549,0,2,34,0,5
254,H. Hateboer,Dif,ATA,262.50,12.20,-3.40,17,17,1402,0,8,16,0,1
255,M. Bianchetti,Dif,CRE,260.50,6.60,-0.40,25,22,2129,0,3,47,0,4
258,J. Jesus,Dif,NAP,259.80,9.70,-1.20,15,10,929,0,6,8,0,1
259,E. Aiwu,Dif,CRE,259.60,7.50,-1.50,23,17,1652,0,4,30,0,2
261,P. Stojanovic,Dif,EMP,254.40,6.50,-1.70,27,16,1525,0,3,28,0,2
262,Z. Celik,Dif,ROM,254.30,8.30,-2.30,24,16,1501,0,5,17,0,0
266,J. Doig,Dif,VER,248.80,7.40,-1.70,22,15,1355,0,3,22,0,0
271,D. Faraoni,Dif,VER,244.30,12.00,-5.70,23,19,1492,0,3,36,0,1
276,Ruan Tressoldi,Dif,SAS,240.80,8.50,-1.70,23,21,1716,0,3,31,0,2
277,D. Bronn,Dif,SAL,239.70,7.10,-2.00,24,19,1681,0,2,30,0,4
278,K. Gunter,Dif,SAM,238.70,7.40,-1.90,23,19,1777,0,0,42,0,1
285,G. Magnani,Dif,VER,229.60,7.30,-1.30,24,19,1530,0,4,24,0,1
286,F. Ceccherini,Dif,VER,229.00,7.00,-1.10,22,18,1428,0,3,23,0,0
288,A. Terzic,Dif,FIO,225.70,5.60,0.60,22,8,926,0,2,8,0,2
291,S. Birindelli,Dif,MON,223.40,6.40,-2.90,31,14,1392,0,0,25,0,2
294,L. Bonucci,Dif,JUV,215.60,12.30,-5.10,16,9,875,0,5,8,0,2
295,C. Lykogiannis,Dif,BOL,212.60,7.00,-2.20,21,11,1104,0,1,19,0,3
302,S. Kjaer,Dif,MIL,205.90,9.00,-2.30,17,12,1010,0,4,7,0,1
303,O. Aina,Dif,TOR,203.90,6.50,-1.80,19,9,871,0,2,7,0,1
305,E. Holm,Dif,SPE,201.30,6.40,-1.50,20,17,1398,0,2,24,0,0
313,N. Zortea,Dif,SAS,196.60,8.00,-2.80,19,8,868,0,2,14,0,0
315,M. De Sciglio,Dif,JUV,192.40,6.30,-1.60,17,11,1046,0,5,8,0,1
316,C. Okoli,Dif,ATA,191.20,6.00,-1.50,17,9,951,0,3,10,0,0
317,B. Bereszynski,Dif,NAP,191.00,7.10,-2.40,18,17,1367,0,2,24,0,2
326,J. Palomino,Dif,ATA,178.20,8.10,-2.10,15,8,754,0,0,15,0,1
327,F. Fazio,Dif,SAL,177.10,6.40,-2.00,14,12,1074,0,3,19,0,2
328,D. D'Ambrosio,Dif,INT,175.70,8.10,-1.70,15,8,730,0,1,12,0,0
334,V. Chiriches,Dif,CRE,171.60,6.80,-2.10,16,14,986,0,1,20,0,1
340,J. Sambia,Dif,SAL,162.60,7.10,-3.40,22,7,688,0,1,10,0,1
341,E. Ebosse,Dif,UDI,162.60,5.80,-3.10,20,9,917,0,2,14,0,1
343,A. Masina,Dif,UDI,160.60,6.20,-1.10,14,8,786,0,2,14,0,3
345,M. Caldara,Dif,SPE,159.70,5.50,-2.60,20,13,1251,0,2,22,0,3
347,D. Coppola,Dif,VER,159.20,6.50,-2.50,19,11,1171,0,2,16,0,0
353,P. Wisniewski,Dif,SPE,155.30,9.60,-0.70,14,11,1000,0,2,20,0,2
354,K. Bonifazi,Dif,BOL,155.20,6.70,-1.50,13,9,901,0,2,17,0,0
355,M. Ruggeri,Dif,ATA,155.00,4.70,-1.00,15,8,823,0,1,13,0,1
359,L. Venuti,Dif,FIO,148.50,6.40,-2.50,17,9,922,0,2,13,0,1
360,J. Murillo,Dif,SAM,147.50,5.70,-2.40,20,12,1056,0,1,23,0,1
361,K. De Winter,Dif,EMP,145.90,7.10,-2.50,14,12,1023,0,3,17,0,0
363,R. Bellanova,Dif,INT,143.90,6.70,-2.70,18,3,487,0,1,8,0,0
371,B. Soppy,Dif,ATA,133.10,5.60,-2.80,16,9,738,0,0,13,0,1
373,D. Rugani,Dif,JUV,130.30,6.50,-1.70,9,6,563,0,5,2,0,0
374,F. Ballo-Toure,Dif,MIL,129.30,5.60,-1.40,10,5,518,0,1,8,0,0
377,F. Ebosele,Dif,UDI,127.00,6.40,-2.60,17,4,399,0,2,5,0,0
378,R. Karsdorp,Dif,ROM,125.30,10.90,-5.50,13,8,712,0,3,8,0,1
380,M. Lovato,Dif,SAL,125.10,6.50,-2.80,17,8,808,0,2,22,0,2
383,G. Pezzella,Dif,LEC,122.20,6.90,-3.30,16,10,921,0,0,18,0,3
384,P. Ghiglione,Dif,CRE,121.70,5.60,-2.60,15,8,709,0,3,14,0,1
385,Diego Llorente,Dif,ROM,120.40,10.80,-1.30,9,5,573,0,3,7,0,0
389,S. Walukiewicz,Dif,EMP,117.90,7.20,-2.00,11,6,601,0,1,9,0,2
390,L. De Silvestri,Dif,BOL,117.40,6.30,-3.10,15,6,667,0,1,11,0,0
392,M. Pongracic,Dif,LEC,116.90,7.80,-2.80,9,9,791,0,1,9,0,2
395,L. Ostigard,Dif,NAP,114.80,9.10,-2.60,7,4,416,0,3,3,0,0
397,G. Quagliata,Dif,CRE,110.90,4.80,-3.30,20,6,692,0,0,17,0,2
400,L. Ranieri,Dif,FIO,107.80,7.80,-2.00,9,5,505,0,2,5,0,2
402,M. Gabbia,Dif,MIL,106.50,4.30,-2.30,12,6,608,0,1,14,0,1
409,N. Murru,Dif,SAM,95.50,4.00,-2.40,20,5,774,0,0,17,0,4
412,W. Troost-Ekong,Dif,SAL,93.00,7.40,-1.00,9,4,440,0,0,8,0,1
415,L. Cacace,Dif,EMP,89.30,4.30,-1.90,12,5,580,0,0,9,0,1
417,J. Sosa,Dif,BOL,88.30,5.30,-2.20,10,7,687,0,2,10,0,2
420,D. Zima,Dif,TOR,79.40,6.80,-3.50,9,4,402,0,1,5,0,0
424,G. Donati,Dif,MON,70.80,5.00,-2.90,8,4,423,0,0,7,0,0
428,A. Tuia,Dif,LEC,67.40,4.00,-1.80,7,6,511,0,0,6,0,1
429,J. Cabal,Dif,VER,67.40,5.20,-2.80,11,3,440,0,0,11,0,1
434,M. Kumbulla,Dif,ROM,58.10,5.70,-3.50,7,5,260,0,1,3,0,0
435,S. Dest,Dif,MIL,57.70,8.60,-4.10,8,2,326,0,0,7,0,2
436,A. Gravillon,Dif,TOR,57.40,6.70,-1.50,7,4,312,0,1,5,0,2
442,A. Florenzi,Dif,MIL,51.90,6.00,-3.40,6,2,199,0,1,1,0,0
445,L. Pellegrini,Dif,LAZ,49.00,6.80,-1.70,7,1,175,0,1,1,0,0
446,V. Antov,Dif,MON,48.90,4.00,-2.80,9,2,300,0,0,8,0,0
