,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2014-2015,,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Torino (4 stagioni),Excel Mouscron (3 stagioni),Standard Liège (2 stagioni),Sint-Truiden (1 stagione),,First Division A (5 stagioni),Serie A (4 stagioni),Second Division (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2014-2015,19,Sint-Truiden,be BEL,2. Second Division,1°,1.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,21,Excel Mouscron,be BEL,1. First Division A,15°,22.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,22,Excel Mouscron,be BEL,1. First Division A,13°,27.6,929,1302,"71,4",18150,9030,366,429,"85,3",424,559,"75,8",129,278,"46,4",2,1.4,2.3,+0.6,21,89,34,26,90,Partite
2018-2019,23,Excel Mouscron,be BEL,1. First Division A,14°,24.5,1062,1441,"73,7",19026,7607,489,585,"83,6",433,586,"73,9",126,225,"56,0",0,1.2,2.5,-1.2,21,82,32,16,112,Partite
2019-2020,24,Standard Liège,be BEL,1. First Division A,5°,23.4,1249,1599,"78,1",22256,8298,557,614,"90,7",538,660,"81,5",130,252,"51,6",1,3.4,3.9,-2.4,31,106,52,20,155,Partite
2020-2021,25,Standard Liège,be BEL,1. First Division A,8°,3.0,195,239,"81,6",4818,1842,42,48,"87,5",103,115,"89,6",50,75,"66,7",0,0.0,0.1,0.0,1,25,3,0,33,Partite
2020-2021,25,Torino,it ITA,1. Serie A,17°,15.1,589,768,"76,7",8829,3514,361,406,"88,9",168,237,"70,9",43,83,"51,8",2,0.7,0.7,+1.3,8,36,13,9,46,Partite
2021-2022,26,Torino,it ITA,1. Serie A,10°,22.0,904,1164,"77,7",14633,6048,484,541,"89,5",326,410,"79,5",70,143,"49,0",3,2.3,2.5,+0.7,22,90,31,17,114,Partite
2022-2023,27,Torino,it ITA,1. Serie A,10°,19.1,887,1143,"77,6",15034,6134,436,503,"86,7",363,450,"80,7",71,131,"54,2",5,3.7,2.6,+1.3,23,97,27,5,125,Partite
2023-2024,28,Torino,it ITA,1. Serie A,10°,8.8,430,558,"77,1",7574,3063,181,210,"86,2",198,242,"81,8",37,71,"52,1",1,0.6,0.8,+0.4,6,35,18,2,62,Partite
9 stagioni,4 club,,3 campionati,,167.7,6245,8214,"76,0",110320,45536,2916,3336,"87,4",2553,3259,"78,3",656,1258,"52,1",14,13.3,15.4,+0.7,133,560,210,95,737,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Torino (4 stagioni),,1 campionato,,65.0,2810,3633,"77,3",46070,18759,1462,1660,"88,1",1055,1339,"78,8",221,428,"51,6",11,7.3,6.5,+3.7,59,258,89,33,347,
Excel Mouscron (3 stagioni),,1 campionato,,74.6,1991,2743,"72,6",37176,16637,855,1014,"84,3",857,1145,"74,8",255,503,"50,7",2,2.6,4.8,-0.6,42,171,66,42,202,
Standard Liège (2 stagioni),,1 campionato,,26.4,1444,1838,"78,6",27074,10140,599,662,"90,5",641,775,"82,7",180,327,"55,0",1,3.4,4.0,-2.4,32,131,55,20,188,
Sint-Truiden (1 stagione),,1 campionato,,1.8,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Division A (5 stagioni),,,,101.0,3435,4581,"75,0",64250,26777,1454,1676,"86,8",1498,1920,"78,0",435,830,"52,4",3,6.0,8.8,-3.0,74,302,121,62,390,
Serie A (4 stagioni),,,,65.0,2810,3633,"77,3",46070,18759,1462,1660,"88,1",1055,1339,"78,8",221,428,"51,6",11,7.3,6.5,+3.7,59,258,89,33,347,
Second Division (1 stagione),,,,1.8,,,,,,,,,,,,,,,0,,,,,,,,,
