,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2015-2016,18,Real Sociedad,es ESP,1. La Liga,9°,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,19,Real Sociedad,es ESP,1. La Liga,6°,2.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,20,Real Sociedad,es ESP,1. La Liga,12°,17.6,810,944,"85,8",15702,3292,305,348,"87,6",387,426,"90,8",106,137,"77,4",2,0.2,0.4,+1.8,6,65,6,1,72,Partite
2018-2019,21,Real Sociedad,es ESP,1. La Liga,9°,28.3,1031,1207,"85,4",19069,4583,403,456,"88,4",493,533,"92,5",113,163,"69,3",1,1.0,0.7,0.0,8,82,6,1,89,Partite
2019-2020,22,Real Sociedad,es ESP,1. La Liga,6°,29.3,1479,1705,"86,7",28238,8599,487,542,"89,9",828,893,"92,7",147,227,"64,8",1,0.3,0.7,+0.7,5,88,2,1,127,Partite
2020-2021,23,Real Sociedad,es ESP,1. La Liga,5°,21.8,1060,1223,"86,7",21163,6191,311,354,"87,9",618,661,"93,5",121,181,"66,9",1,0.6,0.6,+0.4,5,55,4,2,75,Partite
2021-2022,24,Real Sociedad,es ESP,1. La Liga,6°,18.3,908,1045,"86,9",17954,6031,272,298,"91,3",534,576,"92,7",96,151,"63,6",1,1.0,0.4,0.0,2,55,4,1,63,Partite
2022-2023,25,Real Sociedad,es ESP,1. La Liga,4°,28.2,1329,1557,"85,4",26531,9705,422,474,"89,0",753,824,"91,4",149,231,"64,5",1,0.4,0.6,+0.6,3,79,8,1,128,Partite
2023-2024,26,Real Sociedad,es ESP,1. La Liga,7°,23.0,1195,1425,"83,9",24466,7744,320,373,"85,8",734,798,"92,0",136,223,"61,0",2,1.1,0.8,+0.9,9,85,4,0,116,Partite
9 stagioni,1 club,,1 campionato,,169.5,7812,9106,"85,8",153123,46145,2520,2845,"88,6",4347,4711,"92,3",868,1313,"66,1",9,4.5,4.3,+4.5,38,509,34,7,670,
