,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Roma (8 stagioni),Sassuolo (2 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2014-2015,18,Roma,it ITA,1. Serie A,2°,0.3,,,,,,,,,,,,,,,,,Partite
2015-2016,19,Sassuolo,it ITA,1. Serie A,6°,12.8,,,,,,,,,,,,,,,,,Partite
2016-2017,20,Sassuolo,it ITA,1. Serie A,12°,21.6,,28,,,,,,,,,,,37,,,,Partite
2017-2018,21,Roma,it ITA,1. Serie A,3°,20.0,36,20,16,11,9,10,35,"28,6",25,21,2,19,41,77,21,1,Partite
2018-2019,22,Roma,it ITA,1. Serie A,6°,20.2,39,23,16,18,5,10,30,"33,3",20,20,2,18,12,51,21,0,Partite
2019-2020,23,Roma,it ITA,1. Serie A,5°,23.3,30,13,9,13,8,12,33,"36,4",21,28,0,28,15,45,18,0,Partite
2020-2021,24,Roma,it ITA,1. Serie A,7°,28.9,40,24,13,20,7,21,60,"35,0",39,37,2,35,42,82,23,1,Partite
2021-2022,25,Roma,it ITA,1. Serie A,6°,25.4,35,14,10,17,8,16,60,"26,7",44,29,1,28,27,62,20,0,Partite
2022-2023,26,Roma,it ITA,1. Serie A,6°,28.3,52,29,24,24,4,22,48,"45,8",26,27,4,23,26,78,22,0,Partite
2023-2024,27,Roma,it ITA,1. Serie A,5°,13.5,25,13,9,12,4,12,33,"36,4",21,19,3,16,13,38,13,0,Partite
10 stagioni,2 club,,1 campionato,,194.2,257,164,97,115,45,103,299,"34,4",196,181,14,167,213,433,138,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Roma (8 stagioni),,1 campionato,,159.9,257,136,97,115,45,103,299,"34,4",196,181,14,167,176,433,138,2,
Sassuolo (2 stagioni),,1 campionato,,34.3,,28,,,,,,,,,,,37,0,,,
