Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco
L. Pellegrini,2022-2023,Roma,it ITA,1. Serie A,52,29,24,24,4,22,48,"45,8",26,27,4,23,26,78,22,0.0,Partite,132,"4,67",64,49,3,6,1,10,"0,35",2,6,0,2,0,0.0,816,1114,"73,2",14299,4489,390,452,"86,3",275,352,"78,1",118,238,"49,6",5,6.9,6.2,-1.9,70,62,23,3,106.0,908,205,86,12,10,162,6,100,45,51,0,1
L. Pellegrini,2023-2024,Roma,it ITA,1. Serie A,25,13,9,12,4,12,33,"36,4",21,19,3,16,13,38,13,0.0,Partite,48,"3,54",27,12,3,4,1,7,"0,52",3,1,1,0,2,0.0,438,565,"77,5",6570,1881,241,270,"89,3",150,176,"85,2",26,69,"37,7",3,1.7,1.7,+1.3,24,47,8,0,59.0,519,45,17,5,3,46,1,26,12,11,0,1
