,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017,2018,2019,2020,2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Beijing Guoan (3 stagioni),Jeonbuk (2 stagioni),Napoli (1 stagione),Fenerbahçe (1 stagione),Bayern Munich (1 stagione),,Super League (3 stagioni),K League (2 stagioni),Serie A (1 stagione),Süper Lig (1 stagione),Bundesliga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017,20,Jeonbuk,kr KOR,1. K League,1°,27.9,,0,,,,,,,,,,,0,,,,Partite
2018,21,Jeonbuk,kr KOR,1. K League,1°,20.7,,0,,,,,,,,,,,0,,,,Partite
2019,22,Beijing Guoan,cn CHN,1. Super League,2°,24.0,,22,,,,,,,,,,,33,,,,Partite
2020,23,Beijing Guoan,cn CHN,1. Super League,3°,10.8,,6,,,,,,,,,,,14,,,,Partite
2021,24,Beijing Guoan,cn CHN,1. Super League,3°,1.9,,1,,,,,,,,,,,2,,,,Partite
2021-2022,24,Fenerbahçe,tr TUR,1. Süper Lig,2°,29.6,,31,,,,,,,,,,,61,,,,Partite
2022-2023,25,Napoli,it ITA,1. Serie A,1°,33.9,55,30,32,22,1,25,29,"86,2",4,36,26,10,41,96,123,1,Partite
2023-2024,26,Bayern Munich,de GER,1. Bundesliga,2°,17.7,25,16,13,8,4,9,20,"45,0",11,23,13,10,40,65,53,1,Partite
7 stagioni,5 club,,5 campionati,,166.5,80,106,45,30,5,34,49,"69,4",15,59,39,20,191,161,176,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Beijing Guoan (3 stagioni),,1 campionato,,36.7,,29,,,,,,,,,,,49,0,,,
Jeonbuk (2 stagioni),,1 campionato,,48.5,,0,,,,,,,,,,,0,0,,,
Napoli (1 stagione),,1 campionato,,33.9,55,30,32,22,1,25,29,"86,2",4,36,26,10,41,96,123,1,
Fenerbahçe (1 stagione),,1 campionato,,29.6,,31,,,,,,,,,,,61,0,,,
Bayern Munich (1 stagione),,1 campionato,,17.7,25,16,13,8,4,9,20,"45,0",11,23,13,10,40,65,53,1,
,,,,,,,,,,,,,,,,,,,,,
Super League (3 stagioni),,,,36.7,,29,,,,,,,,,,,49,0,,,
K League (2 stagioni),,,,48.5,,0,,,,,,,,,,,0,0,,,
Serie A (1 stagione),,,,33.9,55,30,32,22,1,25,29,"86,2",4,36,26,10,41,96,123,1,
Süper Lig (1 stagione),,,,29.6,,31,,,,,,,,,,,61,0,,,
Bundesliga (1 stagione),,,,17.7,25,16,13,8,4,9,20,"45,0",11,23,13,10,40,65,53,1,
