Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco
M. Ruggeri,2022-2023,Atalanta,it ITA,1. Serie A,17,12,5,9,3,8,16,"50,0",8,14,3,11,12,29,16,0.0,Partite,17,"1,85",17,0,0,0,0,1,"0,11",1,0,0,0,0,0.0,515,631,"81,6",8203,3341,278,311,"89,4",187,227,"82,4",36,57,"63,2",1,0.9,0.9,+0.1,10,38,12,6,55.0,527,102,5,0,2,38,96,1,1,0,0,2
M. Ruggeri,2023-2024,Atalanta,it ITA,1. Serie A,19,10,10,4,5,12,24,"50,0",12,31,2,29,18,37,30,0.0,Partite,53,"2,61",47,3,2,0,0,10,"0,49",8,2,0,0,0,0.0,941,1160,"81,1",14250,5128,527,589,"89,5",342,407,"84,0",51,108,"47,2",3,1.4,1.6,+1.6,17,61,25,18,109.0,998,162,6,0,5,72,146,10,1,4,0,0
