,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Roma (4 stagioni),Fluminense (2 stagioni),Atalanta (2 stagioni),Al-Ahli (1 stagione),,Serie A (5 stagioni),Série A (2 stagioni),Pro League (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2018,19,Fluminense,br BRA,1. Série A,12°,10.7,,,,,,,,,,,,,,,,,Partite
2018-2019,19,Atalanta,it ITA,1. Serie A,3°,0.0,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,20,Roma,it ITA,1. Serie A,5°,6.8,6,"0,88",5,1,0,0,0,0,2,"0,29",2,0,0,0,0,0,Partite
2020-2021,21,Roma,it ITA,1. Serie A,7°,26.6,29,"1,13",20,1,2,2,0,4,5,"0,19",5,0,0,0,0,0,Partite
2021-2022,22,Roma,it ITA,1. Serie A,6°,32.1,31,"0,97",28,1,0,1,1,0,2,"0,06",2,0,0,0,0,0,Partite
2022-2023,23,Roma,it ITA,1. Serie A,6°,31.1,27,"0,87",15,1,0,7,3,1,2,"0,06",1,0,0,1,0,0,Partite
2023-2024,24,Al-Ahli,sa KSA,1. Pro League,3°,19.1,,,,,,,,,,,,,,,,,Partite
7 stagioni,4 club,,3 campionati,,126.5,93,"0,97",68,4,2,10,4,5,11,"0,11",10,0,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Roma (4 stagioni),,1 campionato,,96.6,93,"0,97",68,4,2,10,4,5,11,"0,12",10,0,0,1,0,0,
Fluminense (2 stagioni),,1 campionato,,10.7,,,,,,,,,,,,,,,,,
Atalanta (2 stagioni),,1 campionato,,0.0,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Al-Ahli (1 stagione),,1 campionato,,19.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,96.7,93,"0,97",68,4,2,10,4,5,11,"0,11",10,0,0,1,0,0,
Série A (2 stagioni),,,,10.7,,,,,,,,,,,,,,,,,
Pro League (1 stagione),,,,19.1,,,,,,,,,,,,,,,,,
