Giocatore,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
Sam Lammers,1.4,0.2,0.4,0.0,0.6,0.3,0.1,0.0,6.49
Samir Ujkani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91
Samuele Perisan,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.55
Sebastian Walukiewicz,0.8,0.6,0.5,0.3,2.7,0.2,0.8,0.0,6.49
Sebastiano Luperto,0.9,1.2,0.6,0.5,4.4,0.3,1.2,0.0,6.65
Tommaso Baldanzi,1.0,0.1,0.5,0.0,0.2,1.0,0.0,0.0,6.55
Tyronne Ebuehi,0.8,0.5,0.5,0.3,2.5,0.2,0.5,0.0,6.64
Aleksa Terzic,0.7,0.2,0.2,0.1,0.7,0.5,0.2,0.0,6.58
Alessandro Bianco,0.7,0.0,1.0,0.0,0.0,0.1,0.0,0.0,6.12
Alfred Duncan,0.7,0.3,1.0,0.0,0.2,0.4,0.0,0.0,6.4
Antonín Barák,0.7,0.1,0.4,0.0,0.4,0.3,0.1,0.0,6.38
Arthur Cabral,0.3,0.0,0.9,0.0,0.4,0.1,0.0,0.0,6.61
Christian Kouamé,1.0,0.4,1.1,0.0,0.2,0.3,0.1,0.0,6.79
Cristiano Biraghi,2.0,0.4,0.9,0.4,1.2,1.0,0.2,1.0,6.92
Dodô,1.2,0.8,0.8,0.4,0.8,0.7,0.1,0.0,6.64
Gaetano Castrovilli,0.7,0.5,0.8,0.0,0.3,0.5,0.1,0.0,6.54
Giacomo Bonaventura,1.2,0.5,0.8,0.0,0.1,0.4,0.0,0.0,6.69
Igor Julio,1.6,0.9,1.1,0.7,2.0,0.3,0.5,0.0,6.47
Jonathan Ikoné,0.5,0.1,0.8,0.0,0.0,0.3,0.0,0.0,6.58
Josip Brekalo,0.3,0.2,0.5,0.0,0.2,0.5,0.0,0.0,6.49
Lorenzo Venuti,1.1,0.3,0.4,0.1,0.9,0.4,0.1,0.0,6.32
Luca Ranieri,1.0,1.2,0.7,0.7,1.7,0.3,0.3,0.0,6.55
Lucas Martínez,3.0,1.8,0.8,0.5,2.8,0.7,0.7,0.0,7.08
Luka Jovic,0.2,0.1,0.7,0.0,0.3,0.2,0.1,0.0,6.53
Marco Benassi,1.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,6.48
Michele Cerofolini,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,6.72
Nicolás González,0.7,0.2,0.7,0.0,0.3,0.5,0.0,0.0,6.79
Nikola Milenkovic,1.5,0.8,1.4,0.6,2.7,0.3,0.5,1.0,6.77
Pierluigi Gollini,0.3,0.0,0.0,0.3,1.0,0.0,0.0,0.0,6.91
Pietro Terracciano,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0.0,6.51
Riccardo Saponara,0.3,0.2,0.5,0.0,0.3,0.1,0.0,0.0,6.47
Riccardo Sottil,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,6.39
Rolando Mandragora,1.4,0.6,1.1,0.0,0.7,1.0,0.1,0.0,6.71
