Giocatore,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
José Machín,1.1,0.5,0.8,0.0,0.6,0.7,0.1,0.0,6.35
Luca Caldirola,0.8,0.8,1.0,0.3,2.1,0.4,0.6,0.0,6.48
Luca Marrone,0.0,0.0,0.5,0.0,2.0,1.0,1.0,0.0,5.86
Marco D'Alessandro,0.5,0.1,0.8,0.0,0.3,0.4,0.0,0.0,6.1
Marlon,1.3,0.6,0.8,0.2,1.7,0.5,0.1,1.0,6.34
Matteo Pessina,1.6,1.1,1.2,0.1,0.9,1.0,0.4,0.0,6.86
Mattia Valoti,1.1,0.2,1.0,0.0,0.4,0.7,0.2,0.0,6.25
Michele Di Gregorio,0.0,0.1,0.0,0.0,0.8,0.1,0.0,0.0,6.79
Nicolò Rovella,1.8,1.6,1.0,0.1,0.6,0.9,0.0,0.0,6.78
Pablo Marí,1.2,1.0,1.0,0.5,3.6,0.3,0.5,0.0,6.61
Patrick Ciurria,0.9,0.2,0.9,0.0,0.7,0.4,0.1,0.0,6.74
Salvatore Molina,1.2,0.2,0.8,0.2,0.2,0.2,0.4,0.0,6.19
Samuele Birindelli,1.1,0.5,0.5,0.1,0.8,0.4,0.3,0.0,6.33
Samuele Vignato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26
Stefano Sensi,1.5,0.7,0.6,0.0,0.1,1.1,0.1,0.0,6.64
Valentin Antov,0.7,0.4,0.4,0.1,1.6,0.4,0.4,0.0,6.13
Warren Bondo,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.18
Adam Ounas,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.35
Alessandro Zanoli,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31
Alessio Zerbin,1.0,0.2,0.9,0.0,0.2,0.4,0.0,0.0,6.21
Alex Meret,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.69
Amir Rrahmani,1.1,0.5,0.8,0.2,2.6,0.3,0.7,0.0,6.87
Bartosz Bereszynski,1.0,1.0,0.7,0.3,1.0,0.0,0.0,0.0,6.5
Diego Demme,0.1,0.0,0.3,0.0,0.1,0.6,0.0,0.0,6.17
Eljif Elmas,0.7,0.3,0.6,0.0,0.1,0.3,0.1,0.0,6.64
Frank Anguissa,1.5,1.4,1.2,0.0,0.7,1.3,0.1,0.0,7.03
Giacomo Raspadori,0.4,0.2,0.3,0.0,0.1,0.2,0.0,0.0,6.44
Gianluca Gaetano,0.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0,6.34
Giovanni Di Lorenzo,1.6,0.8,0.8,0.2,1.4,0.6,0.2,0.0,7.04
Giovanni Simeone,0.5,0.0,0.3,0.0,0.2,0.2,0.0,0.0,6.28
Hirving Lozano,0.8,0.5,0.8,0.0,0.1,0.4,0.0,0.0,6.77
Juan Jesus,1.1,0.7,0.7,0.3,1.9,0.2,0.7,0.0,6.77
Karim Zedadka,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.04
Khvicha Kvaratskhelia,1.3,0.1,0.6,0.0,0.2,0.8,0.0,0.0,7.43
Kim Min-Jae,1.6,1.2,0.9,0.6,3.5,0.1,0.7,0.0,7.07
Leo Østigård,0.6,0.9,0.3,0.1,2.4,0.0,0.4,0.0,6.8
Mathías Olivera,1.3,0.7,0.7,0.2,0.8,0.7,0.1,0.0,6.66
Matteo Politano,0.7,0.3,0.4,0.0,0.2,0.5,0.0,0.0,6.6
Mário Rui,1.5,0.7,0.9,0.1,0.8,1.0,0.2,0.0,7.09
Pierluigi Gollini,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.87
Piotr Zielinski,0.5,0.4,0.6,0.0,0.2,0.4,0.1,0.0,6.93
Stanislav Lobotka,2.2,0.6,0.7,0.0,0.4,0.8,0.2,0.0,6.87
