,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,River Plate (5 stagioni),Fiorentina (4 stagioni),,Primera Div (5 stagioni),Serie A (4 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,20,River Plate,ar ARG,1. Primera Div,2°,18.9,26,20,19,7,0,18,23,"78,3",5,25,10,15,51,77,110,1,Partite
2017-2018,21,River Plate,ar ARG,1. Primera Div,8°,9.0,8,6,7,1,0,6,10,"60,0",4,9,6,3,17,25,51,1,Partite
2018-2019,22,River Plate,ar ARG,1. Primera Div,4°,16.7,41,27,31,7,3,23,31,"74,2",8,26,7,19,45,86,94,2,Partite
2019-2020,23,River Plate,ar ARG,1. Primera Div,2°,18.3,34,27,27,4,3,18,26,"69,2",8,22,5,17,33,67,75,2,Partite
2020-2021,24,Fiorentina,it ITA,1. Serie A,13°,16.5,32,20,17,11,4,18,41,"43,9",23,27,9,18,39,71,48,0,Partite
2021-2022,25,Fiorentina,it ITA,1. Serie A,7°,15.9,36,25,23,11,2,21,34,"61,8",13,22,9,13,19,55,46,0,Partite
2022-2023,26,Fiorentina,it ITA,1. Serie A,8°,24.1,80,48,44,32,4,42,61,"68,9",19,41,19,22,48,128,78,1,Partite
2023-2024,27,Fiorentina,it ITA,1. Serie A,7°,18.4,58,36,35,20,3,28,41,"68,3",13,32,12,20,24,82,42,3,Partite
9 stagioni,2 club,,2 campionati,,137.8,315,209,203,93,19,174,267,"65,2",93,204,77,127,276,591,544,10,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
River Plate (5 stagioni),,1 campionato,,62.9,109,80,84,19,6,65,90,"72,2",25,82,28,54,146,255,330,6,
Fiorentina (4 stagioni),,1 campionato,,74.9,206,129,119,74,13,109,177,"61,6",68,122,49,73,130,336,214,4,
,,,,,,,,,,,,,,,,,,,,,
Primera Div (5 stagioni),,,,62.9,109,80,84,19,6,65,90,"72,2",25,82,28,54,146,255,330,6,
Serie A (4 stagioni),,,,74.9,206,129,119,74,13,109,177,"61,6",68,122,49,73,130,336,214,4,
