Giocatore,Stagione,Squadra,Paese,Competizione,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,GCA90,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",% compl..1,Compl..2,"Tent,.2",% compl..2,Compl..3,"Tent,.3",% compl..3,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco
F. Daniliuc,2022-2023,Nice,fr FRA,1. Ligue 1,2,0,2,0,0,1,1,"100,0",0,4,1,3,0,2,1,0.0,Partite,1,"0,99",1,0,0,0,0,0,"0,00",0,0,0,0,0,0.0,57,63,"90,5",787,259,35,38,"92,1",15,16,"93,8",3,4,"75,0",0,0.1,0.0,-0.1,1,1,1,1,4.0,50,13,2,0,1,2,11,0,0,0,0,0
F. Daniliuc,2023-2024,Salernitana,it ITA,1. Serie A,19,11,12,5,2,9,19,"47,4",10,13,4,9,8,27,15,0.0,Partite,10,"1,21",9,0,0,0,1,0,"0,00",0,0,0,0,0,0.0,350,411,"85,2",5932,2368,157,180,"87,2",157,170,"92,4",27,39,"69,2",0,0.2,0.1,-0.2,5,31,2,0,37.0,368,41,11,1,4,1,30,0,0,0,0,2
