Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Adrien Rabiot28,  MC,Cc(S)","Adrien Rabiot 28,  MC,Cc(S)",188,72,5,447,3.2,1,2,-,0.6,0.4,0.4,-,7.06
"2Leandro Paredes29,  MC","Leandro Paredes 29,  MC",182,75,4,311,2.5,0.8,1,-,-,1,1,-,6.69
"3Daniele Rugani29,  Di(C)","Daniele Rugani 29,  Di(C)",190,84,1,90,2,3,-,1,4,-,1,-,6.97
"4Bremer26,  Di(C)","Bremer 26,  Di(C)",188,80,3,270,2,1.7,1.3,-,4,1,0.7,-,6.53
"5Juan Cuadrado35,  Di(D),Cc(CSD),AC","Juan Cuadrado 35,  Di(D),Cc(CSD),AC",179,72,6,437,2,1.3,0.7,0.2,0.5,0.7,-,-,6.77
"6Tommaso Barbieri21,  Defender","Tommaso Barbieri 21,  Defender",181,59,0(1),2,2,-,-,-,-,-,-,-,6.22
"7Manuel Locatelli26,  Cc(C)","Manuel Locatelli 26,  Cc(C)",185,75,2(3),266,1.8,0.4,0.8,-,0.4,0.4,-,-,6.41
"8Danilo32,  Di(CSD),MC","Danilo 32,  Di(CSD),MC",184,78,5,428,1.4,1.4,0.8,0.2,2,0.6,-,-,6.42
"9Filip Kostic31,  Cc(SD),AC","Filip Kostic 31,  Cc(SD),AC",184,81,5(1),431,1.3,-,0.5,-,0.7,1.7,0.2,-,6.46
"10Weston McKennie25,  Di(C),Cc(CSD)","Weston McKennie 25,  Di(C),Cc(CSD)",183,84,4(1),361,1.2,1,1.2,-,0.6,0.6,0.4,-,6.58
"11Federico Gatti25,  Di(C)","Federico Gatti 25,  Di(C)",190,0,2,180,1,1,2,-,3,1,0.5,-,6.29
"12Nicolò Fagioli23,  Cc(C)","Nicolò Fagioli 23,  Cc(C)",178,71,1(1),108,1,0.5,0.5,-,-,1.5,-,-,6.32
"13Alex Sandro33,  Di(CS),Cc(S)","Alex Sandro 33,  Di(CS),Cc(S)",180,80,2(2),240,0.8,1.3,0.8,0.3,1.5,-,-,-,6.48
"14Fabio Miretti20,  CO(C)","Fabio Miretti 20,  CO(C)",179,0,3(2),214,0.6,-,0.8,-,-,-,0.2,-,5.97
"15Arkadiusz Milik30,  CO(C),AC","Arkadiusz Milik 30,  CO(C),AC",186,80,3(2),339,0.4,0.2,0.8,-,-,0.4,-,-,6.59
"16Ángel Di María36,  Cc(CSD),AC","Ángel Di María 36,  Cc(CSD),AC",180,75,2(1),146,0.3,-,0.3,-,-,-,-,-,7.23
"17Leonardo Bonucci36,  Di(C)","Leonardo Bonucci 36,  Di(C)",190,85,5(1),443,0.3,0.3,1,-,2.3,0.3,1,-,6.26
"18Mattia De Sciglio31,  Di(CSD),Cc(SD)","Mattia De Sciglio 31,  Di(CSD),Cc(SD)",182,78,1(2),94,0.3,0.3,0.3,-,-,-,-,-,6.17
"19Dusan Vlahovic24,  AC","Dusan Vlahovic 24,  AC",190,88,5,413,0.2,-,0.8,-,0.8,0.4,0.2,-,6.44
"20Moise Kean24,  CO(SD),AC","Moise Kean 24,  CO(SD),AC",183,67,1(4),108,0.2,-,-,-,-,-,-,-,6.22
"21Enzo Barrenechea22,  MC","Enzo Barrenechea 22,  MC",186,81,0(1),2,-,-,-,-,-,-,-,-,5.99
"22Federico Chiesa26,  Cc(CSD),AC","Federico Chiesa 26,  Cc(CSD),AC",175,70,0(1),16,-,-,1,-,-,-,-,-,6.08
"23Matías Soulé20,  CO(CD)","Matías Soulé 20,  CO(CD)",182,0,0(3),41,-,-,-,-,0.3,0.3,-,-,6.29
"24Mattia Perin31,  POR","Mattia Perin 31,  POR",188,85,2,180,-,-,-,-,-,-,-,-,6.88
"25Samuel Iling-Junior20,  Forward","Samuel Iling-Junior 20,  Forward",182,0,0(1),20,-,1,-,-,1,1,-,-,7.22
"26Wojciech Szczesny33,  POR","Wojciech Szczesny 33,  POR",195,90,4,360,-,-,-,-,0.5,0.3,-,-,6.19
