Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Matías Viña26,  Di(S),Cc(S)","Matías Viña 26,  Di(S),Cc(S)",175,70,13(2),1022,2.3,0.6,0.8,0.3,1.7,1.1,0.1,2,6.66
"2Daniel Boloca25,  MC","Daniel Boloca 25,  MC",188,80,20(2),1667,1.8,0.6,0.8,-,1,0.6,0.5,-,6.51
"3Josh Doig21,  Di(CS),Cc(S)","Josh Doig 21,  Di(CS),Cc(S)",189,71,7,597,1.7,0.6,0.9,0.1,1.4,1.1,1.1,-,6.28
"4Mattia Viti22,  Di(C)","Mattia Viti 22,  Di(C)",190,0,7(2),628,1.6,0.7,0.9,0.4,3,0.7,1,1,6.36
"5Matheus Henrique26,  Cc(C)","Matheus Henrique 26,  Cc(C)",175,71,21,1882,1.3,0.8,0.7,-,0.8,1,0.3,-,6.35
"6Martin Erlic26,  Di(C)","Martin Erlic 26,  Di(C)",192,78,22(1),1911,1.3,0.9,1,1,4,0.3,0.5,-,6.49
"7Marcus Pedersen23,  Di(SD)","Marcus Pedersen 23,  Di(SD)",184,76,14(10),1396,1.3,0.4,0.4,0.4,1.6,0.1,0.2,-,6.25
"8Domenico Berardi29,  CO(D),AC","Domenico Berardi 29,  CO(D),AC",183,72,17,1437,1,0.8,1.6,-,0.5,1.1,-,-,7.07
"9Luca Lipani18,  Midfielder","Luca Lipani 18,  Midfielder",185,0,3(1),205,1,1,0.8,-,1.3,1,0.5,-,6.44
"10Maxime Lopez26,  Cc(CD)","Maxime Lopez 26,  Cc(CD)",167,58,2,141,1,1,1,-,-,0.5,0.5,-,6.11
"11Kristian Thorstvedt24,  Cc(C)","Kristian Thorstvedt 24,  Cc(C)",189,84,20(4),1697,1,0.7,1.1,-,1.3,0.6,0.3,-,6.53
"12Ruan Tressoldi24,  Di(C)","Ruan Tressoldi 24,  Di(C)",187,78,13(8),1216,1,0.9,0.9,0.9,2.4,0.2,0.6,-,6.15
"13Samu Castillejo29,  CO(CSD),AC","Samu Castillejo 29,  CO(CSD),AC",182,67,6(10),521,0.8,0.1,0.6,-,0.1,0.8,0.1,-,6.27
"14Cristian Volpato20,  Midfielder","Cristian Volpato 20,  Midfielder",187,0,2(13),381,0.7,0.1,0.6,-,0.2,0.5,-,-,6.39
"15Grégoire Defrel32,  CO(CD),AC","Grégoire Defrel 32,  CO(CD),AC",180,79,2(11),305,0.7,0.1,0.2,-,0.2,0.1,-,-,6.17
"16Armand Laurienté25,  CO(SD),AC","Armand Laurienté 25,  CO(SD),AC",171,59,26(1),2127,0.7,0.3,0.9,-,0.1,0.9,0.1,-,6.65
"17Gian Marco Ferrari31,  Di(C)","Gian Marco Ferrari 31,  Di(C)",189,82,14(6),1279,0.6,0.7,0.9,0.5,1.8,0.2,0.5,-,6.28
"18Jeremy Toljan29,  Di(SD),Cc(SD)","Jeremy Toljan 29,  Di(SD),Cc(SD)",182,74,18,1615,0.6,0.6,0.3,0.5,1.9,0.3,0.2,-,6.38
"19Filippo Missori19,  Defender","Filippo Missori 19,  Defender",182,0,0(4),99,0.5,0.5,-,-,0.5,0.3,-,-,6.18
"20Nedim Bajrami25,  CO(CD)","Nedim Bajrami 25,  CO(CD)",179,68,12(9),1016,0.5,0.2,0.4,-,0.2,0.4,-,-,6.35
"21Uros Racic25,  MC","Uros Racic 25,  MC",193,81,4(9),462,0.4,0.3,0.2,0.2,1.5,0.3,0.4,-,6.20
"22Andrea Pinamonti24,  AC","Andrea Pinamonti 24,  AC",188,72,27,2210,0.2,-,0.5,-,1,0.4,0.1,-,6.60
"23Samuele Mulattieri23,  Forward","Samuele Mulattieri 23,  Forward",183,77,0(21),249,-,-,0.2,-,-,-,0.1,-,6.09
"24Alessio Cragno29,  POR","Alessio Cragno 29,  POR",184,78,2,180,-,-,-,-,1.5,-,-,-,5.84
"25Andrea Consigli37,  POR","Andrea Consigli 37,  POR",189,82,25,2250,-,-,-,-,0.9,-,-,-,6.47
"26Emil Ceïde22,  Forward","Emil Ceïde 22,  Forward",175,71,0(8),130,-,-,0.1,-,-,-,0.1,-,6.14
"27Justin Kumi19,  Midfielder","Justin Kumi 19,  Midfielder",0,0,0(1),3,-,-,-,-,-,-,-,-,6.01
"28Kevin Miranda20,  Defender","Kevin Miranda 20,  Defender",188,0,0(1),12,-,-,-,-,1,-,-,-,6.03
"29Marash Kumbulla24,  Di(C)","Marash Kumbulla 24,  Di(C)",191,78,0(1),13,-,-,-,-,-,-,3,-,6.24
"30Pedro Obiang31,  MC","Pedro Obiang 31,  MC",185,75,0(1),9,-,-,-,-,-,-,-,-,6.03
