Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Edoardo Bove21,  Cc(C)","Edoardo Bove 21,  Cc(C)",179,0,14(10),1399,2,0.3,1.2,0.1,0.4,0.6,-,-,6.52
"2Bryan Cristante29,  Di(C),Cc(C)","Bryan Cristante 29,  Di(C),Cc(C)",186,80,26,2311,1.7,0.7,2.2,0.2,1.5,0.7,0.2,-,6.86
"3Leandro Paredes29,  MC","Leandro Paredes 29,  MC",182,75,23(2),1936,1.6,0.8,0.9,-,1.2,1.3,0.2,-,6.77
"4Rick Karsdorp29,  Di(D),Cc(D)","Rick Karsdorp 29,  Di(D),Cc(D)",184,80,12(2),988,1.5,0.6,0.6,-,0.9,0.4,0.1,-,6.61
"5Evan Ndicka24,  Di(CS)","Evan Ndicka 24,  Di(CS)",192,82,17,1513,1.5,0.5,1,0.1,2.5,0.3,0.4,-,6.65
"6Lorenzo Pellegrini27,  Cc(CS)","Lorenzo Pellegrini 27,  Cc(CS)",186,77,13(6),1227,1.3,0.7,0.9,-,0.7,1.1,0.2,-,7.00
"7Zeki Çelik27,  Di(D),Cc(D)","Zeki Çelik 27,  Di(D),Cc(D)",180,78,2(9),318,1.3,0.3,0.8,-,1.1,0.5,0.2,-,6.38
"8Diego Llorente30,  Di(C),MC","Diego Llorente 30,  Di(C),MC",186,75,20(2),1634,1.2,0.7,0.7,0.3,2.4,0.5,0.9,-,6.58
"9Rasmus Kristensen26,  Di(CD),Cc(D)","Rasmus Kristensen 26,  Di(CD),Cc(D)",187,70,16(9),1482,1.2,0.2,0.6,-,1.3,0.7,0.2,1,6.44
"10Houssem Aouar25,  Cc(CS)","Houssem Aouar 25,  Cc(CS)",175,70,5(6),448,1.1,0.4,0.6,-,0.1,0.5,-,-,6.54
"11Gianluca Mancini27,  Di(C),MC","Gianluca Mancini 27,  Di(C),MC",190,77,26,2184,1,1.1,1.4,0.2,2,0.5,0.7,-,6.66
"12Nicola Zalewski22,  Cc(SD)","Nicola Zalewski 22,  Cc(SD)",164,68,7(10),688,1,0.4,0.8,0.1,0.7,0.6,0.2,-,6.40
"13Paulo Dybala30,  CO(CD),AC","Paulo Dybala 30,  CO(CD),AC",177,75,19,1440,0.9,0.2,0.5,-,0.2,0.4,-,-,7.35
"14Leonardo Spinazzola30,  Di(SD),Cc(S)","Leonardo Spinazzola 30,  Di(SD),Cc(S)",186,75,13(5),1100,0.6,0.2,0.4,-,0.5,0.4,0.1,-,6.66
"15Stephan El Shaarawy31,  Cc(CSD),AC","Stephan El Shaarawy 31,  Cc(CSD),AC",178,72,13(10),1223,0.6,0.3,0.4,0.1,0.4,0.3,0.2,-,6.63
"16Andrea Belotti30,  AC","Andrea Belotti 30,  AC",181,72,6(8),674,0.6,0.1,1,-,0.2,0.2,-,-,6.56
"17Riccardo Pagano19,  Midfielder","Riccardo Pagano 19,  Midfielder",175,0,0(4),49,0.5,-,0.8,-,0.3,1.5,0.5,-,6.22
"18Dean Huijsen18,  Defender","Dean Huijsen 18,  Defender",195,0,3(6),345,0.4,0.3,0.8,0.1,2.2,0.2,0.2,1,6.34
"19Sardar Azmoun29,  CO(C),AC","Sardar Azmoun 29,  CO(C),AC",187,80,2(14),395,0.4,0.1,0.3,-,0.2,0.3,-,-,6.36
"20Renato Sanches26,  Cc(CD)","Renato Sanches 26,  Cc(CD)",176,70,1(5),122,0.3,-,0.8,-,0.2,0.2,-,-,6.33
"21Tommaso Baldanzi20,  CO(C)","Tommaso Baldanzi 20,  CO(C)",176,0,1(3),125,0.3,-,0.3,-,0.5,-,-,-,6.24
"22Angeliño27,  Di(S),Cc(S)","Angeliño 27,  Di(S),Cc(S)",175,69,5,324,0.2,0.4,1.4,-,2.2,-,-,1,6.48
"23Chris Smalling34,  Di(CD)","Chris Smalling 34,  Di(CD)",194,81,4(2),362,0.2,0.8,0.2,-,1,0.5,0.8,-,6.41
"24Romelu Lukaku30,  CO(D),AC","Romelu Lukaku 30,  CO(D),AC",191,93,22(2),1972,0.1,-,0.9,-,0.5,0.1,-,-,6.85
"25Mile Svilar24,  POR","Mile Svilar 24,  POR",189,77,4,360,-,-,-,-,0.8,-,-,-,7.07
"26Niccolò Pisilli19,  Midfielder","Niccolò Pisilli 19,  Midfielder",181,0,0(1),8,-,-,-,-,-,-,-,-,5.98
"27Ola Solbakken25,  CO(D)","Ola Solbakken 25,  CO(D)",186,0,0(1),22,-,-,-,-,-,-,-,-,6.12
"28Rui Patrício36,  POR","Rui Patrício 36,  POR",190,84,23,2070,-,-,-,-,0.1,-,-,-,6.48
