Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Davide Calabria27,  Di(SD),Cc(D)","Davide Calabria 27,  Di(SD),Cc(D)",177,70,6,499,2.8,2.5,1,0.2,2,1.7,0.5,-,6.82
"2Ismaël Bennacer26,  Cc(C)","Ismaël Bennacer 26,  Cc(C)",175,70,9(1),592,2.6,0.7,1.1,-,0.2,0.5,-,-,6.78
"3Malick Thiaw22,  Di(C)","Malick Thiaw 22,  Di(C)",191,80,3(1),275,2.5,2.5,2,-,3,0.5,1.3,-,7.11
"4Théo Hernández26,  Di(CS),Cc(S)","Théo Hernández 26,  Di(CS),Cc(S)",184,81,11,948,2.5,0.5,1.2,0.3,1.8,0.7,0.2,-,6.87
"5Fikayo Tomori26,  Di(CD)","Fikayo Tomori 26,  Di(CD)",185,75,10,828,2.2,1,1.4,0.1,2.7,0.3,0.8,-,6.49
"6Sandro Tonali23,  MC","Sandro Tonali 23,  MC",181,79,12,1053,1.6,0.3,1.1,0.1,0.7,0.8,0.3,-,6.81
"7Rade Krunic30,  Cc(CS)","Rade Krunic 30,  Cc(CS)",184,74,9(2),823,1.5,0.6,0.6,0.1,0.7,1.3,0.7,-,6.54
"8Pierre Kalulu23,  Di(CD)","Pierre Kalulu 23,  Di(CD)",179,69,8(2),750,1.5,0.7,1.1,0.2,1.5,0.5,0.6,-,6.64
"9Ante Rebic30,  CO(CSD),AC","Ante Rebic 30,  CO(CSD),AC",185,78,2(5),246,1,0.1,1.3,-,-,0.6,-,-,6.35
"10Sergiño Dest23,  Di(SD),Cc(D)","Sergiño Dest 23,  Di(SD),Cc(D)",173,62,1(3),188,1,0.3,0.5,-,-,0.5,0.3,-,5.99
"11Simon Kjær34,  Di(C)","Simon Kjær 34,  Di(C)",190,86,6,509,1,1,0.8,0.2,4,0.5,0.8,-,6.87
"12Junior Messias32,  Cc(CD),AC","Junior Messias 32,  Cc(CD),AC",174,70,2(7),312,0.9,0.3,0.6,-,0.1,0.4,-,-,6.27
"13Alexis Saelemaekers24,  Cc(SD)","Alexis Saelemaekers 24,  Cc(SD)",180,72,4(4),371,0.9,0.5,1,-,0.6,0.9,-,-,6.81
"14Matteo Gabbia24,  Di(C)","Matteo Gabbia 24,  Di(C)",185,78,2(2),209,0.8,0.8,1.3,-,2.5,-,-,-,6.60
"15Brahim Díaz24,  CO(CSD)","Brahim Díaz 24,  CO(CSD)",171,59,8(2),608,0.7,0.6,1.1,-,-,0.2,0.1,-,6.59
"16Tommaso Pobega24,  Cc(C)","Tommaso Pobega 24,  Cc(C)",188,75,0(8),154,0.6,-,0.9,-,0.1,0.5,-,-,6.25
"17Olivier Giroud37,  AC","Olivier Giroud 37,  AC",193,91,12,940,0.6,0.2,1,0.1,1.3,0.5,-,-,6.98
"18Fodé Ballo-Touré27,  Di(S),Cc(S)","Fodé Ballo-Touré 27,  Di(S),Cc(S)",182,70,1(3),132,0.5,1.3,0.8,0.5,0.3,0.3,0.5,-,6.13
"19Charles De Ketelaere22,  Cc(CSD),AC","Charles De Ketelaere 22,  Cc(CSD),AC",192,74,3(3),233,0.3,0.5,0.8,-,-,0.5,0.2,-,6.10
"20Rafael Leão24,  CO(CS),AC","Rafael Leão 24,  CO(CS),AC",188,81,11,914,0.3,0.3,1,-,0.6,-,-,-,7.20
"21Ciprian Tatarusanu38,  POR","Ciprian Tatarusanu 38,  POR",198,90,5,450,-,-,-,-,1,-,-,-,7.27
"22Divock Origi28,  CO(SD),AC","Divock Origi 28,  CO(SD),AC",185,75,0(8),145,-,-,0.4,-,0.4,0.1,0.1,-,6.14
"23Mike Maignan28,  POR","Mike Maignan 28,  POR",191,89,7,630,-,-,-,-,1,-,-,-,7.11
