Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Matteo Cancellieri22,  CO(SD)","Matteo Cancellieri 22,  CO(SD)",180,0,2(4),222,1.7,0.2,0.5,-,0.2,0.3,-,-,6.34
"2Mario Gila23,  Di(C)","Mario Gila 23,  Di(C)",185,74,5,427,1.6,0.4,0.4,0.2,2.2,0.6,0.6,-,6.17
"3Elseid Hysaj30,  Di(SD),Cc(D)","Elseid Hysaj 30,  Di(SD),Cc(D)",182,75,6,540,1.5,1,1,0.5,1.3,0.8,0.2,-,6.50
"4Felipe Anderson30,  Cc(CSD),AC","Felipe Anderson 30,  Cc(CSD),AC",175,70,5(1),438,1.5,0.3,0.5,-,0.2,0.5,-,-,6.98
"5Adam Marusic31,  Di(CSD),Cc(SD)","Adam Marusic 31,  Di(CSD),Cc(SD)",185,76,3(3),340,1,-,0.5,0.3,1.3,-,-,-,6.32
"6Alessio Romagnoli29,  Di(CS)","Alessio Romagnoli 29,  Di(CS)",185,75,4,343,1,0.5,1,0.3,1.5,-,0.5,-,6.30
"7Luis Alberto31,  CO(CS),AC","Luis Alberto 31,  CO(CS),AC",182,70,4,307,1,0.3,0.5,-,-,0.3,0.3,-,6.93
"8Manuel Lazzari30,  Di(D),Cc(D)","Manuel Lazzari 30,  Di(D),Cc(D)",174,67,2(1),138,1,0.3,1,-,0.7,0.3,-,-,5.91
"9Pedro36,  Cc(CSD),AC","Pedro 36,  Cc(CSD),AC",169,65,3(2),277,1,0.2,0.4,-,-,0.4,-,-,6.84
"10Sergej Milinkovic-Savic29,  CO(C)","Sergej Milinkovic-Savic 29,  CO(C)",192,83,3(3),334,1,0.3,0.7,-,-,0.5,-,-,6.62
"11Toma Basic27,  Cc(C)","Toma Basic 27,  Cc(C)",189,80,3(1),200,1,0.3,0.8,-,0.3,0.3,-,-,6.21
"12Mattia Zaccagni28,  CO(CS),AC","Mattia Zaccagni 28,  CO(CS),AC",177,63,4(1),317,0.8,0.6,1.2,-,-,0.4,-,-,6.97
"13Luka Romero19,  Midfielder","Luka Romero 19,  Midfielder",165,0,0(3),40,0.7,0.3,0.3,-,-,0.7,-,-,5.80
"14Marcos Antônio23,  MC","Marcos Antônio 23,  MC",166,55,2(1),143,0.7,-,1,-,-,0.3,0.7,-,6.20
"15Ciro Immobile34,  AC","Ciro Immobile 34,  AC",185,78,4,315,0.5,-,1.3,-,1,0.3,-,-,6.49
"16Danilo Cataldi29,  Cc(C)","Danilo Cataldi 29,  Cc(C)",180,70,4(2),364,0.5,0.7,1,-,0.5,0.2,0.5,-,6.36
"17Matías Vecino32,  Cc(C)","Matías Vecino 32,  Cc(C)",187,81,2(4),240,0.5,0.7,1.5,-,0.2,0.7,-,-,6.56
"18Stefan Radu37,  Di(CS)","Stefan Radu 37,  Di(CS)",183,79,1(1),66,0.5,1,0.5,-,0.5,-,0.5,-,5.92
"19Patric30,  Di(CD),Cc(D)","Patric 30,  Di(CD),Cc(D)",184,72,2(2),213,0.3,0.5,0.5,-,1.8,0.3,0.3,-,6.07
"20Ivan Provedel29,  POR","Ivan Provedel 29,  POR",192,82,6,540,-,-,-,-,0.8,-,-,-,6.49
"21Nicolò Casale26,  Di(C)","Nicolò Casale 26,  Di(C)",191,84,1(1),98,-,0.5,1,0.5,1.5,-,-,-,6.12
