Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Stefan Posch26,  Di(CD)","Stefan Posch 26,  Di(CD)",189,82,30,2541,2.7,1.2,1.6,0.2,2,1,0.5,-,6.96
"2Nicolás Domínguez25,  Cc(CS)","Nicolás Domínguez 25,  Cc(CS)",179,73,26(5),2309,2.5,0.7,1.4,-,0.8,1.2,0.1,-,6.91
"3Jerdy Schouten27,  MC","Jerdy Schouten 27,  MC",185,77,29(4),2516,1.9,1.2,0.8,-,1.2,0.7,0.5,1,6.70
"4Andrea Cambiaso24,  Di(SD),Cc(SD)","Andrea Cambiaso 24,  Di(SD),Cc(SD)",182,77,25(7),2172,1.8,0.8,0.8,0.1,0.8,1.2,0.1,-,6.59
"5Denso Kasius21,  Cc(D)","Denso Kasius 21,  Cc(D)",186,74,4(3),343,1.7,0.4,0.4,-,0.3,0.3,0.4,-,6.57
"6Jhon Lucumí25,  Di(C)","Jhon Lucumí 25,  Di(C)",187,84,33,2902,1.6,1.1,0.9,0.4,2.8,0.6,0.8,1,6.60
"7Lewis Ferguson24,  Cc(C)","Lewis Ferguson 24,  Cc(C)",181,75,27(5),2324,1.4,0.6,1.6,-,0.8,0.6,0.2,-,6.73
"8Nikola Moro25,  Cc(C)","Nikola Moro 25,  Cc(C)",183,77,12(14),1224,1.2,0.3,0.6,-,0.7,0.8,0.1,-,6.64
"9Roberto Soriano33,  CO(CSD)","Roberto Soriano 33,  CO(CSD)",182,76,15(12),1326,1.1,0.2,0.7,-,0.5,0.5,0.1,-,6.48
"10Adama Soumaoro31,  Di(CD)","Adama Soumaoro 31,  Di(CD)",186,93,22(1),1873,1.1,0.7,0.9,0.5,3.1,0.1,0.6,-,6.49
"11Giorgos Kyriakopoulos28,  Di(S),Cc(S)","Giorgos Kyriakopoulos 28,  Di(S),Cc(S)",178,74,8(4),704,1.1,0.3,0.8,0.1,0.6,1.1,0.2,-,6.62
"12Kevin Bonifazi27,  Di(C)","Kevin Bonifazi 27,  Di(C)",187,70,9(4),901,1,0.9,0.5,0.6,2.8,0.5,0.6,-,6.45
"13Riccardo Orsolini27,  Cc(CD),AC","Riccardo Orsolini 27,  Cc(CD),AC",183,73,22(10),2122,0.9,0.3,1.2,-,0.4,0.8,0.1,-,6.77
"14Gary Medel36,  Di(C),MC","Gary Medel 36,  Di(C),MC",171,65,17(12),1477,0.9,1,0.7,-,1.1,0.3,0.3,-,6.39
"15Charalampos Lykogiannis30,  Di(CS),Cc(S)","Charalampos Lykogiannis 30,  Di(CS),Cc(S)",190,82,11(10),1105,0.8,0.7,0.7,0.2,1.1,0.4,0.2,-,6.53
"16Nicola Sansone32,  CO(SD),AC","Nicola Sansone 32,  CO(SD),AC",175,68,8(10),740,0.7,-,0.7,-,0.2,0.3,-,-,6.50
"17Musa Barrow25,  CO(CS),AC","Musa Barrow 25,  CO(CS),AC",183,77,26(6),1971,0.7,-,0.6,-,0.2,0.2,-,-,6.62
"18Joaquín Sosa22,  Di(C)","Joaquín Sosa 22,  Di(C)",189,82,7(3),687,0.6,0.6,1.6,0.6,3,1.4,0.3,-,6.26
"19Emanuel Vignato23,  CO(CS)","Emanuel Vignato 23,  CO(CS)",175,70,2(6),239,0.5,0.4,0.4,-,-,0.3,-,-,6.19
"20Marko Arnautovic34,  CO(CSD),AC","Marko Arnautovic 34,  CO(CSD),AC",192,83,18(3),1540,0.4,0.1,1,-,0.5,0.2,-,-,6.70
"21Michel Aebischer27,  Cc(CD)","Michel Aebischer 27,  Cc(CD)",183,76,18(14),1541,0.4,0.2,0.7,-,0.3,0.5,0.1,-,6.18
"22Joshua Zirkzee22,  AC","Joshua Zirkzee 22,  AC",193,84,5(14),809,0.2,0.2,0.4,-,0.2,0.3,0.1,-,6.44
"23Lorenzo De Silvestri35,  Di(D),Cc(D)","Lorenzo De Silvestri 35,  Di(D),Cc(D)",186,84,6(9),667,0.2,0.2,0.4,0.1,1,0.3,0.3,1,6.28
"24Niklas Pyyhtiä20,  Midfielder","Niklas Pyyhtiä 20,  Midfielder",188,84,0(6),103,0.2,0.2,-,-,0.7,0.2,0.2,-,6.16
"25Lukasz Skorupski32,  POR","Lukasz Skorupski 32,  POR",187,84,37,3330,0.1,-,-,-,0.9,-,-,-,6.79
"26Antonio Raimondo19,  Forward","Antonio Raimondo 19,  Forward",185,0,0(2),13,-,-,-,-,0.5,-,-,-,6.04
"27Francesco Bardi32,  POR","Francesco Bardi 32,  POR",188,80,1,90,-,-,-,-,-,-,-,-,7.36
