Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Ylber Ramadani27,  MC","Ylber Ramadani 27,  MC",185,0,25,2201,2.2,1.5,1.2,-,1.4,1.6,0.4,-,6.52
"2Mohamed Kaba22,  Cc(C)","Mohamed Kaba 22,  Cc(C)",185,71,15(8),1386,1.7,0.5,1.1,-,0.6,0.7,0.2,-,6.36
"3Valentin Gendrey23,  Di(D)","Valentin Gendrey 23,  Di(D)",179,75,25(1),2208,1.6,1.2,0.7,0.2,2.5,0.4,0.2,-,6.54
"4Pontus Almqvist24,  CO(SD),AC","Pontus Almqvist 24,  CO(SD),AC",183,67,19(2),1630,1.6,0.5,1,-,0.3,1.1,-,-,6.63
"5Lameck Banda23,  CO(S)","Lameck Banda 23,  CO(S)",169,69,15(3),1215,1.4,0.2,1.6,-,0.2,0.8,-,-,6.86
"6Hamza Rafia24,  CO(C)","Hamza Rafia 24,  CO(C)",180,75,14(8),1001,1.3,0.4,1.3,-,0.2,0.6,-,1,6.24
"7Marin Pongracic26,  Di(C)","Marin Pongracic 26,  Di(C)",190,95,25,2230,1.3,1.4,1.7,0.1,3.4,0.2,0.7,-,6.50
"8Gabriel Strefezza26,  Cc(SD)","Gabriel Strefezza 26,  Cc(SD)",168,63,13(6),1118,1.3,0.4,1.1,-,0.4,0.3,-,-,6.50
"9Patrick Dorgu19,  Di(S)","Patrick Dorgu 19,  Di(S)",185,0,8(13),854,1.2,0.4,0.6,-,1,0.3,0.1,-,6.44
"10Antonino Gallo24,  Di(S)","Antonino Gallo 24,  Di(S)",183,69,19(5),1586,1.1,0.6,0.2,0.2,1.5,0.5,0.3,-,6.47
"11Ahmed Touba25,  Di(C)","Ahmed Touba 25,  Di(C)",190,81,3(3),275,1,1.2,1,0.3,3.2,0.2,0.5,-,6.35
"12Jeppe Corfitzen19,  Forward","Jeppe Corfitzen 19,  Forward",0,0,0(1),8,1,-,-,-,-,-,-,-,5.82
"13Medon Berisha20,  Midfielder","Medon Berisha 20,  Midfielder",186,0,0(1),11,1,-,2,-,-,-,-,-,6.07
"14Santiago Pierotti22,  CO(CD),AC","Santiago Pierotti 22,  CO(CD),AC",189,0,0(2),26,1,-,1,-,-,0.5,-,-,5.93
"15Alexis Blin27,  MC","Alexis Blin 27,  MC",184,78,7(13),837,0.9,0.9,0.7,0.1,1.1,0.7,0.1,-,6.23
"16Joan González22,  Cc(C)","Joan González 22,  Cc(C)",190,0,10(10),951,0.9,0.2,0.7,-,0.2,0.4,0.1,-,6.34
"17Remi Oudin27,  Cc(CSD),AC","Remi Oudin 27,  Cc(CSD),AC",185,79,15(6),1285,0.9,0.8,0.4,-,0.6,0.2,-,-,6.63
"18Federico Baschirotto27,  Di(C)","Federico Baschirotto 27,  Di(C)",184,0,26,2305,0.6,0.8,0.8,0.3,4,0.2,0.8,-,6.32
"19Nicola Sansone32,  CO(SD),AC","Nicola Sansone 32,  CO(SD),AC",175,68,4(14),565,0.6,0.2,0.8,-,0.2,0.5,0.1,-,6.33
"20Federico Di Francesco29,  Cc(SD),AC","Federico Di Francesco 29,  Cc(SD),AC",171,75,0(2),14,0.5,-,-,-,-,-,-,-,6.62
"21Nikola Krstovic23,  AC","Nikola Krstovic 23,  AC",185,0,20(5),1588,0.5,0.1,1.2,-,0.7,0.2,0.1,-,6.52
"22Roberto Piccoli23,  AC","Roberto Piccoli 23,  AC",187,78,5(20),749,0.3,-,0.6,-,0.3,0.1,-,-,6.23
"23Lorenzo Venuti28,  Di(CSD),Cc(SD)","Lorenzo Venuti 28,  Di(CSD),Cc(SD)",176,65,2(5),201,0.1,0.4,0.1,-,0.7,-,0.3,-,6.05
"24Marcin Listkowski26,  Forward","Marcin Listkowski 26,  Forward",178,68,0(1),7,-,-,-,-,-,-,-,-,5.96
"25Rares Burnete20,  Forward","Rares Burnete 20,  Forward",185,0,0(1),7,-,-,-,-,-,-,-,-,6.39
"26Wladimiro Falcone28,  POR","Wladimiro Falcone 28,  POR",195,85,27,2430,-,-,-,-,0.9,-,-,-,6.62
