Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Davide Calabria27,  Di(SD),Cc(D)","Davide Calabria 27,  Di(SD),Cc(D)",177,70,21(4),1697,2.8,1,0.6,0.2,1.2,0.9,0.3,-,6.77
"2Fikayo Tomori26,  Di(CD)","Fikayo Tomori 26,  Di(CD)",185,75,32(1),2765,2.1,0.9,0.8,0.3,2.3,0.4,0.8,-,6.89
"3Ismaël Bennacer26,  Cc(C)","Ismaël Bennacer 26,  Cc(C)",175,70,24(4),2015,2.1,0.9,1.3,-,0.5,0.8,0.3,-,6.96
"4Sandro Tonali23,  MC","Sandro Tonali 23,  MC",181,79,30(4),2721,1.9,0.7,1,0.1,0.5,0.5,0.3,-,6.91
"5Rade Krunic30,  Cc(CS)","Rade Krunic 30,  Cc(CS)",184,74,18(5),1659,1.7,0.7,0.7,-,0.8,1.5,0.5,-,6.81
"6Pierre Kalulu23,  Di(CD)","Pierre Kalulu 23,  Di(CD)",179,69,26(8),2544,1.7,1.2,0.7,0.3,1.4,0.4,0.5,-,6.59
"7Tiémoué Bakayoko29,  MC","Tiémoué Bakayoko 29,  MC",185,77,0(3),38,1.7,-,1,-,-,-,-,-,6.19
"8Malick Thiaw22,  Di(C)","Malick Thiaw 22,  Di(C)",191,80,15(5),1364,1.6,0.6,0.7,0.2,3.3,0.5,0.3,-,6.76
"9Sergiño Dest23,  Di(SD),Cc(D)","Sergiño Dest 23,  Di(SD),Cc(D)",173,62,2(6),328,1.5,0.5,0.8,-,0.1,0.1,-,-,6.41
"10Tommaso Pobega24,  Cc(C)","Tommaso Pobega 24,  Cc(C)",188,75,9(10),877,1.4,0.5,1.6,-,0.6,0.4,0.2,-,6.42
"11Matteo Gabbia24,  Di(C)","Matteo Gabbia 24,  Di(C)",185,78,6(6),609,1.4,0.4,0.7,0.4,2.4,0.2,0.3,-,6.33
"12Fodé Ballo-Touré27,  Di(S),Cc(S)","Fodé Ballo-Touré 27,  Di(S),Cc(S)",182,70,5(5),518,1.4,0.2,0.5,-,0.3,0.3,0.3,-,6.56
"13Théo Hernández26,  Di(CS),Cc(S)","Théo Hernández 26,  Di(CS),Cc(S)",184,81,32,2777,1.3,0.7,0.7,0.1,1,0.5,0.2,1,6.87
"14Alexis Saelemaekers24,  Cc(SD)","Alexis Saelemaekers 24,  Cc(SD)",180,72,14(16),1399,1,0.6,0.8,-,0.2,0.7,-,-,6.59
"15Alessandro Florenzi32,  Di(SD),Cc(CSD)","Alessandro Florenzi 32,  Di(SD),Cc(CSD)",173,67,2(4),200,1,0.7,0.3,-,0.2,0.5,-,-,6.56
"16Yacine Adli23,  Cc(C)","Yacine Adli 23,  Cc(C)",186,73,1(5),141,1,0.2,0.7,-,0.2,-,-,-,6.25
"17Brahim Díaz24,  CO(CSD)","Brahim Díaz 24,  CO(CSD)",171,59,27(6),1947,1,0.2,0.9,-,0.1,0.3,-,-,6.79
"18Junior Messias32,  Cc(CD),AC","Junior Messias 32,  Cc(CD),AC",174,70,19(6),1511,1,0.3,1,-,1,0.6,0.2,-,6.82
"19Simon Kjær34,  Di(C)","Simon Kjær 34,  Di(C)",190,86,12(5),1012,0.9,0.5,0.5,0.2,2,0.2,0.6,-,6.51
"20Charles De Ketelaere22,  Cc(CSD),AC","Charles De Ketelaere 22,  Cc(CSD),AC",192,74,9(23),1102,0.8,0.1,0.6,-,0.3,0.5,0.1,-,6.38
"21Ante Rebic30,  CO(CSD),AC","Ante Rebic 30,  CO(CSD),AC",185,78,10(13),977,0.4,-,0.8,-,0.2,0.3,-,-,6.46
"22Divock Origi28,  CO(SD),AC","Divock Origi 28,  CO(SD),AC",185,75,10(17),1015,0.4,-,0.5,-,0.5,0.2,0.1,-,6.32
"23Aster Vranckx21,  Cc(C)","Aster Vranckx 21,  Cc(C)",183,78,2(7),237,0.3,0.2,0.7,-,0.1,0.6,0.1,-,6.15
"24Olivier Giroud37,  AC","Olivier Giroud 37,  AC",193,91,25(8),2148,0.2,0.1,1.2,-,0.7,0.2,0.1,-,6.88
"25Rafael Leão24,  CO(CS),AC","Rafael Leão 24,  CO(CS),AC",188,81,28(7),2434,0.2,0.4,0.6,-,0.2,0.2,0.1,-,7.19
"26Mike Maignan28,  POR","Mike Maignan 28,  POR",191,89,22,1979,-,-,-,-,0.6,-,-,-,6.64
"27Antonio Mirante40,  POR","Antonio Mirante 40,  POR",193,79,0(1),1,-,-,-,-,-,-,-,-,6.12
"28Ciprian Tatarusanu38,  POR","Ciprian Tatarusanu 38,  POR",198,90,16,1440,-,0.1,-,-,0.5,-,-,-,6.59
"29Marko Lazetic20,  Forward","Marko Lazetic 20,  Forward",190,80,0(1),7,-,-,-,-,-,-,-,-,5.79
"30Zlatan Ibrahimovic42,  AC","Zlatan Ibrahimovic 42,  AC",195,95,1(3),144,-,-,0.5,-,0.5,-,0.3,-,6.42
