Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Stanislav Lobotka29,  MC","Stanislav Lobotka 29,  MC",170,68,10,876,2.1,0.5,0.8,-,0.3,0.9,0.2,-,6.82
"2Mathías Olivera26,  Di(S),Cc(S)","Mathías Olivera 26,  Di(S),Cc(S)",184,78,5(3),512,2,0.6,0.8,-,1.8,0.5,-,-,6.78
"3Giovanni Di Lorenzo30,  Di(CSD),Cc(D)","Giovanni Di Lorenzo 30,  Di(CSD),Cc(D)",183,83,10,890,1.8,1.2,1.2,0.3,1.9,0.5,0.3,-,7.43
"4Frank Anguissa28,  Cc(C)","Frank Anguissa 28,  Cc(C)",184,78,8,653,1.8,1.8,2.1,-,0.5,0.5,0.1,-,7.28
"5Khvicha Kvaratskhelia23,  CO(CSD),AC","Khvicha Kvaratskhelia 23,  CO(CSD),AC",183,70,9,700,1.3,0.2,0.4,-,0.6,1,-,-,7.58
"6Kim Min-Jae27,  Di(C)","Kim Min-Jae 27,  Di(C)",190,88,9,786,1.3,2.4,1,0.8,3.6,-,0.9,-,7.20
"7Amir Rrahmani30,  Di(CS)","Amir Rrahmani 30,  Di(CS)",192,87,7,614,1.3,0.3,1,0.4,3.7,0.6,0.6,-,6.92
"8Hirving Lozano28,  CO(SD),AC","Hirving Lozano 28,  CO(SD),AC",175,70,4(5),464,1.1,0.2,0.8,-,0.2,0.7,-,-,6.84
"9Alessandro Zanoli23,  Di(D),Cc(D)","Alessandro Zanoli 23,  Di(D),Cc(D)",188,74,0(2),10,1,0.5,-,-,-,-,-,-,6.39
"10Juan Jesus32,  Di(CS)","Juan Jesus 32,  Di(CS)",185,83,2(1),204,1,0.3,1.3,0.3,2,0.3,1.7,-,6.11
"11Leo Østigård24,  Di(C)","Leo Østigård 24,  Di(C)",182,81,2(1),196,1,0.7,-,0.3,4.3,0.3,0.3,-,7.18
"12Mário Rui32,  Di(S),Cc(S)","Mário Rui 32,  Di(S),Cc(S)",170,67,5(1),388,1,1.2,1.2,0.2,0.5,1,0.3,-,6.81
"13Matteo Politano30,  CO(CSD),AC","Matteo Politano 30,  CO(CSD),AC",171,67,6(3),407,1,0.1,0.4,-,0.7,0.1,-,-,6.70
"14Tanguy Ndombélé27,  Cc(C)","Tanguy Ndombélé 27,  Cc(C)",181,76,3(6),369,0.9,0.6,0.2,-,0.1,0.2,0.1,-,6.86
"15Victor Osimhen25,  AC","Victor Osimhen 25,  AC",185,78,5(1),423,0.8,0.2,0.8,-,1.2,0.2,-,-,7.47
"16Eljif Elmas24,  Cc(CSD),AC","Eljif Elmas 24,  Cc(CSD),AC",184,78,2(8),279,0.8,-,0.5,-,0.2,0.5,0.1,-,6.21
"17Piotr Zielinski29,  Cc(CSD)","Piotr Zielinski 29,  Cc(CSD)",180,76,8(2),624,0.8,0.4,0.3,-,0.4,0.2,-,-,7.24
"18Alessio Zerbin25,  Forward","Alessio Zerbin 25,  Forward",182,80,0(3),53,0.7,-,-,-,-,0.3,0.3,-,6.27
"19Giacomo Raspadori24,  CO(CS),AC","Giacomo Raspadori 24,  CO(CS),AC",172,69,3(4),250,0.6,0.3,0.6,-,0.1,0.1,-,-,7.25
"20Giovanni Simeone28,  CO(D),AC","Giovanni Simeone 28,  CO(D),AC",180,81,2(5),260,0.4,-,0.4,-,0.3,0.1,-,-,6.89
"21Alex Meret26,  POR","Alex Meret 26,  POR",190,82,10,900,-,-,-,-,1.2,-,-,-,7.01
"22Gianluca Gaetano23,  Midfielder","Gianluca Gaetano 23,  Midfielder",181,71,0(3),28,-,-,0.7,-,-,-,-,-,6.19
