Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Lucas Martínez27,  Di(C)","Lucas Martínez 27,  Di(C)",181,75,19(2),1659,2.8,1.1,1.2,0.3,2,0.6,0.6,-,6.93
"2Davide Faraoni32,  Di(D),Cc(D)","Davide Faraoni 32,  Di(D),Cc(D)",180,71,3(1),287,2.3,1.3,0.5,-,2,1.3,0.3,-,6.61
"3Michael Kayode19,  Di(D)","Michael Kayode 19,  Di(D)",179,0,15(3),1439,2.2,0.8,0.6,0.3,1.6,0.6,0.6,-,6.91
"4Cristiano Biraghi31,  Di(S),Cc(S)","Cristiano Biraghi 31,  Di(S),Cc(S)",185,78,21(1),1821,1.7,0.5,1.7,0.6,1.4,1,0.2,-,6.73
"5Fabiano Parisi23,  Di(SD)","Fabiano Parisi 23,  Di(SD)",178,0,11(4),1002,1.5,0.8,0.6,0.3,1.1,0.4,0.3,-,6.60
"6Nikola Milenkovic26,  Di(CD)","Nikola Milenkovic 26,  Di(CD)",195,90,20(5),1891,1.4,0.7,0.9,0.5,2.7,0.4,0.5,-,6.71
"7Arthur27,  MC","Arthur 27,  MC",171,73,20(6),1651,1.4,0.6,0.7,-,0.2,0.5,0.1,-,6.62
"8Alfred Duncan30,  MC","Alfred Duncan 30,  MC",178,78,18(4),1430,1.2,0.5,0.9,-,0.5,0.7,0.2,-,6.74
"9Jonathan Ikoné25,  CO(CSD),AC","Jonathan Ikoné 25,  CO(CSD),AC",175,67,12(7),1166,1,0.1,0.6,-,0.3,0.3,-,-,6.49
"10Lucas Beltrán22,  CO(C),AC","Lucas Beltrán 22,  CO(C),AC",174,75,17(7),1324,1,-,0.9,-,0.4,0.3,0.1,-,6.60
"11Nicolás González25,  Cc(CSD),AC","Nicolás González 25,  Cc(CSD),AC",180,72,16(4),1375,1,0.4,0.9,-,0.4,0.8,0.1,-,6.97
"12Giacomo Bonaventura34,  Cc(CSD)","Giacomo Bonaventura 34,  Cc(CSD)",180,75,22(3),1833,0.9,0.3,0.6,-,0.2,0.3,-,-,6.88
"13Rolando Mandragora26,  MC","Rolando Mandragora 26,  MC",183,76,11(13),1138,0.9,0.3,0.6,0.1,0.5,0.4,0.1,-,6.39
"14Maxime Lopez26,  Cc(CD)","Maxime Lopez 26,  Cc(CD)",167,58,3(9),420,0.8,0.2,0.3,-,0.4,0.3,-,-,6.25
"15Josip Brekalo25,  CO(CSD),AC","Josip Brekalo 25,  CO(CSD),AC",175,70,8(3),655,0.7,0.1,1.2,-,-,0.8,-,-,6.46
"16Andrea Belotti30,  AC","Andrea Belotti 30,  AC",181,72,5(1),460,0.7,-,1.5,-,0.3,0.3,0.2,-,6.75
"17Dodô25,  Di(D)","Dodô 25,  Di(D)",166,68,4(1),268,0.6,0.6,0.4,0.4,1.2,0.6,-,-,6.36
"18Christian Kouamé26,  CO(SD),AC","Christian Kouamé 26,  CO(SD),AC",188,70,7(7),682,0.6,-,0.9,-,0.4,0.1,-,-,6.51
"19Riccardo Sottil24,  CO(SD)","Riccardo Sottil 24,  CO(SD)",180,75,9(7),757,0.5,0.1,0.3,-,0.1,0.3,-,-,6.45
"20M'Bala Nzola27,  AC","M'Bala Nzola 27,  AC",185,82,12(14),1275,0.3,-,1.2,-,0.7,-,-,-,6.39
"21Pietro Comuzzo19,  Defender","Pietro Comuzzo 19,  Defender",0,0,0(3),20,0.3,0.3,-,-,0.7,-,-,-,6.17
"22Luca Ranieri24,  Di(CS),Cc(S)","Luca Ranieri 24,  Di(CS),Cc(S)",187,73,15(3),1348,0.3,1.2,1.4,0.7,2.2,0.3,0.5,-,6.50
"23Antonín Barák29,  CO(CD)","Antonín Barák 29,  CO(CD)",190,86,2(10),289,0.3,-,0.4,-,0.2,0.3,-,-,6.18
"24Yerry Mina29,  Di(C)","Yerry Mina 29,  Di(C)",195,94,0(4),41,0.3,-,0.8,0.3,0.5,0.3,-,-,6.09
"25Gino Infantino20,  CO(CSD)","Gino Infantino 20,  CO(CSD)",178,76,0(5),78,0.2,0.2,0.6,-,-,0.2,-,-,6.13
"26Pietro Terracciano33,  POR","Pietro Terracciano 33,  POR",193,85,25,2250,-,-,0.1,-,0.5,-,-,-,6.83
"27Lorenzo Amatucci20,  Midfielder","Lorenzo Amatucci 20,  Midfielder",172,0,0(2),22,-,-,0.5,-,-,-,-,-,6.08
"28Oliver Christensen24,  POR","Oliver Christensen 24,  POR",190,82,2,180,-,-,0.5,-,-,-,-,-,5.88
