Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Lassana Coulibaly27,  Cc(CS)","Lassana Coulibaly 27,  Cc(CS)",183,77,34(1),2901,2.4,0.7,1.5,-,0.9,1.2,0.2,-,6.72
"2Flavius Daniliuc22,  Di(CD)","Flavius Daniliuc 22,  Di(CD)",188,77,23(4),2195,2.1,1.1,1.2,0.4,2.6,0.8,0.5,-,6.53
"3Dylan Bronn28,  Di(C)","Dylan Bronn 28,  Di(C)",185,76,19(5),1684,1.4,0.8,1.2,0.4,2.3,0.4,0.8,-,6.41
"4Grigoris Kastanos26,  Cc(CD)","Grigoris Kastanos 26,  Cc(CD)",176,71,13(15),1280,1.4,0.3,0.8,-,0.2,0.9,0.2,-,6.49
"5Tonny Vilhena29,  Di(S),Cc(CS)","Tonny Vilhena 29,  Di(S),Cc(CS)",175,70,27(6),2275,1.3,0.5,1,-,0.6,0.9,0.2,-,6.46
"6Lorenzo Pirola22,  Di(C)","Lorenzo Pirola 22,  Di(C)",185,72,23(3),1949,1.3,1.2,1.1,0.5,3.2,0.3,1.3,-,6.56
"7Giulio Maggiore25,  Cc(C)","Giulio Maggiore 25,  Cc(C)",184,69,11(5),900,1.3,0.5,1.3,-,0.6,0.7,0.3,-,6.27
"8Hans Nicolussi Caviglia23,  Cc(C)","Hans Nicolussi Caviglia 23,  Cc(C)",180,0,6(6),585,1.3,0.6,1.1,-,0.5,0.5,-,-,6.11
"9William Troost-Ekong30,  Di(C)","William Troost-Ekong 30,  Di(C)",191,82,4(5),441,1.2,0.7,0.8,0.7,1.1,0.1,0.4,-,6.44
"10Ivan Radovanovic35,  Di(C),MC","Ivan Radovanovic 35,  Di(C),MC",186,80,7(3),672,1.2,0.7,0.4,0.2,0.9,0.6,0.3,-,6.15
"11Norbert Gyömbér31,  Di(CD),MC","Norbert Gyömbér 31,  Di(CD),MC",189,74,23(4),1755,1.2,1.3,0.8,0.2,3.3,0.3,0.8,-,6.71
"12Pasquale Mazzocchi28,  Di(SD),Cc(SD)","Pasquale Mazzocchi 28,  Di(SD),Cc(SD)",183,78,23(4),1968,1.2,0.4,1,-,1,0.7,0.1,-,6.74
"13Domen Crnigoj28,  CO(CD)","Domen Crnigoj 28,  CO(CD)",188,70,4(3),296,1.1,1.3,0.9,-,0.9,0.1,0.1,-,6.32
"14Federico Fazio36,  Di(C)","Federico Fazio 36,  Di(C)",195,85,12(2),1075,1.1,2,0.8,0.6,4.3,0.5,0.3,-,6.62
"15Emil Bohinen24,  MC","Emil Bohinen 24,  MC",189,0,9(15),825,1,0.7,0.6,-,0.8,0.5,0.3,-,6.38
"16Matteo Lovato24,  Di(C)","Matteo Lovato 24,  Di(C)",188,83,8(9),810,1,0.8,0.4,0.4,1.9,0.9,0.3,-,6.14
"17Domagoj Bradaric24,  Di(S),Cc(S)","Domagoj Bradaric 24,  Di(S),Cc(S)",178,69,24(7),2254,0.8,0.7,0.5,0.1,1.3,0.3,0.2,-,6.39
"18Diego Valencia24,  Forward","Diego Valencia 24,  Forward",184,75,0(12),222,0.7,0.1,0.7,0.1,0.2,0.6,0.1,-,6.08
"19Junior Sambia27,  Di(D),Cc(CD)","Junior Sambia 27,  Di(D),Cc(CD)",185,77,7(15),691,0.5,0.4,0.5,-,0.5,0.2,0.1,-,6.33
"20Krzysztof Piatek28,  AC","Krzysztof Piatek 28,  AC",183,77,23(10),2144,0.5,0.1,1.2,-,1.2,0.5,0.1,-,6.59
"21Antonio Candreva37,  Cc(CSD)","Antonio Candreva 37,  Cc(CSD)",180,70,32(3),2741,0.5,0.5,0.2,-,0.6,0.8,0.1,-,6.68
"22Erik Botheim24,  CO(C),AC","Erik Botheim 24,  CO(C),AC",180,70,9(19),858,0.4,-,0.4,-,0.1,0.3,-,-,6.19
"23Boulaye Dia27,  CO(CD),AC","Boulaye Dia 27,  CO(CD),AC",180,75,27(6),2527,0.4,0.2,0.8,-,0.8,0.2,-,-,6.88
"24Federico Bonazzoli26,  CO(C),AC","Federico Bonazzoli 26,  CO(C),AC",182,79,12(12),1119,0.2,0.1,0.8,-,-,0.4,-,-,6.27
"25Antonio Iervolino20,  Midfielder","Antonio Iervolino 20,  Midfielder",0,0,0(1),5,-,-,-,-,-,1,-,-,6.13
"26Franck Ribéry40,  CO(CS),AC","Franck Ribéry 40,  CO(CS),AC",170,72,0(1),36,-,-,-,-,-,-,-,-,5.98
"27Guillermo Ochoa38,  POR","Guillermo Ochoa 38,  POR",190,85,20,1800,-,-,-,-,0.7,0.1,-,-,6.80
"28Julian Kristoffersen26,  Forward","Julian Kristoffersen 26,  Forward",198,89,0(1),17,-,-,2,-,-,-,-,-,5.94
"29Luigi Sepe32,  POR","Luigi Sepe 32,  POR",191,90,17,1530,-,-,0.1,-,0.4,0.1,-,-,6.84
"30Vincenzo Fiorillo34,  POR","Vincenzo Fiorillo 34,  POR",190,74,1,90,-,-,-,-,-,-,-,-,6.31
