Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Nadir Zortea24,  Di(D),Cc(S)","Nadir Zortea 24,  Di(D),Cc(S)",175,70,3,270,2.7,1,1.7,-,3.3,1,-,-,7.11
"2Anthony Oyono22,  Di(D)","Anthony Oyono 22,  Di(D)",0,0,14(2),1197,2.3,0.6,0.8,0.2,1.7,0.7,0.2,-,6.53
"3Enzo Barrenechea22,  MC","Enzo Barrenechea 22,  MC",186,81,22(4),1923,2,0.9,0.8,-,1.5,1.2,0.2,-,6.48
"4Luca Mazzitelli28,  MC","Luca Mazzitelli 28,  MC",184,76,18(2),1584,1.7,0.6,1.6,-,2.2,1.1,0.2,-,6.76
"5Emanuele Valeri25,  Di(S),Cc(S)","Emanuele Valeri 25,  Di(S),Cc(S)",180,78,4(1),373,1.6,0.8,1.2,0.2,2,0.2,0.4,-,6.53
"6Kevin Bonifazi27,  Di(C)","Kevin Bonifazi 27,  Di(C)",187,70,1(1),91,1.5,0.5,1,-,3,0.5,-,-,5.84
"7Caleb Okoli22,  Di(C)","Caleb Okoli 22,  Di(C)",191,91,21(2),1945,1.4,0.8,0.7,0.5,4.2,0.5,1.2,-,6.39
"8Reinier22,  CO(C)","Reinier 22,  CO(C)",185,78,10(4),830,1.3,0.5,0.8,-,0.4,0.6,0.3,-,6.51
"9Matías Soulé20,  CO(CD)","Matías Soulé 20,  CO(CD)",182,0,25,2188,1.2,0.6,0.6,-,0.2,0.6,0.1,1,7.24
"10Abdou Harroui26,  Cc(CD)","Abdou Harroui 26,  Cc(CD)",182,76,11(4),852,1.1,0.2,1.1,-,0.4,0.5,0.2,-,6.59
"11Ilario Monterisi22,  Di(C)","Ilario Monterisi 22,  Di(C)",190,0,16(5),1448,1.1,0.4,0.5,0.6,2.8,0.7,0.9,-,6.52
"12Simone Romagnoli34,  Di(C)","Simone Romagnoli 34,  Di(C)",193,85,20(3),1833,1,1,0.7,0.7,4.5,0.2,0.9,-,6.59
"13Francesco Gelli27,  Midfielder","Francesco Gelli 27,  Midfielder",173,0,15(4),1391,0.9,0.6,0.6,0.1,1.2,0.5,0.1,-,6.44
"14Marco Brescianini24,  MC","Marco Brescianini 24,  MC",188,0,14(11),1457,0.8,0.3,0.8,-,1.1,0.6,0.2,-,6.36
"15Demba Seck23,  CO(C)","Demba Seck 23,  CO(C)",190,76,3(3),200,0.8,-,1.2,-,0.2,-,-,-,6.16
"16Luca Garritano30,  Midfielder","Luca Garritano 30,  Midfielder",172,67,5(6),481,0.8,0.4,0.5,-,0.6,0.9,-,-,6.14
"17Pol Lirola26,  Di(D),Cc(SD)","Pol Lirola 26,  Di(D),Cc(SD)",183,70,9(5),679,0.8,0.7,0.2,0.1,1.2,0.7,-,-,6.28
"18Mateus Lusuardi20,  Defender","Mateus Lusuardi 20,  Defender",190,0,3,220,0.7,1.3,0.7,0.7,2,0.7,0.7,-,5.92
"19Giorgi Kvernadze21,  Forward","Giorgi Kvernadze 21,  Forward",183,67,0(5),59,0.6,0.2,0.6,-,-,-,-,-,5.97
"20Arijon Ibrahimovic18,  CO(S)","Arijon Ibrahimovic 18,  CO(S)",176,69,5(7),429,0.6,-,0.3,-,0.3,0.6,-,-,6.31
"21Riccardo Marchizza25,  Di(S)","Riccardo Marchizza 25,  Di(S)",185,80,13,1149,0.5,0.5,0.5,0.1,2.2,0.8,0.2,-,6.41
"22Mehdi Bourabia32,  Cc(C)","Mehdi Bourabia 32,  Cc(C)",183,73,3(7),200,0.5,-,0.5,0.1,0.4,0.2,-,-,5.89
"23Jaime Báez28,  CO(S)","Jaime Báez 28,  CO(S)",178,74,6(4),503,0.4,0.4,0.6,-,-,0.7,-,-,6.48
"24Marvin Çuni22,  AC","Marvin Çuni 22,  AC",188,78,6(7),463,0.4,0.1,0.7,-,-,0.1,0.1,-,6.27
"25Kaio Jorge22,  AC","Kaio Jorge 22,  AC",176,64,8(9),772,0.4,0.1,0.5,-,-,0.1,-,-,6.29
"26Walid Cheddira26,  AC","Walid Cheddira 26,  AC",187,80,13(12),1211,0.3,0.1,0.5,-,0.3,-,-,-,6.30
"27Giuseppe Caso25,  Forward","Giuseppe Caso 25,  Forward",172,63,2(12),410,0.3,-,0.4,-,-,0.1,-,-,6.25
"28Farès Ghedjemis21,  Forward","Farès Ghedjemis 21,  Forward",183,0,0(4),112,0.3,-,-,-,0.5,0.3,-,-,6.20
"29Gennaro Borrelli23,  Forward","Gennaro Borrelli 23,  Forward",194,0,0(1),23,-,-,-,-,-,-,-,-,5.82
"30Karlo Lulic27,  Midfielder","Karlo Lulic 27,  Midfielder",187,76,0(1),18,-,1,-,-,-,-,-,-,6.12
"31Luigi Canotto29,  Forward","Luigi Canotto 29,  Forward",178,71,0(1),16,-,-,-,-,-,-,-,-,6.03
"32Michele Cerofolini25,  POR","Michele Cerofolini 25,  POR",188,80,3,270,-,-,0.3,-,-,-,-,1,5.99
"33Pierluigi Frattali38,  Goalkeeper","Pierluigi Frattali 38,  Goalkeeper",185,75,1,1,-,-,-,-,-,-,-,-,6.00
"34Przemyslaw Szyminski29,  Defender","Przemyslaw Szyminski 29,  Defender",184,73,0(1),8,-,-,-,-,-,-,1,-,6.09
"35Stefano Turati22,  POR","Stefano Turati 22,  POR",188,0,24,2160,-,-,-,-,0.5,-,-,-,6.35
