Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Alex Ferrari29,  Di(CD)","Alex Ferrari 29,  Di(CD)",191,80,13(3),1014,2.5,1.6,0.5,0.1,2.7,0.9,0.3,-,6.54
"2Emanuel Aiwu23,  Di(CD)","Emanuel Aiwu 23,  Di(CD)",185,82,17(6),1653,2.4,1.1,0.9,0.4,2.1,0.6,0.7,-,6.50
"3Santiago Ascacíbar27,  MC","Santiago Ascacíbar 27,  MC",168,70,7(6),728,2.2,1,0.8,-,0.6,1.6,0.2,-,6.54
"4Vlad Chiriches34,  Di(CD)","Vlad Chiriches 34,  Di(CD)",184,75,14(2),986,2.2,1.4,1,0.3,2.8,0.5,1.4,1,6.61
"5Jaime Báez28,  CO(S)","Jaime Báez 28,  CO(S)",178,74,1(1),96,2,-,0.5,-,1,1.5,-,-,6.29
"6Luka Lochoshvili25,  Di(C)","Luka Lochoshvili 25,  Di(C)",191,84,22(3),1850,1.8,0.9,1.1,0.2,3.4,0.4,0.4,-,6.55
"7Gonzalo Escalante30,  MC","Gonzalo Escalante 30,  MC",182,76,7(2),556,1.8,1.1,0.7,-,0.4,0.3,0.1,-,6.26
"8Marco Benassi29,  Cc(CD)","Marco Benassi 29,  Cc(CD)",183,80,11(4),996,1.7,0.8,0.7,0.1,1.2,0.6,0.1,-,6.47
"9Michele Castagnetti34,  MC","Michele Castagnetti 34,  MC",180,71,14(13),1415,1.7,0.6,0.6,-,0.8,1.3,0.1,-,6.45
"10Charles Pickel26,  Cc(C)","Charles Pickel 26,  Cc(C)",187,76,30(3),2491,1.7,0.7,1,-,0.9,0.8,0.2,-,6.33
"11Johan Vásquez25,  Di(CS)","Johan Vásquez 25,  Di(CS)",184,78,19(6),1809,1.6,1.8,0.8,0.6,3.4,0.8,0.8,-,6.66
"12Soualiho Meïté29,  Cc(C)","Soualiho Meïté 29,  Cc(C)",187,80,28(3),2372,1.5,0.9,0.9,-,1.1,0.8,0.2,-,6.52
"13Emanuele Valeri25,  Di(S),Cc(S)","Emanuele Valeri 25,  Di(S),Cc(S)",180,78,31(6),2791,1.4,0.6,0.7,0.1,0.9,1.1,0.1,-,6.47
"14Leonardo Sernicola26,  Di(D),Cc(D)","Leonardo Sernicola 26,  Di(D),Cc(D)",188,78,27(5),2319,1.4,1.2,1.3,0.2,1.5,0.4,0.2,-,6.65
"15Luca Zanimacchia25,  CO(C)","Luca Zanimacchia 25,  CO(C)",178,72,9(6),748,1.4,0.6,0.6,0.1,0.3,0.9,-,-,6.39
"16Matteo Bianchetti30,  Di(C)","Matteo Bianchetti 30,  Di(C)",189,81,22(3),2130,1.3,0.8,0.7,0.7,4.3,0.5,0.7,-,6.51
"17Pablo Galdames27,  Cc(C)","Pablo Galdames 27,  Cc(C)",175,68,10(3),740,1.1,0.8,1,0.1,1,2.2,0.2,-,6.48
"18Paolo Ghiglione27,  Di(D),Cc(D)","Paolo Ghiglione 27,  Di(D),Cc(D)",187,80,8(7),709,1.1,0.3,1.1,0.1,0.8,0.9,0.3,-,6.37
"19Christian Acella21,  Midfielder","Christian Acella 21,  Midfielder",0,0,0(1),14,1,-,-,-,-,2,-,-,5.91
"20Cristian Buonaiuto31,  Forward","Cristian Buonaiuto 31,  Forward",179,68,7(22),970,0.9,0.5,0.6,-,0.2,0.5,-,-,6.34
"21Frank Tsadjout24,  AC","Frank Tsadjout 24,  AC",190,75,14(6),1057,0.5,0.4,1.1,-,0.5,0.3,0.1,-,6.58
"22Giacomo Quagliata24,  Di(S)","Giacomo Quagliata 24,  Di(S)",177,63,6(14),693,0.5,0.6,0.7,0.1,0.4,0.3,0.1,-,6.21
"23Cyriel Dessers29,  AC","Cyriel Dessers 29,  AC",185,84,19(7),1595,0.4,0.1,1.3,-,0.2,0.2,0.1,-,6.38
"24David Okereke26,  CO(CSD),AC","David Okereke 26,  CO(CSD),AC",182,75,25(8),2277,0.4,0.3,0.6,-,0.4,0.4,0.1,-,6.60
"25Felix Afena-Gyan21,  AC","Felix Afena-Gyan 21,  AC",175,62,7(16),812,0.3,-,0.8,-,0.1,0.3,-,-,6.04
"26Daniel Ciofani38,  AC","Daniel Ciofani 38,  AC",191,82,10(22),1058,0.2,0.1,0.3,-,0.3,0.1,-,-,6.34
"27Marco Carnesecchi23,  POR","Marco Carnesecchi 23,  POR",191,83,27,2430,-,-,-,-,0.7,-,-,-,6.74
"28Alberto Basso19,  Forward","Alberto Basso 19,  Forward",0,0,0(1),16,-,-,-,-,-,-,-,-,6.22
"29Andrei Radu26,  POR","Andrei Radu 26,  POR",188,70,9,810,-,-,-,-,0.4,-,-,-,6.88
"30Jack Hendry28,  Di(C)","Jack Hendry 28,  Di(C)",195,76,2(2),218,-,0.3,0.5,0.3,1.8,0.3,0.3,-,6.14
"31Mouhamadou Sarr27,  Goalkeeper","Mouhamadou Sarr 27,  Goalkeeper",190,77,2,180,-,-,-,-,1.5,-,-,-,6.54
"32Samuel Di Carmine35,  AC","Samuel Di Carmine 35,  AC",186,84,0(2),26,-,-,-,-,-,-,-,-,6.02
"33Tommaso Milanese21,  Midfielder","Tommaso Milanese 21,  Midfielder",173,61,0(2),27,-,-,0.5,-,-,-,0.5,-,6.12
