Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Marten de Roon32,  Di(C),MC","Marten de Roon 32,  Di(C),MC",186,76,24,2160,2.9,1.3,1.5,0.1,1.6,1.8,0.3,-,6.95
"2Éderson24,  Cc(C)","Éderson 24,  Cc(C)",182,83,24(2),2145,2.5,1.2,1.2,0.1,0.8,0.5,0.2,-,6.99
"3Giorgio Scalvini20,  Di(C)","Giorgio Scalvini 20,  Di(C)",194,0,24(1),2002,1.9,1.8,1.6,0.2,2.1,0.6,0.6,-,6.95
"4Sead Kolasinac30,  Di(CS),MC,Cc(S)","Sead Kolasinac 30,  Di(CS),MC,Cc(S)",183,85,22(3),1876,1.4,0.7,0.9,0.2,1.4,0.6,0.3,-,6.59
"5Teun Koopmeiners26,  Di(C),Cc(C)","Teun Koopmeiners 26,  Di(C),Cc(C)",184,77,23(1),2011,1.3,0.4,1.8,-,1.2,1.3,0.1,-,7.05
"6Berat Djimsiti31,  Di(C)","Berat Djimsiti 31,  Di(C)",190,83,26,2254,1.1,1.7,0.6,0.3,2.8,0.3,1,-,6.88
"7Emil Holm23,  Cc(D)","Emil Holm 23,  Cc(D)",191,83,8(9),697,1.1,0.4,0.6,-,0.9,1.1,0.2,-,6.62
"8Nadir Zortea24,  Di(D),Cc(S)","Nadir Zortea 24,  Di(D),Cc(S)",175,70,0(5),145,1,0.2,0.8,0.2,0.4,0.6,-,-,6.62
"9Charles De Ketelaere22,  Cc(CSD),AC","Charles De Ketelaere 22,  Cc(CSD),AC",192,74,19(6),1494,1,0.2,0.6,-,0.2,0.3,-,1,7.02
"10Isak Hien25,  Di(C)","Isak Hien 25,  Di(C)",191,88,0(6),92,0.8,0.3,-,0.3,0.3,-,-,-,6.26
"11Mario Pasalic29,  Cc(CSD),AC","Mario Pasalic 29,  Cc(CSD),AC",188,82,13(11),1217,0.8,0.3,0.5,-,0.8,0.3,0.2,-,6.67
"12Matteo Ruggeri21,  Cc(S)","Matteo Ruggeri 21,  Cc(S)",187,69,23(1),1935,0.8,0.8,0.7,0.2,0.8,0.5,0.1,-,6.77
"13Davide Zappacosta31,  Di(SD),Cc(SD)","Davide Zappacosta 31,  Di(SD),Cc(SD)",185,70,16(7),1337,0.7,0.1,0.7,0.1,0.5,0.4,0.1,-,6.59
"14Rafael Tolói33,  Di(C)","Rafael Tolói 33,  Di(C)",185,75,4(6),445,0.6,0.7,1,0.1,1.6,0.3,0.1,-,6.24
"15José Palomino34,  Di(C)","José Palomino 34,  Di(C)",188,87,0(4),23,0.5,0.3,-,-,1,-,0.3,-,6.24
"16Mitchel Bakker23,  Di(S),Cc(S)","Mitchel Bakker 23,  Di(S),Cc(S)",185,85,2(8),270,0.5,0.1,0.3,0.2,0.3,0.8,-,-,6.26
"17Hans Hateboer30,  Di(D),Cc(D)","Hans Hateboer 30,  Di(D),Cc(D)",185,72,5(8),567,0.5,0.2,0.5,0.1,0.8,0.2,0.2,-,6.35
"18Aleksey Miranchuk28,  Cc(CD),AC","Aleksey Miranchuk 28,  Cc(CD),AC",182,74,8(10),792,0.4,0.1,0.4,-,0.1,0.2,0.1,-,6.69
"19Gianluca Scamacca25,  AC","Gianluca Scamacca 25,  AC",196,85,9(11),916,0.4,0.1,0.8,-,0.4,0.3,-,-,6.76
"20Ademola Lookman26,  CO(CSD),AC","Ademola Lookman 26,  CO(CSD),AC",174,71,16(5),1289,0.4,0.3,1,-,-,0.4,-,-,6.88
"21Michel Adopo23,  Midfielder","Michel Adopo 23,  Midfielder",187,0,0(9),80,0.3,-,0.1,-,0.2,-,-,-,6.04
"22Luis Muriel32,  CO(CS),AC","Luis Muriel 32,  CO(CS),AC",179,79,2(16),398,0.2,0.1,0.3,-,-,-,-,-,6.42
"23Juan Musso29,  POR","Juan Musso 29,  POR",191,93,10,900,0.1,-,0.1,-,0.7,-,-,-,6.65
"24Duván Zapata32,  AC","Duván Zapata 32,  AC",189,88,2,114,-,-,0.5,-,0.5,0.5,-,-,7.06
"25El Bilal Touré22,  AC","El Bilal Touré 22,  AC",185,77,0(3),55,-,-,1.3,-,0.3,-,-,-,6.36
"26Giovanni Bonfanti21,  Defender","Giovanni Bonfanti 21,  Defender",187,0,0(1),14,-,-,-,-,1,-,-,-,5.93
"27Leonardo Mendicino17,  Midfielder","Leonardo Mendicino 17,  Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,6.00
"28Marco Carnesecchi23,  POR","Marco Carnesecchi 23,  POR",191,83,17,1530,-,-,0.1,-,1.5,-,-,-,6.89
