Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Henrikh Mkhitaryan35,  Cc(CSD),AC","Henrikh Mkhitaryan 35,  Cc(CSD),AC",177,75,11(2),910,2,1.2,1.1,-,0.8,1.3,0.2,-,6.92
"2Marcelo Brozovic31,  Cc(CD)","Marcelo Brozovic 31,  Cc(CD)",181,68,5(4),546,2,1,0.8,-,0.4,1.2,0.6,-,6.66
"3Nicolò Barella27,  CO(C)","Nicolò Barella 27,  CO(C)",175,68,12,997,1.9,0.2,1.4,0.1,0.8,1.3,0.1,-,6.86
"4Matteo Darmian34,  Di(CSD),Cc(SD)","Matteo Darmian 34,  Di(CSD),Cc(SD)",182,70,9(2),823,1.8,1.7,0.9,0.4,2.3,1.1,0.4,-,6.71
"5Robin Gosens29,  Di(S),Cc(CS)","Robin Gosens 29,  Di(S),Cc(CS)",183,76,3(8),417,1.8,0.5,0.6,-,0.7,0.4,-,-,6.55
"6Alessandro Bastoni24,  Di(C)","Alessandro Bastoni 24,  Di(C)",190,75,12,991,1.7,0.8,1.1,0.2,2.5,0.5,0.4,-,7.13
"7Stefan de Vrij32,  Di(C)","Stefan de Vrij 32,  Di(C)",190,78,3(4),298,1.4,0.6,0.6,0.1,3,0.1,0.6,-,6.34
"8Hakan Çalhanoglu30,  Cc(CSD),AC","Hakan Çalhanoglu 30,  Cc(CSD),AC",178,76,9(3),808,1.3,0.7,1.3,-,0.5,1,0.3,-,6.94
"9Lautaro Martínez26,  AC","Lautaro Martínez 26,  AC",174,72,12(1),1002,1.2,0.7,1.2,-,0.5,0.6,0.1,-,6.94
"10Milan Skriniar29,  Di(C)","Milan Skriniar 29,  Di(C)",187,80,6(2),537,1.1,0.5,0.8,0.1,2.5,0.1,1.1,-,6.75
"11Roberto Gagliardini29,  MC","Roberto Gagliardini 29,  MC",190,77,1(5),112,1,0.3,1,-,0.2,0.5,-,-,6.22
"12Francesco Acerbi36,  Di(C)","Francesco Acerbi 36,  Di(C)",192,88,10(2),918,0.8,0.9,0.5,0.2,3.8,0.3,0.2,-,6.80
"13Federico Dimarco26,  Di(CS),Cc(S)","Federico Dimarco 26,  Di(CS),Cc(S)",175,75,10(1),735,0.8,0.9,0.6,-,1.2,0.9,0.3,-,6.93
"14Kristjan Asllani21,  MC","Kristjan Asllani 21,  MC",175,0,1(4),125,0.8,0.4,0.2,-,1,-,-,-,6.35
"15Denzel Dumfries27,  Di(D),Cc(D)","Denzel Dumfries 27,  Di(D),Cc(D)",188,80,10(2),887,0.8,0.7,1.2,0.1,1.3,0.5,0.3,-,6.79
"16Raoul Bellanova23,  Cc(D)","Raoul Bellanova 23,  Cc(D)",188,82,1(2),118,0.7,0.3,-,0.3,0.7,0.7,-,-,6.10
"17Danilo D'Ambrosio35,  Di(CSD),Cc(SD)","Danilo D'Ambrosio 35,  Di(CSD),Cc(SD)",180,75,1(5),155,0.5,0.7,0.5,-,0.7,0.7,0.2,1,6.10
"18Romelu Lukaku30,  CO(D),AC","Romelu Lukaku 30,  CO(D),AC",191,93,0(8),177,0.4,-,0.6,-,0.4,-,-,-,6.69
"19Edin Dzeko37,  AC","Edin Dzeko 37,  AC",193,80,11(2),834,0.3,-,1,-,1.2,0.3,0.2,-,7.03
"20Joaquín Correa29,  CO(CS),AC","Joaquín Correa 29,  CO(CS),AC",189,75,3(6),301,0.2,-,0.3,-,0.1,0.4,-,-,6.48
"21André Onana27,  POR","André Onana 27,  POR",190,93,13,1170,-,-,-,-,0.5,-,-,-,7.17
"22Valentín Carboni18,  CO(C)","Valentín Carboni 18,  CO(C)",185,78,0(1),14,-,-,1,-,-,1,-,-,5.76
