Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Felipe Anderson30,  Cc(CSD),AC","Felipe Anderson 30,  Cc(CSD),AC",175,70,35(3),2969,2.1,0.8,1.1,-,0.6,1.4,0.2,-,7.09
"2Sergej Milinkovic-Savic29,  CO(C)","Sergej Milinkovic-Savic 29,  CO(C)",192,83,34(2),3030,1.6,0.8,1.3,-,1.3,1.2,0.3,-,7.24
"3Matías Vecino32,  Cc(C)","Matías Vecino 32,  Cc(C)",187,81,17(15),1685,1.5,0.5,0.8,-,1.2,0.8,0.3,-,6.54
"4Nicolò Casale26,  Di(C)","Nicolò Casale 26,  Di(C)",191,84,27(2),2437,1.4,0.6,0.8,0.5,2.3,0.4,0.6,-,6.69
"5Luis Alberto31,  CO(CS),AC","Luis Alberto 31,  CO(CS),AC",182,70,27(8),2444,1.4,0.3,0.4,-,0.1,1.4,0.2,-,6.98
"6Adam Marusic31,  Di(CSD),Cc(SD)","Adam Marusic 31,  Di(CSD),Cc(SD)",185,76,31(2),2767,1.2,1.2,0.7,0.4,1.6,0.4,0.2,-,6.68
"7Mattia Zaccagni28,  CO(CS),AC","Mattia Zaccagni 28,  CO(CS),AC",177,63,33(2),2783,1.2,0.6,1.5,-,0.2,0.7,0.1,-,7.16
"8Elseid Hysaj30,  Di(SD),Cc(D)","Elseid Hysaj 30,  Di(SD),Cc(D)",182,75,22(12),1992,1.1,0.6,0.6,0.1,0.9,0.5,0.2,-,6.53
"9Manuel Lazzari30,  Di(D),Cc(D)","Manuel Lazzari 30,  Di(D),Cc(D)",174,67,23(6),1888,1.1,0.6,0.5,0.2,1,0.5,0.2,1,6.56
"10Pedro36,  Cc(CSD),AC","Pedro 36,  Cc(CSD),AC",169,65,17(19),1896,1,0.2,0.7,-,0.1,0.5,0.1,-,6.63
"11Alessio Romagnoli29,  Di(CS)","Alessio Romagnoli 29,  Di(CS)",185,75,33(1),2925,1,1.1,1,0.3,3.1,0.3,0.8,-,6.86
"12Patric30,  Di(CD),Cc(D)","Patric 30,  Di(CD),Cc(D)",184,72,16(2),1415,0.9,0.6,0.2,0.7,2.8,0.3,0.7,-,6.74
"13Danilo Cataldi29,  Cc(C)","Danilo Cataldi 29,  Cc(C)",180,70,26(3),1942,0.9,0.8,0.4,-,1.1,0.9,0.3,-,6.60
"14Mario Gila23,  Di(C)","Mario Gila 23,  Di(C)",185,74,0(4),86,0.8,0.8,0.3,0.8,0.5,0.3,-,-,6.27
"15Marcos Antônio23,  MC","Marcos Antônio 23,  MC",166,55,6(10),587,0.6,0.7,0.6,-,1,0.7,0.1,-,6.42
"16Matteo Cancellieri22,  CO(SD)","Matteo Cancellieri 22,  CO(SD)",180,0,1(19),237,0.5,0.1,0.7,-,0.1,0.2,-,-,6.12
"17Ciro Immobile34,  AC","Ciro Immobile 34,  AC",185,78,27(4),2228,0.4,-,0.7,-,0.4,0.1,0.1,-,6.87
"18Toma Basic27,  Cc(C)","Toma Basic 27,  Cc(C)",189,80,4(21),499,0.2,0.3,0.5,-,0.3,0.2,-,-,6.22
"19Luca Pellegrini24,  Di(S),Cc(S)","Luca Pellegrini 24,  Di(S),Cc(S)",178,72,1(6),174,0.1,1,0.7,-,0.4,0.4,-,-,6.33
"20Ivan Provedel29,  POR","Ivan Provedel 29,  POR",192,82,37(1),3412,-,-,-,-,0.8,-,-,-,6.89
"21Luís Maximiano25,  POR","Luís Maximiano 25,  POR",190,82,1,6,-,-,1,-,-,-,-,-,5.33
"22Luka Romero19,  Midfielder","Luka Romero 19,  Midfielder",165,0,1(5),148,-,0.5,0.5,-,0.2,0.5,-,-,6.26
"23Marco Bertini21,  Midfielder","Marco Bertini 21,  Midfielder",185,0,0(1),1,-,-,-,-,-,-,-,-,6.00
"24Stefan Radu37,  Di(CS)","Stefan Radu 37,  Di(CS)",183,79,1(1),2,-,-,-,-,-,-,-,-,6.00
