Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Alessandro Buongiorno24,  Di(C)","Alessandro Buongiorno 24,  Di(C)",191,80,19,1647,2.5,2.4,2.5,0.6,4.5,0.5,0.6,-,7.26
"2Perr Schuurs24,  Di(C)","Perr Schuurs 24,  Di(C)",191,80,9,771,2.2,1,0.9,0.4,2.3,0.7,0.2,-,6.68
"3Matteo Lovato24,  Di(C)","Matteo Lovato 24,  Di(C)",188,83,4(1),287,2,2.2,1.4,-,0.8,-,0.4,-,6.66
"4Adam Masina30,  Di(CS),Cc(S)","Adam Masina 30,  Di(CS),Cc(S)",189,78,4(2),463,1.7,0.5,1.7,-,2,1,0.5,-,6.63
"5Ricardo Rodríguez31,  Di(CS),Cc(S)","Ricardo Rodríguez 31,  Di(CS),Cc(S)",180,78,24(1),1979,1.4,0.8,0.7,0.1,1.8,0.6,0.2,-,6.59
"6Karol Linetty29,  Cc(CSD)","Karol Linetty 29,  Cc(CSD)",176,73,12(7),1143,1.1,0.7,1.6,-,0.9,0.7,0.4,-,6.49
"7Adrien Tameze30,  Di(C),Cc(C)","Adrien Tameze 30,  Di(C),Cc(C)",180,78,17(4),1501,1,1.9,0.5,-,1,0.7,0.3,-,6.62
"8Koffi Djidji31,  Di(CS)","Koffi Djidji 31,  Di(CS)",184,71,7(5),684,1,0.8,0.9,-,1.1,0.1,0.4,-,6.46
"9Samuele Ricci22,  Cc(C)","Samuele Ricci 22,  Cc(C)",174,59,19(4),1605,1,0.6,1.1,-,0.6,0.2,-,-,6.48
"10Raoul Bellanova23,  Cc(D)","Raoul Bellanova 23,  Cc(D)",188,82,25(1),2150,0.9,0.5,0.5,-,0.8,0.3,0.1,-,6.82
"11Nikola Vlasic26,  CO(CSD),AC","Nikola Vlasic 26,  CO(CSD),AC",178,72,22(3),1957,0.9,0.2,0.9,-,0.3,0.8,0.1,-,6.59
"12Saba Sazonov22,  Di(C)","Saba Sazonov 22,  Di(C)",192,82,2(8),327,0.8,0.2,0.9,-,1.7,-,0.4,-,6.26
"13Antonio Sanabria28,  AC","Antonio Sanabria 28,  AC",180,70,19(5),1628,0.6,0.2,0.7,-,0.3,0.2,-,-,6.48
"14Gvidas Gineitis19,  Cc(C)","Gvidas Gineitis 19,  Cc(C)",187,0,2(10),353,0.6,0.3,0.5,-,0.7,0.2,0.3,-,6.18
"15Ivan Ilic22,  Cc(C)","Ivan Ilic 22,  Cc(C)",182,77,19(6),1567,0.6,0.6,0.7,-,1,0.4,0.2,-,6.75
"16Demba Seck23,  CO(C)","Demba Seck 23,  CO(C)",190,76,5(4),428,0.6,0.1,1,-,-,0.1,-,-,6.19
"17Duván Zapata32,  AC","Duván Zapata 32,  AC",189,88,23(1),1969,0.5,0.2,1.3,-,0.4,0.2,0.1,-,6.98
"18Valentino Lazaro27,  Di(D),Cc(CSD)","Valentino Lazaro 27,  Di(D),Cc(CSD)",180,75,19(5),1712,0.5,0.3,0.5,-,0.8,0.2,-,-,6.51
"19Brandon Soppy22,  Di(D),Cc(SD)","Brandon Soppy 22,  Di(D),Cc(SD)",181,0,2(3),177,0.4,-,0.8,-,0.4,0.8,-,-,6.18
"20Mërgim Vojvoda29,  Di(CD),Cc(SD)","Mërgim Vojvoda 29,  Di(CD),Cc(SD)",187,78,8(10),783,0.3,0.4,0.4,-,0.6,0.3,-,-,6.30
"21Pietro Pellegri22,  AC","Pietro Pellegri 22,  AC",196,78,4(15),500,0.2,-,0.5,-,0.2,0.2,0.1,-,6.11
"22David Zima23,  Di(C)","David Zima 23,  Di(C)",190,78,0(5),88,0.2,0.6,-,-,1.4,-,-,-,6.20
"23Nemanja Radonjic28,  Cc(CSD),AC","Nemanja Radonjic 28,  Cc(CSD),AC",185,78,4(6),375,0.1,-,0.1,-,-,0.2,-,-,6.45
"24Yann Karamoh25,  CO(CSD),AC","Yann Karamoh 25,  CO(CSD),AC",185,77,1(9),154,0.1,-,0.2,-,0.1,-,-,-,6.10
"25Vanja Milinkovic-Savic27,  POR","Vanja Milinkovic-Savic 27,  POR",202,96,26,2340,-,-,-,-,0.6,-,-,-,6.73
"26David Okereke26,  CO(CSD),AC","David Okereke 26,  CO(CSD),AC",182,75,0(3),27,-,-,0.3,-,-,0.3,-,-,6.13
"27Luca Gemello23,  Goalkeeper","Luca Gemello 23,  Goalkeeper",185,0,1,90,-,-,-,-,1,1,-,-,5.54
"28Simone Verdi31,  CO(CSD),AC","Simone Verdi 31,  CO(CSD),AC",171,62,0(1),3,-,-,-,-,-,-,-,-,6.12
