,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2021-2022,2022-2023,2023-2024,3 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Lazio (2 stagioni),Real Madrid (1 stagione),,Serie A (2 stagioni),La Liga (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2021-2022,20,Real Madrid,es ESP,1. La Liga,1°,0.3,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2022-2023,21,Lazio,it ITA,1. Serie A,2°,1.0,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,22,Lazio,it ITA,1. Serie A,8°,13.3,6,"0,45",5,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
3 stagioni,2 club,,2 campionati,,14.6,6,"0,41",5,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Lazio (2 stagioni),,1 campionato,,14.3,6,"0,42",5,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,
Real Madrid (1 stagione),,1 campionato,,0.3,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,14.3,6,"0,42",5,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,
La Liga (1 stagione),,,,0.3,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
