,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2021-2022,2022-2023,2023-2024,3 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Lazio (2 stagioni),Real Madrid (1 stagione),,Serie A (2 stagioni),La Liga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2021-2022,20,Real Madrid,es ESP,1. La Liga,1°,0.3,1,0,1,0,0,0,1,"0,0",1,0,0,0,1,2,1,0,Partite
2022-2023,21,Lazio,it ITA,1. Serie A,2°,1.0,3,1,3,0,0,0,1,"0,0",1,0,0,0,3,6,3,0,Partite
2023-2024,22,Lazio,it ITA,1. Serie A,8°,13.3,19,8,15,3,1,13,23,"56,5",10,13,9,4,12,31,51,0,Partite
3 stagioni,2 club,,2 campionati,,14.6,23,9,19,3,1,13,25,"52,0",12,13,9,4,16,39,55,0,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Lazio (2 stagioni),,1 campionato,,14.3,22,9,18,3,1,13,24,"54,2",11,13,9,4,15,37,54,0,
Real Madrid (1 stagione),,1 campionato,,0.3,1,0,1,0,0,0,1,"0,0",1,0,0,0,1,2,1,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,14.3,22,9,18,3,1,13,24,"54,2",11,13,9,4,15,37,54,0,
La Liga (1 stagione),,,,0.3,1,0,1,0,0,0,1,"0,0",1,0,0,0,1,2,1,0,
