,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Inter (6 stagioni),Feyenoord (5 stagioni),Lazio (4 stagioni),,Serie A (10 stagioni),Eredivisie (5 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2009-2010,17,Feyenoord,nl NED,1. Eredivisie,4°,15.1,,,,,,,,,,,,,,,,,Partite
2010-2011,18,Feyenoord,nl NED,1. Eredivisie,10°,28.6,,,,,,,,,,,,,,,,,Partite
2011-2012,19,Feyenoord,nl NED,1. Eredivisie,2°,22.4,,,,,,,,,,,,,,,,,Partite
2012-2013,20,Feyenoord,nl NED,1. Eredivisie,3°,24.8,,,,,,,,,,,,,,,,,Partite
2013-2014,21,Feyenoord,nl NED,1. Eredivisie,2°,31.6,,,,,,,,,,,,,,,,,Partite
2014-2015,22,Lazio,it ITA,1. Serie A,3°,28.1,,,,,,,,,,,,,,,,,Partite
2015-2016,23,Lazio,it ITA,1. Serie A,8°,2.0,,,,,,,,,,,,,,,,,Partite
2016-2017,24,Lazio,it ITA,1. Serie A,5°,25.2,,40,,,,,,,,,,,60,,,,Partite
2017-2018,25,Lazio,it ITA,1. Serie A,5°,33.7,31,22,14,17,0,14,23,"60,9",9,43,24,19,71,102,156,1,Partite
2018-2019,26,Inter,it ITA,1. Serie A,4°,28.0,25,16,14,10,1,8,15,"53,3",7,32,23,9,25,50,95,1,Partite
2019-2020,27,Inter,it ITA,1. Serie A,2°,31.4,33,18,20,12,1,14,27,"51,9",13,34,24,10,52,85,121,1,Partite
2020-2021,28,Inter,it ITA,1. Serie A,1°,30.4,28,16,15,12,1,15,24,"62,5",9,24,18,6,41,69,95,0,Partite
2021-2022,29,Inter,it ITA,1. Serie A,2°,26.8,38,29,22,16,0,12,17,"70,6",5,17,8,9,32,70,52,0,Partite
2022-2023,30,Inter,it ITA,1. Serie A,3°,21.6,28,18,19,9,0,8,14,"57,1",6,18,10,8,40,68,80,0,Partite
2023-2024,31,Inter,it ITA,1. Serie A,1°,13.6,16,12,11,4,1,6,11,"54,5",5,15,6,9,18,34,37,0,Partite
15 stagioni,3 club,,2 campionati,,363.3,199,171,115,80,4,77,131,"58,8",54,183,113,70,339,478,636,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Inter (6 stagioni),,1 campionato,,151.8,168,109,101,63,4,63,108,"58,3",45,140,89,51,208,376,480,2,
Feyenoord (5 stagioni),,1 campionato,,122.5,,,,,,,,,,,,,,0,,,
Lazio (4 stagioni),,1 campionato,,89.0,31,62,14,17,0,14,23,"60,9",9,43,24,19,131,102,156,1,
,,,,,,,,,,,,,,,,,,,,,
Serie A (10 stagioni),,,,240.8,199,171,115,80,4,77,131,"58,8",54,183,113,70,339,478,636,3,
Eredivisie (5 stagioni),,,,122.5,,,,,,,,,,,,,,0,,,
