,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,,2015,2016,2016-2017,2017-2018,2018-2019,2019-2020,,2021,,2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Vélez Sarsfield (7 stagioni),Udinese (1 stagione),,Primera Div (7 stagioni),Serie A (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2015,21,Vélez Sarsfield,ar ARG,1. Primera Div,27°,14.8,,,,,,,,,,,,,,,,,Partite
2016,22,Vélez Sarsfield,ar ARG,1. Primera Div,6°,13.5,,43,,,,,,,,,,,48,,,,Partite
2016-2017,22,Vélez Sarsfield,ar ARG,1. Primera Div,19°,16.4,45,33,32,13,0,20,33,"60,6",13,17,1,16,69,114,72,1,Partite
2017-2018,23,Vélez Sarsfield,ar ARG,1. Primera Div,14°,4.1,6,5,6,0,0,5,5,"100,0",0,3,1,2,25,31,25,0,Partite
2018-2019,24,Vélez Sarsfield,ar ARG,1. Primera Div,6°,11.0,25,19,19,5,1,10,15,"66,7",5,20,14,6,27,52,66,1,Partite
2019-2020,25,Vélez Sarsfield,ar ARG,1. Primera Div,3°,21.0,43,25,28,15,0,15,22,"68,2",7,31,19,12,39,82,117,0,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2021,27,Vélez Sarsfield,ar ARG,1. Primera Div,5°,21.8,43,26,34,8,1,29,41,"70,7",12,26,13,13,45,88,102,0,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2023,29,Vélez Sarsfield,ar ARG,1. Primera Div,25°,19.0,34,22,27,7,0,19,29,"65,5",10,27,16,11,45,79,97,0,Partite
2023-2024,29,Udinese,it ITA,1. Serie A,14°,5.0,7,3,6,1,0,3,3,"100,0",0,6,3,3,15,22,28,0,Partite
7 stagioni,2 club,,2 campionati,,126.6,203,176,152,49,2,101,148,"68,2",47,130,67,63,313,468,507,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Vélez Sarsfield (7 stagioni),,1 campionato,,121.6,196,173,146,48,2,98,145,"67,6",47,124,64,60,298,446,479,2,
Udinese (1 stagione),,1 campionato,,5.0,7,3,6,1,0,3,3,"100,0",0,6,3,3,15,22,28,0,
,,,,,,,,,,,,,,,,,,,,,
Primera Div (7 stagioni),,,,121.6,196,173,146,48,2,98,145,"67,6",47,124,64,60,298,446,479,2,
Serie A (1 stagione),,,,5.0,7,3,6,1,0,3,3,"100,0",0,6,3,3,15,22,28,0,
