,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2016-2017,2017-2018,,2022-2023,2023-2024,4 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Cagliari (2 stagioni),Perugia (2 stagioni),,Serie B (3 stagioni),Serie A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2016-2017,17,Perugia,it ITA,2. Serie B,4°,2.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,18,Perugia,it ITA,2. Serie B,8°,4.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,23,Cagliari,it ITA,2. Serie B,5°,18.9,752,902,"83,4",16768,5481,164,187,"87,7",438,492,"89,0",143,192,"74,5",0,0.2,0.3,-0.2,3,36,0,0,56,Partite
2023-2024,24,Cagliari,it ITA,1. Serie A,19°,24.2,785,963,"81,5",16712,5661,216,250,"86,4",442,502,"88,0",121,190,"63,7",3,2.0,1.0,+1.0,9,49,3,0,66,Partite
4 stagioni,2 club,,2 campionati,,50.5,1537,1865,"82,4",33480,11142,380,437,"87,0",880,994,"88,5",264,382,"69,1",3,2.2,1.4,+0.8,12,85,3,0,122,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Cagliari (2 stagioni),,2 campionati,,43.2,1537,1865,"82,4",33480,11142,380,437,"87,0",880,994,"88,5",264,382,"69,1",3,2.2,1.4,+0.8,12,85,3,0,122,
Perugia (2 stagioni),,1 campionato,,7.4,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie B (3 stagioni),,,,26.3,752,902,"83,4",16768,5481,164,187,"87,7",438,492,"89,0",143,192,"74,5",0,0.2,0.3,-0.2,3,36,0,0,56,
Serie A (1 stagione),,,,24.2,785,963,"81,5",16712,5661,216,250,"86,4",442,502,"88,0",121,190,"63,7",3,2.0,1.0,+1.0,9,49,3,0,66,
